Round,Relative Time (ms),Value
0,28.034884691238403,2.03963348
1,28.0354266166687,2.03963348
2,41.56069350242615,2.03963348
3,41.56255388259888,2.03963348
4,61.53470540046692,1.9178865000000003
5,81.11173343658447,1.9178865000000003
6,102.0854082107544,1.76350966
7,108.1975109577179,1.76350966
8,110.84753894805908,1.76350966
9,110.84818863868713,1.76350966
10,115.36463046073914,1.76350966
11,115.3652400970459,1.76350966
12,127.91461968421936,1.7543910799999998
13,132.61504530906677,1.7543910799999998
14,140.48429203033447,1.7543910799999998
15,140.48489046096802,1.7543910799999998
16,149.49465918540955,1.7543910799999998
17,149.4952676296234,1.7543910799999998
18,157.239004611969,1.7483025
19,162.34448885917664,1.7483025
20,173.7327299118042,1.7483025
21,173.73338556289673,1.7483025
22,173.733745098114,1.7483025
23,173.73456239700317,1.7483025
24,175.2522714138031,1.7483025
25,175.25281500816345,1.7483025
26,175.25372910499573,1.7483025
27,185.22713541984558,1.7483025
28,185.2278277873993,1.7483025
29,187.79670906066895,1.7483025
30,187.79723715782166,1.7483025
31,187.7974772453308,1.7483025
32,193.23637104034424,1.7483025
33,193.23725986480713,1.7483025
34,193.62282037734985,1.7483025
35,193.62338089942932,1.7483025
36,195.43991255760193,1.7483025
37,195.4405541419983,1.7483025
38,202.09281420707703,1.7483025
39,202.09513211250305,1.7483025
40,211.882080078125,1.7483025
41,211.88355922698975,1.7483025
42,228.2485477924347,1.7483025
43,228.2492446899414,1.7483025
44,229.32368755340576,1.7483025
45,229.32414960861206,1.7483025
46,229.32448720932007,1.7483025
47,240.19045448303223,1.7483025
48,240.19103574752808,1.7483025
49,240.19128441810608,1.7483025
50,249.45476412773132,1.7483025
51,249.4554214477539,1.7483025
52,262.60342812538147,1.7483025
53,262.60470247268677,1.7483025
54,273.5790545940399,1.7483025
55,273.5796501636505,1.7483025
56,341.22239542007446,1.7483025
57,341.22490763664246,1.7483025
58,341.22736835479736,1.7483025
59,349.85121726989746,1.7483025
60,349.85192346572876,1.7483025
61,362.53378200531006,1.7483025
62,362.5344822406769,1.7483025
63,408.2072696685791,1.7483025
64,408.2105083465576,1.7483025
65,408.21319603919983,1.7483025
66,436.97576785087585,1.7483025
67,436.9765396118164,1.7483025
68,436.977961063385,1.7483025
69,450.90734338760376,1.7483025
70,450.9081780910492,1.7483025
71,450.90845489501953,1.7483025
72,450.9090349674225,1.7483025
73,462.39244556427,1.7483025
74,462.3951416015625,1.7483025
75,463.3477740287781,1.7483025
76,463.3485360145569,1.7483025
77,463.3488121032715,1.7483025
78,499.16766333580017,1.7483025
79,499.17147302627563,1.7483025
80,506.35484623908997,1.7483025
81,506.3561918735504,1.7483025
82,510.5281093120575,1.7483025
83,510.52874088287354,1.7483025
84,511.8637309074402,1.7483025
85,511.8643391132355,1.7483025
86,511.86460638046265,1.7483025
87,511.8655436038971,1.7483025
88,522.1482813358307,1.7483025
89,522.148934841156,1.7483025
90,545.4648532867432,1.7483025
91,545.465742111206,1.7483025
92,556.7360546588898,1.7483025
93,556.7387824058533,1.7483025
94,562.514886379242,1.7483025
95,562.515460729599,1.7483025
96,562.5156447887421,1.7483025
97,562.855103969574,1.7483025
98,562.8557119369507,1.7483025
99,562.8566892147064,1.7483025
