Round,Relative Time (ms),Value
0,16.836941242218018,0.61726452
1,23.083293914794922,0.61726452
2,32.76303315162659,0.61726452
3,32.76438593864441,0.61726452
4,42.52158808708191,0.61726452
5,42.52424120903015,0.61726452
6,55.25741004943848,0.60841278
7,59.34042167663574,0.60841278
8,67.9902331829071,0.60841278
9,67.99123311042786,0.60841278
10,67.99213337898254,0.60841278
11,77.4362382888794,0.60841278
12,77.4381730556488,0.60841278
13,80.11884498596191,0.60841278
14,80.11986207962036,0.60841278
15,80.61688280105591,0.60841278
16,80.61735653877258,0.60841278
17,87.31138753890991,0.60841278
18,87.31207418441772,0.60841278
19,87.31231999397278,0.60841278
20,90.32942628860474,0.60841278
21,90.33001637458801,0.60841278
22,90.33041715621948,0.60841278
23,95.40974044799805,0.60841278
24,95.41031765937805,0.60841278
25,95.94826054573059,0.60841278
26,95.9493978023529,0.60841278
27,101.33894324302673,0.60841278
28,101.33954572677612,0.60841278
29,106.99427056312561,0.60841278
30,106.99530172348022,0.60841278
31,106.99548482894897,0.60841278
32,116.74681949615479,0.60841278
33,116.74734139442444,0.60841278
34,122.96650838851929,0.60841278
35,122.96733617782593,0.60841278
36,141.38783597946167,0.60841278
37,141.38882184028625,0.60841278
38,150.222017288208,0.60841278
39,150.2229781150818,0.60841278
40,163.31123065948486,0.60841278
41,163.31227493286133,0.60841278
42,163.31251502037048,0.60841278
43,170.61587572097778,0.60841278
44,170.61662673950195,0.60841278
45,170.61686944961548,0.60841278
46,183.63766360282898,0.60841278
47,183.64798784255981,0.60841278
48,183.65370869636536,0.60841278
49,183.6554934978485,0.60841278
50,189.64710521697998,0.5688639
51,192.58727288246155,0.5688639
52,205.50278306007385,0.5688639
53,205.50405049324036,0.5688639
54,218.7793426513672,0.5688639
55,218.78032422065735,0.5688639
56,218.78107595443726,0.5688639
57,229.31538605690002,0.5688639
58,229.3163766860962,0.5688639
59,241.7732448577881,0.5688639
60,241.77420163154602,0.5688639
61,254.30316352844238,0.5688639
62,254.30416107177734,0.5688639
63,254.30441999435425,0.5688639
64,262.3533079624176,0.5688639
65,262.3625786304474,0.5688639
66,272.3684639930725,0.5688639
67,272.3693537712097,0.5688639
68,286.4487895965576,0.5688639
69,286.44964361190796,0.5688639
70,287.3900122642517,0.5688639
71,287.3908944129944,0.5688639
72,287.3912525177002,0.5688639
73,287.3916893005371,0.5688639
74,287.3921649456024,0.5688639
75,293.1913368701935,0.5688639
76,293.19214057922363,0.5688639
77,293.83014702796936,0.5688639
78,293.83097434043884,0.5688639
79,293.83146381378174,0.5688639
80,297.07650804519653,0.5688639
81,297.077495098114,0.5688639
82,304.1117935180664,0.5688639
83,304.1182062625885,0.5688639
84,304.6571137905121,0.5688639
85,304.6579120159149,0.5688639
86,304.6581847667694,0.5688639
87,316.27990913391113,0.5688639
88,316.28091621398926,0.5688639
89,327.1857109069824,0.5688639
90,327.1866810321808,0.5688639
91,327.1871163845062,0.5688639
92,338.28569984436035,0.5688639
93,338.28784942626953,0.5688639
94,354.24557614326477,0.5688639
95,354.24708008766174,0.5688639
96,354.247789144516,0.5688639
97,355.0748767852783,0.5688639
98,355.0756106376648,0.5688639
99,361.6632192134857,0.5688639
