Round,Relative Time (ms),Value
0,29.295632123947144,2.009854
1,29.296252727508545,2.009854
2,53.912161111831665,2.009854
3,53.912789821624756,2.009854
4,53.91302537918091,2.009854
5,65.54139351844788,2.009854
6,65.54197335243225,2.009854
7,67.4270498752594,2.009854
8,67.42759704589844,2.009854
9,77.63916182518005,2.009854
10,77.63976955413818,2.009854
11,237.915424823761,2.009854
12,237.91627836227417,2.009854
13,254.58552503585815,1.7470664599999999
14,256.7402436733246,1.7470664599999999
15,258.8207492828369,1.7470664599999999
16,258.8213264942169,1.7470664599999999
17,284.74256706237793,1.7470664599999999
18,284.7432870864868,1.7470664599999999
19,294.09586215019226,1.7470664599999999
20,294.09649443626404,1.7470664599999999
21,294.0968608856201,1.7470664599999999
22,316.6599192619324,1.7470664599999999
23,316.66056084632874,1.7470664599999999
24,344.416677236557,1.65534188
25,364.7183849811554,1.65534188
26,367.13998532295227,1.65534188
27,367.14049005508423,1.65534188
28,392.238050699234,1.65534188
29,392.23877358436584,1.65534188
30,397.329336643219,1.65534188
31,397.3318135738373,1.65534188
32,402.42749643325806,1.65534188
33,402.42826294898987,1.65534188
34,405.345698595047,1.65534188
35,405.3462646007538,1.65534188
36,412.93913888931274,1.65534188
37,412.9399747848511,1.65534188
38,419.77090072631836,1.65534188
39,419.77354979515076,1.65534188
40,420.63719868659973,1.65534188
41,420.63782596588135,1.65534188
42,427.5875942707062,1.65534188
43,427.58828568458557,1.65534188
44,430.48502588272095,1.65534188
45,430.48565793037415,1.65534188
46,430.486124753952,1.65534188
47,434.3130555152893,1.65534188
48,434.3139407634735,1.65534188
49,437.59450793266296,1.65534188
50,437.5950951576233,1.65534188
51,437.59542536735535,1.65534188
52,443.3147497177124,1.65534188
53,443.31533575057983,1.65534188
54,458.48298382759094,1.65534188
55,458.48590755462646,1.65534188
56,469.45483016967773,1.65534188
57,469.4555552005768,1.65534188
58,469.45601201057434,1.65534188
59,482.36758255958557,1.65534188
60,482.36817264556885,1.65534188
61,500.8083641529083,1.65534188
62,500.8109300136566,1.65534188
63,500.81120204925537,1.65534188
64,504.56523156166077,1.65534188
65,504.56635665893555,1.65534188
66,526.9418864250183,1.65534188
67,526.9426794052124,1.65534188
68,548.5031576156616,1.65534188
69,548.503963470459,1.65534188
70,561.7582964897156,1.65534188
71,561.7614455223083,1.65534188
72,573.0810663700104,1.65534188
73,573.0816738605499,1.65534188
74,573.0819501876831,1.65534188
75,573.0826895236969,1.65534188
76,573.08509349823,1.65534188
77,586.684576511383,1.65534188
78,586.6852157115936,1.65534188
79,586.6854774951935,1.65534188
80,597.6624281406403,1.65534188
81,597.6630954742432,1.65534188
82,618.0284571647644,1.65534188
83,618.0291492938995,1.65534188
84,634.5021877288818,1.6054180000000002
85,648.1659190654755,1.6054180000000002
86,661.8153371810913,1.5803709600000002
87,664.5275299549103,1.5803709600000002
88,673.7221646308899,1.5803709600000002
89,673.7228074073792,1.5803709600000002
90,673.7232592105865,1.5803709600000002
91,689.3916594982147,1.5803709600000002
92,689.394406080246,1.5803709600000002
93,698.9437272548676,1.5803709600000002
94,698.9444696903229,1.5803709600000002
95,719.8052730560303,1.5803709600000002
96,719.8059151172638,1.5803709600000002
97,719.8061802387238,1.5803709600000002
98,731.5104882717133,1.5803709600000002
99,731.511176109314,1.5803709600000002
