Round,Relative Time (ms),Value
0,33.50976586341858,2.395766
1,52.85836219787598,2.395766
2,52.859195947647095,2.395766
3,61.57413387298584,2.20017912
4,68.99151349067688,2.20017912
5,79.15329194068909,2.20017912
6,79.15376377105713,2.20017912
7,86.48361277580261,2.20017912
8,86.48443293571472,2.20017912
9,86.48464775085449,2.20017912
10,86.48494219779968,2.20017912
11,102.76998448371887,2.20017912
12,102.7706937789917,2.20017912
13,102.7710189819336,2.20017912
14,123.0807089805603,2.20017912
15,123.08135414123535,2.20017912
16,138.60326051712036,2.20017912
17,138.60396456718445,2.20017912
18,153.4129238128662,2.20017912
19,153.4135365486145,2.20017912
20,153.41374444961548,2.20017912
21,170.21655821800232,2.20017912
22,170.2171003818512,2.20017912
23,185.6568205356598,2.19277474
24,195.71910738945007,2.19277474
25,201.85671997070312,2.19277474
26,201.8573522567749,2.19277474
27,218.54991126060486,2.19277474
28,218.55057764053345,2.19277474
29,218.87607073783875,2.19277474
30,218.87669229507446,2.19277474
31,230.33430337905884,2.19277474
32,230.33509755134583,2.19277474
33,230.33543586730957,2.19277474
34,246.47490239143372,2.1765435
35,258.2861328125,2.1765435
36,269.87731766700745,2.1765435
37,269.87875413894653,2.1765435
38,285.451865196228,2.1765435
39,285.45316076278687,2.1765435
40,298.6438977718353,2.1765435
41,298.6445302963257,2.1765435
42,298.6448485851288,2.1765435
43,307.86227536201477,2.1765435
44,307.8628525733948,2.1765435
45,307.86305141448975,2.1765435
46,307.8638210296631,2.1765435
47,308.2819254398346,2.1765435
48,308.28248953819275,2.1765435
49,308.282870054245,2.1765435
50,316.4562644958496,2.1765435
51,316.4569480419159,2.1765435
52,317.56053256988525,2.1765435
53,317.5611209869385,2.1765435
54,329.98117303848267,2.1725145400000003
55,359.4774191379547,2.06267214
56,382.5896649360657,2.06267214
57,382.5902900695801,2.06267214
58,388.8996047973633,2.06267214
59,388.90017223358154,2.06267214
60,398.16528248786926,2.06267214
61,398.1660370826721,2.06267214
62,409.0119049549103,2.06267214
63,409.0124707221985,2.06267214
64,423.6716957092285,2.06267214
65,423.67253017425537,2.06267214
66,423.67276883125305,2.06267214
67,433.2854130268097,2.06267214
68,433.2860333919525,2.06267214
69,447.90551567077637,2.06267214
70,447.9061369895935,2.06267214
71,450.07368540763855,2.06267214
72,450.07423067092896,2.06267214
73,451.7215664386749,2.06267214
74,451.722154378891,2.06267214
75,457.7394313812256,2.06267214
76,457.7399182319641,2.06267214
77,458.8895375728607,2.06267214
78,458.8901047706604,2.06267214
79,458.89038252830505,2.06267214
80,459.8260352611542,2.06267214
81,459.82662987709045,2.06267214
82,469.62587428092957,2.06267214
83,469.62654733657837,2.06267214
84,487.3360800743103,2.06267214
85,487.3369359970093,2.06267214
86,528.7811298370361,2.06267214
87,528.7837424278259,2.06267214
88,540.1614460945129,2.06267214
89,540.1621305942535,2.06267214
90,540.1624581813812,2.06267214
91,540.1636691093445,2.06267214
92,540.1648051738739,2.06267214
93,557.030618429184,2.06267214
94,557.0313591957092,2.06267214
95,557.0316939353943,2.06267214
96,557.0322914123535,2.06267214
97,574.7686712741852,2.06267214
98,574.7693915367126,2.06267214
99,591.1188032627106,2.06267214
100,591.1195247173309,2.06267214
101,591.1197006702423,2.06267214
102,591.1199464797974,2.06267214
103,591.6607639789581,2.06267214
104,591.6612067222595,2.06267214
105,599.4285042285919,2.06267214
106,599.4291670322418,2.06267214
107,603.3906102180481,2.06267214
108,603.391256570816,2.06267214
109,603.3915317058563,2.06267214
110,603.3918116092682,2.06267214
111,606.5117123126984,2.06267214
112,606.5123388767242,2.06267214
113,606.848405122757,2.06267214
114,606.8489747047424,2.06267214
115,628.3852691650391,2.06267214
116,628.3861320018768,2.06267214
117,628.3863418102264,2.06267214
118,630.521386384964,2.06267214
119,630.5220155715942,2.06267214
120,630.5222389698029,2.06267214
121,640.0723276138306,2.06267214
122,640.0731821060181,2.06267214
123,644.5656974315643,2.06267214
124,644.5663058757782,2.06267214
125,648.6906650066376,2.06267214
126,648.6912288665771,2.06267214
127,648.6915225982666,2.06267214
128,668.5672998428345,2.06267214
129,668.567859172821,2.06267214
130,685.5426020622253,2.06267214
131,685.5432028770447,2.06267214
132,690.9263079166412,2.06267214
133,690.9268131256104,2.06267214
134,696.7067141532898,2.06267214
135,696.707376241684,2.06267214
136,703.4756689071655,2.06267214
137,703.4762582778931,2.06267214
138,703.476459980011,2.06267214
139,703.4767351150513,2.06267214
140,705.2878801822662,2.06267214
141,705.2883291244507,2.06267214
142,725.7292358875275,2.06267214
143,725.731258392334,2.06267214
144,739.2519221305847,2.06267214
145,739.2529172897339,2.06267214
146,740.9620633125305,2.06267214
147,740.9625961780548,2.06267214
148,752.9789922237396,2.06267214
149,752.9796679019928,2.06267214
