Round,Relative Time (ms),Value
0,50.54636287689209,7.524138579999999
1,94.65786552429199,7.524138579999999
2,141.16797375679016,7.524138579999999
3,141.16853189468384,7.524138579999999
4,159.57778644561768,7.524138579999999
5,159.57822370529175,7.524138579999999
6,162.09298992156982,7.524138579999999
7,162.0935502052307,7.524138579999999
8,164.62694644927979,7.524138579999999
9,164.62770247459412,7.524138579999999
10,173.09942317008972,7.524138579999999
11,173.09997272491455,7.524138579999999
12,186.18569660186768,7.524138579999999
13,186.18625378608704,7.524138579999999
14,186.1864857673645,7.524138579999999
15,189.77520060539246,7.524138579999999
16,189.7756314277649,7.524138579999999
17,213.7087414264679,7.524138579999999
18,213.7104847431183,7.524138579999999
19,213.71213388442993,7.524138579999999
20,214.97945475578308,7.524138579999999
21,214.97993564605713,7.524138579999999
22,215.8525688648224,7.524138579999999
23,225.25432562828064,7.524138579999999
24,225.25495266914368,7.524138579999999
25,241.29282784461975,7.524138579999999
26,241.2933943271637,7.524138579999999
27,268.9108738899231,7.524138579999999
28,268.91146898269653,7.524138579999999
29,303.9704146385193,7.36617382
30,309.31484174728394,7.36617382
31,346.75739765167236,7.36573248
32,365.1823809146881,7.36573248
33,382.99649238586426,7.36573248
34,382.99727034568787,7.36573248
35,382.99759125709534,7.36573248
36,416.68723249435425,7.29158774
37,442.7994794845581,7.29158774
38,467.68046283721924,7.29158774
39,467.6812632083893,7.29158774
40,497.2377314567566,7.29158774
41,497.23851132392883,7.29158774
42,497.23894572257996,7.29158774
43,503.68096566200256,7.29158774
44,503.68154430389404,7.29158774
45,521.2571878433228,7.29158774
46,521.2578320503235,7.29158774
47,521.258145570755,7.29158774
48,538.8076827526093,7.29158774
49,538.808319568634,7.29158774
50,566.406800031662,7.29158774
51,566.407514333725,7.29158774
52,569.6060192584991,7.29158774
53,569.6066496372223,7.29158774
54,593.7948770523071,7.29158774
55,593.7955431938171,7.29158774
56,616.9396040439606,7.29158774
57,616.9403154850006,7.29158774
58,616.9406843185425,7.29158774
59,653.774299621582,7.29158774
60,653.7772126197815,7.29158774
61,653.7774429321289,7.29158774
62,659.8211739063263,7.29158774
63,659.8217430114746,7.29158774
64,673.3496363162994,7.29158774
65,673.3501958847046,7.29158774
66,673.3504178524017,7.29158774
67,684.1007869243622,7.29158774
68,684.1015138626099,7.29158774
69,684.1018249988556,7.29158774
70,695.6470260620117,7.29158774
71,695.6480317115784,7.29158774
72,695.6485385894775,7.29158774
73,696.4526813030243,7.29158774
74,696.453254699707,7.29158774
75,698.4542841911316,7.29158774
76,698.455011844635,7.29158774
77,698.4555056095123,7.29158774
78,701.2455415725708,7.29158774
79,701.246255159378,7.29158774
80,725.6011872291565,7.29158774
81,725.601898431778,7.29158774
82,725.602217912674,7.29158774
83,725.6032238006592,7.29158774
84,733.988569021225,7.29158774
85,733.989351272583,7.29158774
86,746.3004169464111,7.29158774
87,746.3011710643768,7.29158774
88,746.3018734455109,7.29158774
89,750.7778387069702,7.29158774
90,750.7785491943359,7.29158774
91,754.2940263748169,7.29158774
92,754.2947387695312,7.29158774
93,780.9337866306305,7.29158774
94,780.9345512390137,7.29158774
95,782.8745620250702,7.29158774
96,782.8752644062042,7.29158774
97,785.7274692058563,7.29158774
98,785.7281353473663,7.29158774
99,790.2223081588745,7.29158774
100,790.2229566574097,7.29158774
101,792.702249288559,7.29158774
102,792.7029702663422,7.29158774
103,792.7034261226654,7.29158774
104,823.7761116027832,7.29158774
105,823.7789630889893,7.29158774
106,840.7041919231415,7.29158774
107,840.7047035694122,7.29158774
108,879.0488610267639,7.27395918
109,1072.1084547042847,7.27395918
110,1073.601168870926,7.27395918
111,1078.7542006969452,7.27395918
112,1459.0278363227844,7.27395918
113,1459.0299780368805,7.27395918
114,1459.0325920581818,7.27395918
115,1646.081309556961,7.27395918
116,1646.0843641757965,7.27395918
117,1646.0862562656403,7.27395918
118,1646.087173461914,7.27395918
119,1646.087899684906,7.27395918
120,1650.666711807251,7.27395918
121,1650.6672945022583,7.27395918
122,1651.6328027248383,7.27395918
123,1651.6333169937134,7.27395918
124,1652.5084199905396,7.27395918
125,1652.5089855194092,7.27395918
126,1652.5093669891357,7.27395918
127,1691.7746095657349,7.27395918
128,1691.776626110077,7.27395918
129,1692.6795179843903,7.27395918
130,1692.6799311637878,7.27395918
131,1692.6815874576569,7.27395918
132,1701.1764478683472,7.27395918
133,1701.176998615265,7.27395918
134,1708.7132096290588,7.27395918
135,1708.7137434482574,7.27395918
136,1731.2976574897766,7.27395918
137,1731.2982506752014,7.27395918
138,1734.0168561935425,7.27395918
139,1734.0172617435455,7.27395918
140,1734.0175967216492,7.27395918
141,1738.5254418849945,7.27395918
142,1738.5260043144226,7.27395918
143,1741.097472667694,7.27395918
144,1741.0981361865997,7.27395918
145,1746.090467453003,7.27395918
146,1746.0909957885742,7.27395918
147,1812.6783878803253,7.27395918
148,1812.6790120601654,7.27395918
149,1814.327993631363,7.27395918
