Round,Relative Time (ms),Value
0,19.29543662071228,2.08630088
1,25.856497526168823,2.08630088
2,25.857113361358643,2.08630088
3,33.281651973724365,2.08630088
4,33.28233194351196,2.08630088
5,33.28265690803528,2.08630088
6,39.54376196861267,2.08630088
7,39.54435062408447,2.08630088
8,41.548019886016846,2.08630088
9,41.548582792282104,2.08630088
10,47.956823110580444,2.08630088
11,47.957515001297,2.08630088
12,48.21957802772522,2.08630088
13,48.22014904022217,2.08630088
14,59.31195664405823,1.9369174
15,71.85869979858398,1.9369174
16,82.12631821632385,1.9369174
17,82.12879586219788,1.9369174
18,96.75138092041016,1.9035583
19,109.19966626167297,1.9035583
20,114.59689378738403,1.9035583
21,114.59964776039124,1.9035583
22,122.01721858978271,1.9035583
23,122.01781749725342,1.9035583
24,127.8803346157074,1.9035583
25,127.88094401359558,1.9035583
26,127.88215661048889,1.9035583
27,129.61627984046936,1.9035583
28,129.6167917251587,1.9035583
29,139.6941215991974,1.9035583
30,139.69489789009094,1.9035583
31,141.5135281085968,1.9035583
32,141.5140974521637,1.9035583
33,152.88411402702332,1.8168615600000002
34,152.8848738670349,1.8168615600000002
35,163.78096437454224,1.8168615600000002
36,163.7844274044037,1.8168615600000002
37,163.78516626358032,1.8168615600000002
38,175.56507873535156,1.8168615600000002
39,175.565682888031,1.8168615600000002
40,175.56583452224731,1.8168615600000002
41,179.46219539642334,1.8168615600000002
42,179.46283960342407,1.8168615600000002
43,179.46365809440613,1.8168615600000002
44,179.46402716636658,1.8168615600000002
45,183.14615941047668,1.7395799600000001
46,185.51678466796875,1.7395799600000001
47,197.26437830924988,1.7395799600000001
48,197.2650237083435,1.7395799600000001
49,197.26533365249634,1.7395799600000001
50,198.77024698257446,1.7395799600000001
51,198.77084040641785,1.7395799600000001
52,198.7710645198822,1.7395799600000001
53,200.97844457626343,1.7395799600000001
54,200.97907757759094,1.7395799600000001
55,204.78187370300293,1.7395799600000001
56,204.7824363708496,1.7395799600000001
57,204.78258848190308,1.7395799600000001
58,215.94128584861755,1.7395799600000001
59,215.94201064109802,1.7395799600000001
60,216.16665410995483,1.7395799600000001
61,216.16723322868347,1.7395799600000001
62,228.70259952545166,1.7395799600000001
63,228.70325088500977,1.7395799600000001
64,238.42148637771606,1.7395799600000001
65,238.42214059829712,1.7395799600000001
66,238.4223563671112,1.7395799600000001
67,247.3485884666443,1.7395799600000001
68,247.35147714614868,1.7395799600000001
69,247.35169577598572,1.7395799600000001
70,247.58650183677673,1.7395799600000001
71,247.58710741996765,1.7395799600000001
72,253.3694658279419,1.7395799600000001
73,253.37008333206177,1.7395799600000001
74,258.4256691932678,1.7395799600000001
75,258.4262726306915,1.7395799600000001
76,262.42533135414124,1.7395799600000001
77,262.4258382320404,1.7395799600000001
78,276.7994270324707,1.7395799600000001
79,276.80018854141235,1.7395799600000001
80,276.80040311813354,1.7395799600000001
81,291.1718204021454,1.7395799600000001
82,291.1723737716675,1.7395799600000001
83,304.50619769096375,1.7395799600000001
84,304.5068075656891,1.7395799600000001
85,316.21000576019287,1.7395799600000001
86,316.21076917648315,1.7395799600000001
87,330.6405153274536,1.7395799600000001
88,330.64301204681396,1.7395799600000001
89,333.8106288909912,1.7395799600000001
90,333.81186985969543,1.7395799600000001
91,333.81263971328735,1.7395799600000001
92,343.31014227867126,1.7395799600000001
93,343.3107681274414,1.7395799600000001
94,343.3115887641907,1.7395799600000001
95,347.34597516059875,1.7395799600000001
96,347.34654903411865,1.7395799600000001
97,347.34676241874695,1.7395799600000001
98,351.553612947464,1.7395799600000001
99,351.5541968345642,1.7395799600000001
100,351.5544035434723,1.7395799600000001
101,359.68823170661926,1.7395799600000001
102,359.6888349056244,1.7395799600000001
103,370.9407756328583,1.7395799600000001
104,370.941885471344,1.7395799600000001
105,378.32435131073,1.7395799600000001
106,378.3250639438629,1.7395799600000001
107,383.7936336994171,1.7395799600000001
108,383.79433488845825,1.7395799600000001
109,385.84203839302063,1.7395799600000001
110,385.84255170822144,1.7395799600000001
111,389.1507623195648,1.7395799600000001
112,389.15143394470215,1.7395799600000001
113,389.64853024482727,1.7395799600000001
114,389.64907455444336,1.7395799600000001
115,389.9015247821808,1.7395799600000001
116,389.90206003189087,1.7395799600000001
117,389.902281999588,1.7395799600000001
118,390.4125769138336,1.7395799600000001
119,390.4131977558136,1.7395799600000001
120,391.9153153896332,1.7395799600000001
121,391.91588830947876,1.7395799600000001
122,395.0406484603882,1.7395799600000001
123,395.04142594337463,1.7395799600000001
124,398.32129669189453,1.7395799600000001
125,398.3219106197357,1.7395799600000001
126,400.00153493881226,1.7395799600000001
127,400.00217461586,1.7395799600000001
128,402.628493309021,1.7395799600000001
129,402.62907910346985,1.7395799600000001
130,404.80310583114624,1.7395799600000001
131,404.80370688438416,1.7395799600000001
132,417.8187277317047,1.7395799600000001
133,417.81944608688354,1.7395799600000001
134,422.60731267929077,1.7395799600000001
135,422.6077735424042,1.7395799600000001
136,422.8503632545471,1.7395799600000001
137,422.85099172592163,1.7395799600000001
138,424.42810916900635,1.7395799600000001
139,424.4286296367645,1.7395799600000001
140,424.42879462242126,1.7395799600000001
141,424.6605281829834,1.7395799600000001
142,424.6610891819,1.7395799600000001
143,434.1842837333679,1.7395799600000001
144,434.184858083725,1.7395799600000001
145,434.18502259254456,1.7395799600000001
146,436.19632029533386,1.7395799600000001
147,436.19689106941223,1.7395799600000001
148,436.1971116065979,1.7395799600000001
149,437.5122559070587,1.7395799600000001
