Round,Relative Time (ms),Value
0,15.156682252883911,0.41608312
1,21.744603395462036,0.41422
2,29.211856842041016,0.3963105
3,29.55493998527527,0.3963105
4,37.91996479034424,0.3963105
5,37.92096734046936,0.3963105
6,49.28136968612671,0.3963105
7,49.28520059585571,0.3963105
8,52.09101414680481,0.3963105
9,52.09172701835632,0.3963105
10,55.7584867477417,0.3963105
11,55.759222984313965,0.3963105
12,55.76031541824341,0.3963105
13,59.51077127456665,0.3963105
14,59.51158666610718,0.3963105
15,68.9243495464325,0.3963105
16,68.92556357383728,0.3963105
17,71.05668783187866,0.3963105
18,71.0577175617218,0.3963105
19,71.05804681777954,0.3963105
20,83.99834609031677,0.3963105
21,83.99974632263184,0.3963105
22,90.5890462398529,0.3963105
23,90.5897467136383,0.3963105
24,90.79985737800598,0.3963105
25,90.8008861541748,0.3963105
26,92.65497493743896,0.3963105
27,92.65590119361877,0.3963105
28,94.29599809646606,0.3963105
29,94.29698204994202,0.3963105
30,98.9805200099945,0.3963105
31,98.9811954498291,0.3963105
32,108.33284068107605,0.3963105
33,108.33364653587341,0.3963105
34,108.3338668346405,0.3963105
35,116.21077537536621,0.3963105
36,116.2115752696991,0.3963105
37,116.21181130409241,0.3963105
38,119.17894124984741,0.3901461
39,119.60933828353882,0.3901461
40,129.6017563343048,0.3901461
41,129.60595655441284,0.3901461
42,134.05150818824768,0.3901461
43,134.05218863487244,0.3901461
44,172.88452458381653,0.3901461
45,172.88865494728088,0.3901461
46,195.09765720367432,0.3901461
47,195.10197281837463,0.3901461
48,196.624121427536,0.3901461
49,196.62525415420532,0.3901461
50,207.11818599700928,0.3901461
51,207.1194133758545,0.3901461
52,214.56190848350525,0.3901461
53,214.56259322166443,0.3901461
54,221.92310166358948,0.3901461
55,221.9242057800293,0.3901461
56,221.92436122894287,0.3901461
57,269.5133557319641,0.3901461
58,269.51592803001404,0.3901461
59,275.39459681510925,0.3901461
60,275.395694732666,0.3901461
61,278.7033634185791,0.3901461
62,278.70411491394043,0.3901461
63,278.704398393631,0.3901461
64,290.1692273616791,0.3901461
65,290.1699855327606,0.3901461
66,290.17021918296814,0.3901461
67,290.1710293292999,0.3901461
68,290.1723356246948,0.3901461
69,290.1730456352234,0.3901461
70,298.4006857872009,0.3901461
71,298.40159726142883,0.3901461
72,308.4787049293518,0.3901461
73,308.47979617118835,0.3901461
74,308.47995805740356,0.3901461
75,309.7785177230835,0.3901461
76,309.77924036979675,0.3901461
77,316.9359052181244,0.3901461
78,316.93695735931396,0.3901461
79,317.15114283561707,0.3901461
80,317.1521234512329,0.3901461
81,319.78290939331055,0.3901461
82,319.7838976383209,0.3901461
83,319.7840576171875,0.3901461
84,319.78455877304077,0.3901461
85,320.31292033195496,0.3901461
86,320.3138689994812,0.3901461
87,321.8477065563202,0.3901461
88,321.848562002182,0.3901461
89,327.6884551048279,0.38062989999999997
90,330.7244963645935,0.37369294
91,331.7774021625519,0.37369294
92,344.4598922729492,0.37369294
93,344.4608292579651,0.37369294
94,350.1904282569885,0.37369294
95,350.19140672683716,0.37369294
96,389.0864722728729,0.37369294
97,389.0877637863159,0.37369294
98,392.6943910121918,0.37369294
99,392.6957585811615,0.37369294
100,392.6962707042694,0.37369294
101,397.8845899105072,0.37369294
102,397.8876762390137,0.37369294
103,409.2791349887848,0.37369294
104,409.28194308280945,0.37369294
105,409.2841832637787,0.37369294
106,409.9784231185913,0.37369294
107,409.9790985584259,0.37369294
108,410.39182686805725,0.37369294
109,410.39275193214417,0.37369294
110,410.62836742401123,0.37369294
111,410.62936663627625,0.37369294
112,411.5948646068573,0.37369294
113,411.5958185195923,0.37369294
114,416.79871582984924,0.37369294
115,416.7997760772705,0.37369294
116,418.97673058509827,0.37369294
117,418.97775864601135,0.37369294
118,418.9779977798462,0.37369294
119,419.7761869430542,0.37369294
120,419.776908159256,0.37369294
121,421.359356880188,0.37369294
122,421.3603229522705,0.37369294
123,424.5775218009949,0.37369294
124,424.57857728004456,0.37369294
125,424.57880663871765,0.37369294
126,427.2246160507202,0.37369294
127,427.2256646156311,0.37369294
128,428.8028268814087,0.37369294
129,428.80372428894043,0.37369294
130,429.4338126182556,0.37369294
131,429.43478870391846,0.37369294
132,437.66589879989624,0.37369294
133,437.6665620803833,0.37369294
134,437.66681432724,0.37369294
135,437.9669017791748,0.37369294
136,437.9675033092499,0.37369294
137,438.5303330421448,0.37369294
138,438.53095507621765,0.37369294
139,438.5313792228699,0.37369294
140,439.141809463501,0.37369294
141,439.1423177719116,0.37369294
142,444.0002796649933,0.37369294
143,444.00096702575684,0.37369294
144,444.80199456214905,0.37369294
145,444.8030459880829,0.37369294
146,444.8036503791809,0.37369294
147,446.1856212615967,0.37369294
148,446.18686962127686,0.37369294
149,487.38018584251404,0.37369294
