Round,Relative Time (ms),Value
0,13.129354000091553,0.36497762
1,13.130457162857056,0.36497762
2,24.300473928451538,0.36497762
3,24.301605939865112,0.36497762
4,30.886359691619873,0.36497762
5,30.88715958595276,0.36497762
6,33.82809662818909,0.36497762
7,33.82922387123108,0.36497762
8,41.3717041015625,0.36497762
9,41.372238874435425,0.36497762
10,45.646798849105835,0.36497762
11,45.64738440513611,0.36497762
12,45.64761281013489,0.36497762
13,45.64786148071289,0.36497762
14,48.467153549194336,0.36497762
15,48.46758818626404,0.36497762
16,48.467759132385254,0.36497762
17,59.684707164764404,0.36497762
18,59.685381174087524,0.36497762
19,69.76637649536133,0.36497762
20,69.76743245124817,0.36497762
21,73.94551038742065,0.36497762
22,73.94667840003967,0.36497762
23,81.37664008140564,0.36497762
24,81.3776535987854,0.36497762
25,81.3780198097229,0.36497762
26,89.61899447441101,0.3378918
27,92.19600129127502,0.3378918
28,94.44548630714417,0.3378918
29,94.44615840911865,0.3378918
30,94.44686031341553,0.3378918
31,98.80876135826111,0.3378918
32,98.80950856208801,0.3378918
33,98.80972361564636,0.3378918
34,99.25435853004456,0.3378918
35,99.25533723831177,0.3378918
36,101.53107237815857,0.3378918
37,101.53177165985107,0.3378918
38,107.74747896194458,0.3378918
39,107.74852681159973,0.3378918
40,113.42959356307983,0.3378918
41,113.43030714988708,0.3378918
42,127.21583771705627,0.3378918
43,127.21875166893005,0.3378918
44,127.22118949890137,0.3378918
45,136.7980601787567,0.3378918
46,136.79872798919678,0.3378918
47,136.79894709587097,0.3378918
48,141.4459171295166,0.3378918
49,141.4464373588562,0.3378918
50,142.54501581192017,0.3378918
51,142.546067237854,0.3378918
52,142.54642367362976,0.3378918
53,142.54673647880554,0.3378918
54,145.76298809051514,0.3378918
55,145.7637026309967,0.3378918
56,150.09891271591187,0.3378918
57,150.10004258155823,0.3378918
58,157.95339465141296,0.3378918
59,157.95463395118713,0.3378918
60,160.26173639297485,0.3378918
61,160.2628252506256,0.3378918
62,160.26305150985718,0.3378918
63,161.1900918483734,0.3378918
64,161.1911506652832,0.3378918
65,164.12762784957886,0.3378918
66,164.12875080108643,0.3378918
67,171.84305119514465,0.3378918
68,171.84417390823364,0.3378918
69,177.56910848617554,0.3378918
70,177.57023549079895,0.3378918
71,177.570454120636,0.3378918
72,185.61171412467957,0.3378918
73,185.61266684532166,0.3378918
74,185.61283564567566,0.3378918
75,185.9981873035431,0.3378918
76,185.99890613555908,0.3378918
77,185.99913430213928,0.3378918
78,188.3895697593689,0.3378918
79,188.39067602157593,0.3378918
80,191.14707374572754,0.3378918
81,191.147967338562,0.3378918
82,191.14842009544373,0.3378918
83,197.28563976287842,0.3378918
84,197.2867283821106,0.3378918
85,199.61436343193054,0.3378918
86,199.61546063423157,0.3378918
87,199.61570572853088,0.3378918
88,201.83616065979004,0.3378918
89,201.83716344833374,0.3378918
90,201.83738446235657,0.3378918
91,201.83768844604492,0.3378918
92,202.34996557235718,0.3378918
93,202.35093665122986,0.3378918
94,205.27904891967773,0.3378918
95,205.27976489067078,0.3378918
96,205.86054491996765,0.3378918
97,205.86126828193665,0.3378918
98,205.86148953437805,0.3378918
99,207.97737622261047,0.3378918
100,207.97846341133118,0.3378918
101,208.62343168258667,0.3378918
102,208.62419891357422,0.3378918
103,210.59084582328796,0.3378918
104,210.59200048446655,0.3378918
105,212.9060182571411,0.3378918
106,212.9070851802826,0.3378918
107,212.9073188304901,0.3378918
108,215.55820393562317,0.3378918
109,215.5592966079712,0.3378918
110,215.74314165115356,0.3378918
111,215.7441647052765,0.3378918
112,216.95357489585876,0.3378918
113,216.95508337020874,0.3378918
114,225.88469552993774,0.3378918
115,225.88775277137756,0.3378918
116,237.37567353248596,0.3378918
117,237.37752437591553,0.3378918
118,248.65382432937622,0.3378918
119,248.65500664710999,0.3378918
120,248.6554660797119,0.3378918
121,251.53295135498047,0.3378918
122,251.53400015830994,0.3378918
123,256.6934394836426,0.3378918
124,256.6945312023163,0.3378918
125,261.7874138355255,0.3378918
126,261.78817772865295,0.3378918
127,261.78839135169983,0.3378918
128,267.6864221096039,0.3378918
129,267.68752574920654,0.3378918
130,267.68796586990356,0.3378918
131,268.0657835006714,0.3378918
132,268.06675481796265,0.3378918
133,276.96538043022156,0.3378918
134,276.9665563106537,0.3378918
135,276.96703577041626,0.3378918
136,276.96752762794495,0.3378918
137,280.8705611228943,0.3378918
138,280.8718116283417,0.3378918
139,285.9393312931061,0.3378918
140,285.9403338432312,0.3378918
141,285.9404957294464,0.3378918
142,285.94111251831055,0.3378918
143,286.5389223098755,0.3378918
144,286.53996658325195,0.3378918
145,288.7778289318085,0.3378918
146,288.7788791656494,0.3378918
147,288.780225276947,0.3378918
148,293.7733986377716,0.3378918
149,293.7744061946869,0.3378918
