Round,Relative Time (ms),Value
0,16.81156325340271,0.17463876
1,16.8157696723938,0.17463876
2,25.939263343811035,0.13381346
3,28.932678937911987,0.13381346
4,30.03622078895569,0.13381346
5,30.037099838256836,0.13381346
6,37.44292759895325,0.13381346
7,37.44382619857788,0.13381346
8,37.44420075416565,0.13381346
9,44.845094203948975,0.09339940000000001
10,45.25134229660034,0.09339940000000001
11,50.42988610267639,0.09339940000000001
12,50.430503129959106,0.09339940000000001
13,57.2323260307312,0.09339940000000001
14,57.23302364349365,0.09339940000000001
15,66.92046642303467,0.09339940000000001
16,66.92355251312256,0.09339940000000001
17,66.9254629611969,0.09339940000000001
18,72.49914240837097,0.09339940000000001
19,72.50008177757263,0.09339940000000001
20,72.50062727928162,0.09339940000000001
21,76.92554306983948,0.09339940000000001
22,76.92634606361389,0.09339940000000001
23,85.84224605560303,0.09339940000000001
24,85.84311032295227,0.09339940000000001
25,93.13924312591553,0.09339940000000001
26,93.14000201225281,0.09339940000000001
27,96.22033643722534,0.09339940000000001
28,96.22100567817688,0.09339940000000001
29,100.99305748939514,0.09339940000000001
30,100.99396347999573,0.09339940000000001
31,100.9945924282074,0.09339940000000001
32,105.62147355079651,0.09339940000000001
33,105.62591218948364,0.09339940000000001
34,118.9533896446228,0.09339940000000001
35,118.9542350769043,0.09339940000000001
36,130.251042842865,0.07644964
37,131.9662618637085,0.07644964
38,145.0563304424286,0.07644964
39,145.0572760105133,0.07644964
40,152.81770610809326,0.07644964
41,152.81850171089172,0.07644964
42,152.81899785995483,0.07644964
43,154.28644609451294,0.07644964
44,154.28725004196167,0.07644964
45,163.30683588981628,0.07644964
46,163.31020784378052,0.07644964
47,163.31060457229614,0.07644964
48,165.84390568733215,0.07644964
49,165.84463262557983,0.07644964
50,175.59247016906738,0.07644964
51,175.59534215927124,0.07644964
52,175.59558606147766,0.07644964
53,183.96961498260498,0.07644964
54,183.97059774398804,0.07644964
55,194.809823513031,0.07644964
56,194.8106653690338,0.07644964
57,203.46459698677063,0.07644964
58,203.46558046340942,0.07644964
59,210.15616941452026,0.07644964
60,210.15677618980408,0.07644964
61,220.01813960075378,0.07644964
62,220.0190246105194,0.07644964
63,220.01941466331482,0.07644964
64,222.00533819198608,0.07644964
65,222.00757026672363,0.07644964
66,222.00802779197693,0.07644964
67,222.0096411705017,0.07644964
68,227.5558681488037,0.07644964
69,227.55692529678345,0.07644964
70,244.4152693748474,0.07644964
71,244.41660618782043,0.07644964
72,255.27001404762268,0.07644964
73,255.27144241333008,0.07644964
74,260.09404945373535,0.07644964
75,260.1050708293915,0.07644964
76,262.4605975151062,0.07644964
77,262.46142315864563,0.07644964
78,262.4617512226105,0.07644964
79,262.4700267314911,0.07644964
80,266.6378757953644,0.07644964
81,266.6389956474304,0.07644964
82,266.63964796066284,0.07644964
83,267.1408166885376,0.07644964
84,267.14189624786377,0.07644964
85,267.14252495765686,0.07644964
86,267.14885663986206,0.07644964
87,267.95576548576355,0.07644964
88,267.95681715011597,0.07644964
89,267.9572126865387,0.07644964
90,275.10435461997986,0.07644964
91,275.1052532196045,0.07644964
92,275.42765831947327,0.07644964
93,275.4284360408783,0.07644964
94,290.1531009674072,0.07644964
95,290.1540455818176,0.07644964
96,293.0260741710663,0.07644964
97,293.0271191596985,0.07644964
98,294.2147455215454,0.07644964
99,294.2157950401306,0.07644964
