Round,Relative Time (ms),Value
0,14.860689163208008,0.0477863
1,26.120859622955322,0.0477863
2,36.63251972198486,0.0477863
3,36.63355779647827,0.0477863
4,52.13149666786194,0.04531486
5,56.20750403404236,0.04531486
6,60.194600105285645,0.04531486
7,60.195807218551636,0.04531486
8,61.82313513755798,0.04531486
9,61.82406139373779,0.04531486
10,61.82461881637573,0.04531486
11,72.3410952091217,0.04531486
12,72.34423589706421,0.04531486
13,74.51033425331116,0.04531486
14,74.51149916648865,0.04531486
15,80.07375597953796,0.04531486
16,80.07455134391785,0.04531486
17,81.43220615386963,0.04531486
18,81.43302202224731,0.04531486
19,87.96626806259155,0.04531486
20,87.96741843223572,0.04531486
21,87.968017578125,0.04531486
22,94.57786178588867,0.04531486
23,94.5788516998291,0.04531486
24,110.64712977409363,0.04531486
25,110.66230082511902,0.04531486
26,110.66798710823059,0.04531486
27,112.7122049331665,0.04531486
28,112.71378946304321,0.04531486
29,114.84813833236694,0.04531486
30,114.84926676750183,0.04531486
31,121.51401019096375,0.04531486
32,121.51499581336975,0.04531486
33,129.54940724372864,0.0444184
34,133.85420274734497,0.0444184
35,137.8084328174591,0.0444184
36,137.809504032135,0.0444184
37,141.20518040657043,0.0444184
38,141.20618867874146,0.0444184
39,143.492506980896,0.043556
40,143.88587188720703,0.043556
41,148.62958478927612,0.043556
42,148.63550734519958,0.043556
43,153.3325219154358,0.043556
44,153.3342912197113,0.043556
45,153.33626866340637,0.043556
46,153.3374059200287,0.043556
47,153.3377902507782,0.043556
48,153.3380355834961,0.043556
49,157.5420367717743,0.043556
50,157.54322481155396,0.043556
51,163.83191800117493,0.043556
52,163.83313131332397,0.043556
53,168.25308561325073,0.043556
54,168.254075050354,0.043556
55,168.25459170341492,0.043556
56,168.25510668754578,0.043556
57,168.64918851852417,0.043556
58,168.6502182483673,0.043556
59,168.65071654319763,0.043556
60,169.2941062450409,0.043556
61,169.29507875442505,0.043556
62,169.29614877700806,0.043556
63,179.87299060821533,0.043556
64,179.87411832809448,0.043556
65,179.8745093345642,0.043556
66,195.14403128623962,0.043556
67,195.14533495903015,0.043556
68,199.5271019935608,0.043556
69,199.5279667377472,0.043556
70,204.4094681739807,0.043556
71,204.41047525405884,0.043556
72,204.41103267669678,0.043556
73,212.5364863872528,0.043556
74,212.54412937164307,0.043556
75,212.54461789131165,0.043556
76,214.8817219734192,0.043556
77,214.8835244178772,0.043556
78,222.49095249176025,0.043556
79,222.49225401878357,0.043556
80,231.08701729774475,0.043556
81,231.09333682060242,0.043556
82,231.8899109363556,0.043556
83,231.89115285873413,0.043556
84,231.89231991767883,0.043556
85,232.81908297538757,0.043556
86,232.81998991966248,0.043556
87,232.8215365409851,0.043556
88,233.00219321250916,0.043556
89,233.00309348106384,0.043556
90,233.17097067832947,0.043556
91,233.17214345932007,0.043556
92,237.53600978851318,0.043556
93,237.537189245224,0.043556
94,237.92749547958374,0.043556
95,237.92851638793945,0.043556
96,239.05058598518372,0.043556
97,239.0516288280487,0.043556
98,246.54507064819336,0.043556
99,246.55230116844177,0.043556
