P i1,P k1,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P mode0,P mode1,P mode2,P mode3,P para,P nt,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
16,256,32,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,24,23,2423,1.1097664833068848
8,2,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,256,0,33,33,1.1384140253067017
16,32,128,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,64,8,33,833,1.1177129745483398
16,4,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,64,1,33,133,1.2700915336608887
16,256,64,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,128,32,23,3223,1.1394273042678833
16,256,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,64,24,33,2433,1.1270794868469238
1,256,128,i1,k1,i0,j1,k0,j0,0,1,0,0,i1,48,128,2,33,233,1.282456874847412
32,4,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,64,2,33,233,1.2710261344909668
2,4,128,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,128,0,33,33,1.2792888879776
16,64,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,64,16,13,1613,1.1456109285354614
8,256,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,256,8,23,823,1.1408153772354126
8,4,64,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,256,0,33,33,1.1341153383255005
1,256,32,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,256,1,3,103,1.2790218591690063
4,128,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,16,32,23,3223,1.284906268119812
2,32,128,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,256,0,3,3,1.2853267192840576
2,128,128,i1,k1,i0,j1,k0,j0,1,0,0,0,i1,48,64,4,13,413,1.2790461778640747
16,2,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,128,0,23,23,1.2724330425262451
8,128,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,64,16,33,1633,1.2817555665969849
8,2,64,i1,j1,i0,k1,k0,j0,0,1,0,0,i1,48,128,0,13,13,1.2872658967971802
8,8,64,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,128,0,23,23,1.2683780193328857
16,256,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,24,23,2423,1.1527670621871948
2,32,128,i1,j1,i0,k1,k0,j0,0,0,0,0,i1,48,256,0,33,33,1.1581346988677979
32,256,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,8,23,823,1.1436115503311157
32,128,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,64,24,13,2413,1.1349265575408936
4,128,16,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,64,8,3,803,1.2833080291748047
2,64,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,128,1,23,123,1.2893548011779785
4,128,32,i1,k1,k0,i0,j1,j0,1,0,0,0,i1,48,128,4,3,403,1.317562460899353
8,32,32,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,32,8,13,813,1.3355178833007812
4,64,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,16,16,23,1623,1.2853660583496094
4,256,64,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,128,8,13,813,1.2854737043380737
8,256,4,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,32,23,3223,1.3202507495880127
16,2,128,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,128,0,13,13,1.2860738039016724
2,16,64,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,128,0,3,3,1.2799804210662842
4,8,32,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,64,0,13,13,1.2760101556777954
8,4,32,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,1,23,123,1.289784550666809
16,4,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,2,13,213,1.2926098108291626
