Round,Relative Time (ms),Value
0,20.705626964569092,1.247767
1,20.706161737442017,1.247767
2,39.614418268203735,1.247767
3,39.614965200424194,1.247767
4,51.652682304382324,1.199276
5,51.65315628051758,1.199276
6,63.81445050239563,1.141176
7,66.59669089317322,1.141176
8,68.17411828041077,1.141176
9,68.17453598976135,1.141176
10,76.38364338874817,1.141176
11,76.38415384292603,1.141176
12,76.38440942764282,1.141176
13,85.35444712638855,1.141176
14,85.35642910003662,1.141176
15,88.39636135101318,1.141176
16,88.39677000045776,1.141176
17,88.39713621139526,1.141176
18,88.39767408370972,1.141176
19,93.92855429649353,1.141176
20,93.92902183532715,1.141176
21,113.76871156692505,1.141176
22,113.7693076133728,1.141176
23,113.76954245567322,1.141176
24,122.65030121803284,1.141176
25,122.65079355239868,1.141176
26,122.65094780921936,1.141176
27,134.62790036201477,1.141176
28,134.62837934494019,1.141176
29,139.63755440711975,1.141176
30,139.6379885673523,1.141176
31,151.10251760482788,1.141176
32,151.10419178009033,1.141176
33,163.81608176231384,1.141176
34,163.81792974472046,1.141176
35,163.81815576553345,1.141176
36,170.4803409576416,1.141176
37,170.48081851005554,1.141176
38,170.48102068901062,1.141176
39,170.4821536540985,1.141176
40,182.94983172416687,1.141176
41,182.95160627365112,1.141176
42,182.95181822776794,1.141176
43,191.7494671344757,1.141176
44,191.75134253501892,1.141176
45,191.75156807899475,1.141176
46,197.27573347091675,1.141176
47,197.27631878852844,1.141176
48,201.49597477912903,1.141176
49,201.49643635749817,1.141176
50,201.49664878845215,1.141176
51,209.92068123817444,1.141176
52,209.9238302707672,1.141176
53,209.92410826683044,1.141176
54,230.02500557899475,0.24322916
55,238.25658297538757,0.24322916
56,239.5597848892212,0.24322916
57,239.56024813652039,0.24322916
58,248.91943502426147,0.24322916
59,248.9199492931366,0.24322916
60,253.5534017086029,0.24322916
61,253.55387020111084,0.24322916
62,255.13818979263306,0.24322916
63,255.1386308670044,0.24322916
64,255.13895082473755,0.24322916
65,260.62979793548584,0.24322916
66,260.63028717041016,0.24322916
67,261.25021505355835,0.24322916
68,261.2506945133209,0.24322916
69,265.4239845275879,0.24322916
70,265.42614126205444,0.24322916
71,265.4263963699341,0.24322916
72,270.2944805622101,0.24322916
73,270.29499912261963,0.24322916
74,270.2952380180359,0.24322916
75,270.29603338241577,0.24322916
76,279.60306215286255,0.24322916
77,279.60362482070923,0.24322916
78,288.18705677986145,0.24322916
79,288.18760919570923,0.24322916
80,290.1643726825714,0.24322916
81,290.16704058647156,0.24322916
82,291.39868927001953,0.24322916
83,291.39923572540283,0.24322916
84,291.3994677066803,0.24322916
85,292.5073754787445,0.24322916
86,292.50786089897156,0.24322916
87,292.5080804824829,0.24322916
88,303.23631620407104,0.24322916
89,303.2368686199188,0.24322916
90,303.2370707988739,0.24322916
91,303.5699236392975,0.24322916
92,303.57041692733765,0.24322916
93,303.57067108154297,0.24322916
94,312.90766310691833,0.24322916
95,312.90816950798035,0.24322916
96,312.9084219932556,0.24322916
97,313.30779218673706,0.24322916
98,313.30822110176086,0.24322916
99,316.1821892261505,0.24322916
100,316.1826570034027,0.24322916
101,316.1828680038452,0.24322916
102,320.5443081855774,0.24322916
103,320.5447883605957,0.24322916
104,321.61474800109863,0.24322916
105,321.61510181427,0.24322916
106,322.6710846424103,0.24322916
107,322.6715188026428,0.24322916
108,324.00326919555664,0.24322916
109,324.0037319660187,0.24322916
110,326.9225149154663,0.24322916
111,326.92292761802673,0.24322916
112,326.9230885505676,0.24322916
113,326.9233615398407,0.24322916
114,337.7508056163788,0.24322916
115,337.7524199485779,0.24322916
116,344.4026463031769,0.24322916
117,344.40314745903015,0.24322916
118,344.40335392951965,0.24322916
119,349.9976556301117,0.24322916
120,349.99820470809937,0.24322916
121,349.998411655426,0.24322916
122,349.99865198135376,0.24322916
123,353.79288959503174,0.24322916
124,353.79333114624023,0.24322916
125,353.79354763031006,0.24322916
126,354.81245040893555,0.24322916
127,354.8130044937134,0.24322916
128,361.3871250152588,0.24322916
129,361.389390707016,0.24322916
130,364.48463559150696,0.24322916
131,364.4851408004761,0.24322916
132,364.48539328575134,0.24322916
133,366.53286051750183,0.24322916
134,366.5332934856415,0.24322916
135,368.8383626937866,0.24322916
136,368.83879566192627,0.24322916
137,368.8391168117523,0.24322916
138,377.2439794540405,0.24322916
139,377.2444508075714,0.24322916
140,377.2446572780609,0.24322916
141,380.2772145271301,0.24322916
142,380.2776699066162,0.24322916
143,386.4165871143341,0.24322916
144,386.41715264320374,0.24322916
145,396.653302192688,0.24322916
146,396.6549389362335,0.24322916
147,396.6551442146301,0.24322916
148,410.80638003349304,0.24322916
149,410.8068299293518,0.24322916
