Round,Relative Time (ms),Value
0,16.694894075393677,1.480458
1,23.29059863090515,1.480458
2,23.291061878204346,1.480458
3,25.188710689544678,1.480458
4,25.18919086456299,1.480458
5,36.64424109458923,1.480458
6,36.6459538936615,1.480458
7,46.3150098323822,1.480458
8,46.315507650375366,1.480458
9,55.26708388328552,1.480458
10,55.267577171325684,1.480458
11,55.591195583343506,1.480458
12,55.59165549278259,1.480458
13,55.59187912940979,1.480458
14,66.44966721534729,1.480458
15,66.45013165473938,1.480458
16,74.71139788627625,1.239442
17,74.98281812667847,1.239442
18,80.54459595680237,1.239442
19,80.54505324363708,1.239442
20,94.63028979301453,1.239442
21,94.63066411018372,1.239442
22,94.89089465141296,1.239442
23,94.89125633239746,1.239442
24,103.34770488739014,1.214344
25,109.86140203475952,1.214344
26,118.75244784355164,1.214344
27,118.75288462638855,1.214344
28,121.68336057662964,1.214344
29,121.6837911605835,1.214344
30,131.63366150856018,1.214344
31,131.63406085968018,1.214344
32,131.63430976867676,1.214344
33,131.63450574874878,1.214344
34,131.8884928226471,1.214344
35,131.88890194892883,1.214344
36,131.88911366462708,1.214344
37,133.8011257648468,1.214344
38,133.80153489112854,1.214344
39,135.43065762519836,1.214344
40,135.43104815483093,1.214344
41,135.4312288761139,1.214344
42,135.431574344635,1.214344
43,138.72976446151733,1.214344
44,138.7300946712494,1.214344
45,144.8381781578064,1.185309
46,145.70470666885376,1.185309
47,153.5714008808136,1.185309
48,153.57182550430298,1.185309
49,161.92679524421692,1.185309
50,161.9272072315216,1.185309
51,162.18281984329224,1.185309
52,162.18322372436523,1.185309
53,166.44388628005981,1.185309
54,166.44431614875793,1.185309
55,176.4777672290802,1.185309
56,176.47836351394653,1.185309
57,180.3302984237671,1.185309
58,180.33078837394714,1.185309
59,180.3310832977295,1.185309
60,180.33132934570312,1.185309
61,184.69425773620605,1.185309
62,184.69469261169434,1.185309
63,192.46373677253723,1.185309
64,192.46518421173096,1.185309
65,198.39426565170288,1.185309
66,198.3946418762207,1.185309
67,209.58545970916748,1.185309
68,209.58636593818665,1.185309
69,209.586740732193,1.185309
70,209.58705115318298,1.185309
71,210.35782194137573,1.185309
72,210.5994415283203,1.185309
73,210.59989142417908,1.185309
74,210.87263107299805,1.185309
75,210.87305903434753,1.185309
76,210.87332892417908,1.185309
77,216.71841096878052,1.185309
78,216.719055891037,1.185309
79,216.7192792892456,1.185309
80,216.71955251693726,1.185309
81,216.71984004974365,1.185309
82,226.8878538608551,1.185309
83,226.88826990127563,1.185309
84,230.6746861934662,1.185309
85,230.67509579658508,1.185309
86,230.67543244361877,1.185309
87,230.9715130329132,1.185309
88,230.97192811965942,1.185309
89,234.4277265071869,1.185309
90,234.42824125289917,1.185309
91,234.4284918308258,1.185309
92,234.4287428855896,1.185309
93,234.42912316322327,1.185309
94,234.42934894561768,1.185309
95,234.4296042919159,1.185309
96,234.4298713207245,1.185309
97,234.4300615787506,1.185309
98,242.96815586090088,1.185309
99,242.96870613098145,1.185309
100,252.1771080493927,1.185309
101,252.17749071121216,1.185309
102,258.9792640209198,1.185309
103,258.9798033237457,1.185309
104,264.1400566101074,1.185309
105,264.14056491851807,1.185309
106,264.14084935188293,1.185309
107,270.68848180770874,1.185309
108,270.6890323162079,1.185309
109,270.68939328193665,1.185309
110,270.6897358894348,1.185309
111,270.99578285217285,1.185309
112,270.99618792533875,1.185309
113,273.62538170814514,1.185309
114,273.62596130371094,1.185309
115,275.3965570926666,1.185309
116,275.3969852924347,1.185309
117,275.39727544784546,1.185309
118,280.7279498577118,1.185309
119,280.7284097671509,1.185309
120,291.6348912715912,1.185309
121,291.63544058799744,1.185309
122,297.59562492370605,1.185309
123,297.59703946113586,1.185309
124,297.59802651405334,1.185309
125,297.59912276268005,1.185309
126,297.59945368766785,1.185309
127,299.0264253616333,1.185309
128,299.02702617645264,1.185309
129,299.3133194446564,1.185309
130,299.3137135505676,1.185309
131,299.3141174316406,1.185309
132,299.3143219947815,1.185309
133,299.31458592414856,1.185309
134,299.31471967697144,1.185309
135,303.9988250732422,1.185309
136,303.9993152618408,1.185309
137,309.50456190109253,1.185309
138,309.5051574707031,1.185309
139,309.50539565086365,1.185309
140,319.6717953681946,1.185309
141,319.67235374450684,1.185309
142,327.0797519683838,1.185309
143,327.08034229278564,1.185309
144,333.9522120952606,1.185309
145,333.9526176452637,1.185309
146,340.4164204597473,1.185309
147,340.416978597641,1.185309
148,340.4172730445862,1.185309
149,340.4175395965576,1.185309
