Round,Relative Time (ms),Value
0,16.196927070617676,1.116119
1,18.333499670028687,1.116119
2,18.578197240829468,1.116119
3,18.578656435012817,1.116119
4,28.82794451713562,1.055044
5,30.97314977645874,1.055044
6,41.7482807636261,1.055044
7,41.74882936477661,1.055044
8,50.306949853897095,1.055044
9,50.307673931121826,1.055044
10,54.933144330978394,1.055044
11,54.93363642692566,1.055044
12,65.35665726661682,0.995782
13,72.2622184753418,0.995782
14,79.62863850593567,0.995782
15,79.63052105903625,0.995782
16,87.67298340797424,0.963811
17,90.77511715888977,0.963811
18,95.62442660331726,0.963811
19,95.62498998641968,0.963811
20,98.871741771698,0.963811
21,98.87224984169006,0.963811
22,106.70284056663513,0.963811
23,106.70339846611023,0.963811
24,115.20530438423157,0.963811
25,115.20579600334167,0.963811
26,120.33877944946289,0.963811
27,120.33979988098145,0.963811
28,120.33999633789062,0.963811
29,120.34022426605225,0.963811
30,125.64040064811707,0.963811
31,125.64076900482178,0.963811
32,125.64091920852661,0.963811
33,125.8851854801178,0.963811
34,125.88575839996338,0.963811
35,137.68696928024292,0.963811
36,137.68749475479126,0.963811
37,142.95634937286377,0.963811
38,142.95666217803955,0.963811
39,143.17433547973633,0.963811
40,143.17482042312622,0.963811
41,149.10995316505432,0.963811
42,149.11040115356445,0.963811
43,150.98721146583557,0.963811
44,150.98913264274597,0.963811
45,150.99038076400757,0.963811
46,151.8183834552765,0.963811
47,151.8188841342926,0.963811
48,152.65015625953674,0.963811
49,152.6506416797638,0.963811
50,154.42827439308167,0.963811
51,154.4288547039032,0.963811
52,154.42916703224182,0.963811
53,154.42947578430176,0.963811
54,162.04423213005066,0.963811
55,162.04465770721436,0.963811
56,162.04483699798584,0.963811
57,167.23700714111328,0.963811
58,167.23748803138733,0.963811
59,167.23796105384827,0.963811
60,168.26415848731995,0.963811
61,168.2645788192749,0.963811
62,168.2647683620453,0.963811
63,168.50808262825012,0.963811
64,168.50849533081055,0.963811
65,170.03589868545532,0.963811
66,170.03638219833374,0.963811
67,174.07346153259277,0.963811
68,174.07380437850952,0.963811
69,174.07392072677612,0.963811
70,175.41528964042664,0.963811
71,175.41557836532593,0.963811
72,175.97210025787354,0.963811
73,175.97243189811707,0.963811
74,176.46654629707336,0.963811
75,176.46707820892334,0.963811
76,176.467453956604,0.963811
77,177.46874117851257,0.963811
78,177.46918058395386,0.963811
79,185.44124054908752,0.963811
80,185.44179487228394,0.963811
81,190.5762403011322,0.963811
82,190.57665514945984,0.963811
83,194.13135409355164,0.962949
84,194.6344277858734,0.962949
85,201.09629321098328,0.962949
86,201.09677243232727,0.962949
87,206.02947187423706,0.962949
88,206.02991271018982,0.962949
89,211.66594171524048,0.962949
90,211.66643810272217,0.962949
91,211.66665196418762,0.962949
92,219.98804211616516,0.962949
93,219.98848032951355,0.962949
94,219.9886555671692,0.962949
95,225.71877670288086,0.962949
96,225.71921586990356,0.962949
97,225.71954488754272,0.962949
98,226.21340990066528,0.962949
99,226.2136950492859,0.962949
100,232.78346872329712,0.962949
101,232.78392100334167,0.962949
102,232.78412079811096,0.962949
103,232.78449726104736,0.962949
104,238.56645941734314,0.962949
105,238.5669858455658,0.962949
106,238.56733465194702,0.962949
107,238.56761598587036,0.962949
108,238.56789135932922,0.962949
109,242.13636589050293,0.962949
110,242.13678312301636,0.962949
111,242.13698172569275,0.962949
112,245.70634031295776,0.962949
113,245.70680785179138,0.962949
114,249.57869410514832,0.962949
115,249.5791881084442,0.962949
116,258.96395802497864,0.962949
117,258.9644968509674,0.962949
118,258.9647521972656,0.962949
119,258.96501874923706,0.962949
120,267.2389693260193,0.962949
121,267.239413022995,0.962949
122,273.5745577812195,0.962949
123,273.5750689506531,0.962949
124,273.5753502845764,0.962949
125,280.0430657863617,0.962949
126,280.0435199737549,0.962949
127,281.36827540397644,0.962949
128,281.3687286376953,0.962949
129,281.369167804718,0.962949
130,284.96666646003723,0.795573
131,285.46257996559143,0.795573
132,291.40268445014954,0.795573
133,291.4030930995941,0.795573
134,291.40326738357544,0.795573
135,291.40348863601685,0.795573
136,300.9782943725586,0.795573
137,300.9805898666382,0.795573
138,300.98077058792114,0.795573
139,302.05600690841675,0.795573
140,302.05644607543945,0.795573
141,302.9053475856781,0.795573
142,302.90629410743713,0.795573
143,305.33228373527527,0.795573
144,305.33275985717773,0.795573
145,305.84896445274353,0.795573
146,305.8493661880493,0.795573
147,310.4583308696747,0.795573
148,310.4587547779083,0.795573
149,310.45897698402405,0.795573
