Round,Relative Time (ms),Value
0,21.859499216079712,1.761977
1,32.52514123916626,1.761977
2,32.525633335113525,1.761977
3,32.52584266662598,1.761977
4,41.16063976287842,1.761977
5,41.162267208099365,1.761977
6,65.27487134933472,1.761977
7,65.27544665336609,1.761977
8,65.27573037147522,1.761977
9,65.6183111667633,1.761977
10,65.61875867843628,1.761977
11,77.74473476409912,1.761977
12,77.74515533447266,1.761977
13,77.74538326263428,1.761977
14,90.02097177505493,1.761977
15,90.02139544487,1.761977
16,98.8480966091156,1.761977
17,98.84869337081909,1.761977
18,98.84896183013916,1.761977
19,125.22052097320557,1.761977
20,125.22094345092773,1.761977
21,126.75681185722351,1.761977
22,126.75713324546814,1.761977
23,151.91462898254395,1.761977
24,151.91604328155518,1.761977
25,167.8491132259369,1.761977
26,167.8495683670044,1.761977
27,173.19378519058228,1.761977
28,173.19427633285522,1.761977
29,187.94279599189758,1.761977
30,187.94328951835632,1.761977
31,192.0524525642395,1.761977
32,192.05298852920532,1.761977
33,192.05328559875488,1.761977
34,196.43184447288513,1.761977
35,196.4322693347931,1.761977
36,196.43247413635254,1.761977
37,213.9641284942627,1.761977
38,213.9645972251892,1.761977
39,221.86274194717407,1.761977
40,221.86319613456726,1.761977
41,221.86340260505676,1.761977
42,230.31961011886597,1.761977
43,230.32009601593018,1.761977
44,230.32030034065247,1.761977
45,238.1850061416626,1.761977
46,238.18677306175232,1.761977
47,244.714693069458,1.761977
48,244.71523118019104,1.761977
49,252.60431814193726,1.761977
50,252.6048445701599,1.761977
51,265.04005098342896,1.761977
52,265.0420925617218,1.761977
53,270.2280704975128,1.761977
54,270.22863841056824,1.761977
55,270.2292802333832,1.761977
56,282.0541687011719,1.761977
57,282.05514907836914,1.761977
58,282.05546379089355,1.761977
59,284.187536239624,1.761977
60,284.1879699230194,1.761977
61,285.239825963974,1.761977
62,285.2403390407562,1.761977
63,285.2405836582184,1.761977
64,285.2409291267395,1.761977
65,285.6122522354126,1.761977
66,285.612708568573,1.761977
67,297.2166278362274,1.761977
68,297.21825528144836,1.761977
69,302.6785695552826,1.761977
70,302.67900586128235,1.761977
71,314.49619245529175,1.761977
72,314.49710178375244,1.761977
73,324.35572719573975,1.761977
74,324.35652923583984,1.761977
75,324.3567910194397,1.761977
76,326.1643657684326,1.761977
77,326.1649308204651,1.761977
78,328.3449378013611,1.761977
79,328.3456916809082,1.761977
80,335.4726793766022,1.761977
81,335.47341299057007,1.761977
82,341.34447479248047,1.761977
83,341.3450577259064,1.761977
84,341.34523153305054,1.761977
85,341.34587693214417,1.761977
86,341.724609375,1.761977
87,341.7255973815918,1.761977
88,341.7259271144867,1.761977
89,356.20311522483826,1.761977
90,356.2037501335144,1.761977
91,368.0820665359497,1.761977
92,368.0830566883087,1.761977
93,383.2793664932251,1.761977
94,383.28025555610657,1.761977
95,383.2805118560791,1.761977
96,393.50226378440857,1.761977
97,393.50287985801697,1.761977
98,399.59776735305786,1.761977
99,399.59824419021606,1.761977
100,399.59848380088806,1.761977
101,410.4949243068695,1.761977
102,410.49552965164185,1.761977
103,410.4958999156952,1.761977
104,419.81609058380127,1.761977
105,419.8179221153259,1.761977
106,426.20798563957214,1.761977
107,426.20854091644287,1.761977
108,439.0395381450653,1.761977
109,439.0401303768158,1.761977
110,439.0404100418091,1.761977
111,446.8829548358917,1.761977
112,446.88353753089905,1.761977
113,451.0110604763031,1.761977
114,451.011602640152,1.761977
115,457.9321358203888,1.761977
116,457.9326870441437,1.761977
117,472.2569348812103,1.761977
118,472.25748348236084,1.761977
119,475.283255815506,1.761977
120,475.28366899490356,1.761977
121,475.28378677368164,1.761977
122,488.4394805431366,1.761977
123,488.4400885105133,1.761977
124,497.39892077445984,1.761977
125,497.3994290828705,1.761977
126,509.69189071655273,1.761977
127,509.69247698783875,1.761977
128,512.2279253005981,1.761977
129,512.22838306427,1.761977
130,512.228565454483,1.761977
131,523.7789561748505,1.731861
132,523.7830030918121,1.731861
133,532.5370733737946,1.731861
134,532.5376172065735,1.731861
135,532.5378105640411,1.731861
136,558.597186088562,1.731861
137,558.5977635383606,1.731861
138,573.0382645130157,1.731861
139,573.040885925293,1.731861
140,585.3831584453583,1.731861
141,585.3836433887482,1.731861
142,585.383828163147,1.731861
143,585.38436460495,1.731861
144,595.2882454395294,1.731861
145,595.2887136936188,1.731861
146,597.1067862510681,1.731861
147,597.1072955131531,1.731861
148,606.8478724956512,1.731861
149,606.8483426570892,1.731861
