Round,Relative Time (ms),Value
0,36.61569309234619,27.485625
1,67.20922040939331,9.65700678
2,93.12935185432434,6.08071768
3,113.0742723941803,5.27646858
4,137.874573469162,5.27646858
5,159.39801478385925,5.24341188
6,186.97752976417542,5.10620898
7,208.53327131271362,5.10620898
8,228.76957416534424,5.10620898
9,253.24267315864563,5.10620898
10,278.4203085899353,5.10620898
11,300.57039403915405,5.09469478
12,321.70623660087585,5.06053542
13,347.5909025669098,5.06053542
14,368.19396448135376,5.06053542
15,381.57298612594604,5.06053542
16,406.0534288883209,5.0053956600000005
17,435.41506004333496,4.85834752
18,452.5220904350281,4.85834752
19,476.2882878780365,4.85834752
20,500.2809326648712,4.85834752
21,503.835289478302,4.85834752
22,525.4816036224365,4.85834752
23,528.9087388515472,4.85834752
24,552.0199899673462,4.85834752
25,569.8340141773224,4.85834752
26,593.6816892623901,4.85834752
27,617.0645840167999,4.85834752
28,641.5060987472534,4.79631552
29,674.1697828769684,4.6883611
30,697.7009494304657,4.6883611
31,723.0223860740662,4.6883611
32,743.0228543281555,4.6883611
33,765.480767250061,4.6883611
34,770.1731719970703,4.6883611
35,789.7939560413361,4.6883611
36,812.5408382415771,4.6883611
37,833.2039606571198,4.6883611
38,836.7509889602661,4.6883611
39,857.0671916007996,4.6883611
40,878.317008972168,4.6883611
41,878.3195369243622,4.6883611
42,900.5668621063232,4.6883611
43,921.7143206596375,4.6883611
44,943.2770006656647,4.6883611
45,967.6745972633362,4.6883611
46,992.7794589996338,4.6883611
47,1019.2739326953888,4.6883611
48,1038.0039801597595,4.6883611
49,1056.1853547096252,4.6883611
50,1074.175198316574,4.67023046
51,1093.3929462432861,4.67023046
52,1114.672490119934,4.67023046
53,1129.7783875465393,4.67023046
54,1147.9832854270935,4.67023046
55,1166.8970897197723,4.67023046
56,1189.0031569004059,4.67023046
57,1211.4182798862457,4.67023046
58,1213.6956975460052,4.67023046
59,1233.9684205055237,4.67023046
60,1260.3395113945007,4.67023046
61,1280.9788234233856,4.67023046
62,1296.411068201065,4.67023046
63,1321.739117860794,4.67023046
64,1347.9935228824615,4.67023046
65,1368.48033452034,4.67023046
66,1392.0379645824432,4.67023046
67,1410.2640693187714,4.67023046
68,1432.6205580234528,4.67023046
69,1456.2027819156647,4.67023046
70,1480.776705980301,4.67023046
71,1499.4841759204865,4.67023046
72,1504.077968597412,4.67023046
73,1519.6781384944916,4.67023046
74,1542.334398508072,4.67023046
75,1565.8096613883972,4.67023046
76,1583.883368730545,4.64153788
77,1600.775130033493,4.64153788
78,1620.6478207111359,4.64153788
79,1645.8161029815674,4.60526366
80,1646.5060658454895,4.60526366
81,1673.200765132904,4.60526366
82,1691.7931683063507,4.60526366
83,1716.7424845695496,4.60526366
84,1729.762283563614,4.60526366
85,1752.0526671409607,4.60526366
86,1769.2360684871674,4.60526366
87,1793.0324516296387,4.60526366
88,1812.9485743045807,4.60526366
89,1813.9465565681458,4.60526366
90,1838.2670443058014,4.60526366
91,1852.7356786727905,4.60526366
92,1874.3084127902985,4.60526366
93,1874.7986199855804,4.60526366
94,1900.655683517456,4.60526366
95,1922.7414739131927,4.60526366
96,1941.0517148971558,4.60526366
97,1965.6030192375183,4.60526366
98,1986.96338057518,4.60526366
99,2007.6574788093567,4.60526366
100,2025.2614052295685,4.60526366
101,2040.6544351577759,4.60526366
102,2058.1361379623413,4.60526366
103,2075.1160242557526,4.60526366
104,2102.707835674286,4.60526366
105,2126.1648483276367,4.60526366
106,2141.5554020404816,4.60526366
107,2158.1506114006042,4.60526366
108,2180.0248181819916,4.60526366
109,2183.6459789276123,4.60526366
110,2199.4675149917603,4.60526366
111,2218.734290122986,4.60526366
112,2237.369474172592,4.60526366
113,2274.0390124320984,4.60526366
114,2295.2253272533417,4.60526366
115,2322.362551689148,4.60526366
116,2339.9287917613983,4.60526366
117,2363.345109462738,4.60526366
118,2374.423492193222,4.60526366
119,2393.515840291977,4.60526366
120,2411.0558943748474,4.60526366
121,2435.8212988376617,4.60526366
122,2461.074016571045,4.60526366
123,2486.3565006256104,4.60526366
124,2502.44073677063,4.60526366
125,2526.302312374115,4.60526366
126,2558.911344051361,4.60526366
127,2565.7693209648132,4.60526366
128,2592.744653940201,4.60526366
129,2613.178172826767,4.60526366
130,2620.6182878017426,4.60526366
131,2641.261484146118,4.60526366
132,2665.148751974106,4.60526366
133,2689.3022451400757,4.60526366
134,2713.929399251938,4.60526366
135,2728.587933063507,4.60526366
136,2746.361572742462,4.60526366
137,2748.8533115386963,4.60526366
138,2773.0144097805023,4.60526366
139,2798.6918778419495,4.60526366
140,2819.21049618721,4.60526366
141,2838.0900161266327,4.60526366
142,2838.1032609939575,4.60526366
143,2862.8535890579224,4.60526366
144,2885.655097961426,4.60526366
145,2902.3288943767548,4.60526366
146,2922.9760484695435,4.60526366
147,2943.815283060074,4.60526366
148,2961.978983640671,4.60526366
149,2984.9814920425415,4.60526366
150,2999.3536834716797,4.60526366
151,3011.5513215065002,4.60526366
152,3033.1488308906555,4.60526366
153,3052.51362657547,4.60526366
154,3076.1833658218384,4.60526366
155,3096.485706090927,4.60526366
156,3111.10639834404,4.60526366
157,3133.028641939163,4.60526366
158,3146.624997138977,4.60526366
159,3169.3069207668304,4.60526366
160,3195.964074611664,4.60526366
161,3217.223692178726,4.60526366
162,3235.0812571048737,4.60526366
163,3261.2158613204956,4.60526366
164,3281.260386943817,4.60526366
165,3283.937711954117,4.60526366
166,3305.930530309677,4.60526366
167,3324.367022037506,4.60526366
168,3324.371170759201,4.60526366
169,3349.2923250198364,4.60526366
170,3372.666523218155,4.60526366
171,3391.134922981262,4.60526366
172,3411.3021285533905,4.60526366
173,3424.2759985923767,4.60526366
174,3444.8107500076294,4.60526366
175,3464.131828069687,4.60526366
176,3480.011543273926,4.60526366
177,3502.0186536312103,4.60526366
178,3525.151315689087,4.60526366
179,3544.127000808716,4.60526366
180,3564.895260334015,4.60526366
181,3599.0798890590668,4.60526366
182,3616.7685766220093,4.60526366
183,3633.330941438675,4.60526366
184,3654.607335805893,4.60526366
185,3674.8262536525726,4.60526366
