Round,Relative Time (ms),Value
0,5.860980987548828,47.691438
1,10.701180934906006,9.799845
2,21.447254180908203,7.6846
3,26.060256242752075,7.6846
4,31.288350343704224,7.6846
5,38.124347448349,7.6846
6,45.818907022476196,7.6846
7,75.36640453338623,6.843459
8,78.69336986541748,6.843459
9,81.4029188156128,6.843459
10,85.87319016456604,6.843459
11,92.31167101860046,6.843459
12,99.98254537582397,6.71054
13,104.86060762405396,6.71054
14,110.58973741531372,6.71054
15,122.60254573822021,6.71054
16,132.3188304901123,6.71054
17,143.72153973579407,6.71054
18,149.9461591243744,6.71054
19,159.88192558288574,6.71054
20,169.51392889022827,6.71054
21,174.8732180595398,6.71054
22,178.3515076637268,6.71054
23,189.66856503486633,6.71054
24,197.2540624141693,6.685664
25,203.4662947654724,6.685664
26,211.20149636268616,6.685664
27,220.70801639556885,6.685664
28,225.9310348033905,6.685664
29,245.60007309913635,6.685664
30,256.299209356308,6.685664
31,264.55466413497925,6.685664
32,269.2320945262909,6.685664
33,274.1547222137451,6.685664
34,279.08733010292053,2.87220172
35,304.42709159851074,2.87220172
36,312.41215658187866,2.87220172
37,321.7704167366028,2.87220172
38,329.6997380256653,2.87220172
39,333.7028889656067,2.87220172
40,338.1206359863281,2.87220172
41,346.40420055389404,2.87220172
42,354.4521527290344,2.87220172
43,369.8093523979187,2.87220172
44,380.1380543708801,2.87220172
45,392.19218730926514,2.87220172
46,401.440860748291,2.87220172
47,410.2196762561798,2.87220172
48,417.86353850364685,2.87220172
49,422.41974782943726,2.87220172
50,429.23037600517273,2.87220172
51,435.8366549015045,2.87220172
52,449.58842182159424,2.87220172
53,465.439665555954,2.87220172
54,477.35127902030945,2.87220172
55,487.4445390701294,2.87220172
56,496.41744327545166,2.87220172
57,503.5211431980133,2.87220172
58,507.549852848053,2.87220172
59,511.9961886405945,2.87220172
60,521.5970866680145,2.87220172
61,533.458447933197,1.10138712
62,545.609612941742,1.10138712
63,556.5496544837952,1.10138712
64,562.1354727745056,1.10138712
65,569.4445903301239,1.10138712
66,582.0483391284943,1.10138712
67,592.4185457229614,1.10138712
68,603.2835223674774,1.10138712
69,610.9148950576782,1.10138712
70,617.160341501236,1.10138712
71,623.1777286529541,1.10138712
72,635.7997829914093,1.10138712
73,642.1979076862335,1.10138712
74,651.548223733902,1.10138712
75,661.4837899208069,1.10138712
76,674.6172475814819,1.10138712
77,684.4986786842346,1.10138712
78,688.2603988647461,1.10138712
79,695.3124856948853,1.10138712
80,701.9035544395447,1.10138712
81,706.7956895828247,1.10138712
82,736.488865852356,1.10138712
83,743.4248223304749,1.10138712
84,751.7275474071503,1.10138712
85,764.9939959049225,1.10138712
86,769.4465188980103,1.10138712
87,777.4757213592529,1.10138712
88,782.6381886005402,1.10138712
89,789.3816366195679,1.10138712
90,799.9187247753143,1.10138712
91,805.3094017505646,1.10138712
92,820.0928881168365,1.10138712
93,827.7571065425873,1.10138712
94,851.8408749103546,1.10138712
95,858.2489542961121,1.10138712
96,867.5067484378815,1.10138712
97,874.6056609153748,1.10138712
98,886.0559272766113,1.10138712
99,892.3957574367523,1.10138712
