Round,Relative Time (ms),Value
0,8.323397874832153,8.1176513
1,29.070616483688354,8.1176513
2,44.853572845458984,8.1176513
3,54.587966203689575,8.1176513
4,62.103935956954956,8.1176513
5,79.71263313293457,8.1176513
6,104.80042266845703,8.1176513
7,151.01680159568787,4.93907422
8,169.52469539642334,4.93907422
9,186.72162079811096,4.93907422
10,208.84039735794067,4.93907422
11,225.23848628997803,4.93907422
12,248.52277445793152,4.93907422
13,298.60279607772827,4.93907422
14,317.0606758594513,4.93907422
15,351.24797677993774,4.93907422
16,368.5348551273346,4.93907422
17,381.98217964172363,4.93907422
18,392.6964864730835,4.93907422
19,417.92441725730896,4.93907422
20,429.5690417289734,4.93907422
21,455.47292852401733,4.93907422
22,477.8070044517517,4.54271452
23,488.4536507129669,4.54271452
24,513.704870223999,4.54271452
25,532.8646140098572,4.54271452
26,560.9606392383575,4.54271452
27,614.8525502681732,4.54271452
28,652.397087097168,4.54271452
29,666.12451338768,4.54271452
30,691.2316873073578,4.54271452
31,710.4597935676575,4.54271452
32,742.277046918869,4.54271452
33,751.1792945861816,4.54271452
34,765.0016481876373,4.54271452
35,787.4910025596619,4.54271452
36,872.8853580951691,4.54271452
37,893.262636423111,4.54271452
38,916.5836560726166,4.54271452
39,928.6017560958862,4.54271452
40,947.4250786304474,4.54271452
41,952.5428218841553,4.54271452
42,974.1322612762451,4.54271452
43,1007.2937667369843,4.54271452
44,1031.5943486690521,4.54271452
45,1041.9054141044617,4.54271452
46,1064.497888326645,4.54271452
47,1089.6131868362427,4.54271452
48,1145.0358304977417,4.54271452
49,1163.7753779888153,4.54271452
50,1185.5157685279846,4.54271452
51,1211.2667155265808,4.54271452
52,1234.221046447754,4.54271452
53,1249.8441915512085,4.54271452
54,1272.9371330738068,4.54271452
55,1288.4484751224518,4.54271452
56,1326.835919380188,4.54271452
57,1352.100121974945,4.54271452
58,1361.964037656784,4.54271452
59,1378.4342730045319,4.54271452
60,1407.408920288086,4.54271452
61,1422.6532456874847,4.54271452
62,1452.0919935703278,4.54271452
63,1464.0970737934113,4.54271452
64,1473.1641325950623,4.54271452
65,1485.5036911964417,4.54271452
66,1520.8075959682465,4.54271452
67,1542.267230272293,4.54271452
68,1559.5681216716766,4.54271452
69,1578.0827383995056,4.54271452
70,1625.2353234291077,4.54271452
71,1663.4354405403137,4.54271452
72,1698.2508215904236,4.54271452
73,1729.197112083435,4.54271452
74,1773.0514764785767,4.54271452
75,1797.796211719513,4.54271452
76,1854.1524810791016,4.54271452
77,1878.9036448001862,4.54271452
78,1897.033576965332,4.54271452
79,1975.5134427547455,4.54271452
80,1998.3130087852478,4.54271452
81,2017.6244683265686,4.54271452
82,2029.24658536911,4.54271452
83,2052.329567670822,4.54271452
84,2069.545972585678,4.54271452
85,2092.5559344291687,4.54271452
86,2102.7174966335297,4.54271452
87,2112.60498714447,4.54271452
88,2129.115536928177,4.54271452
89,2152.1113617420197,4.54271452
90,2167.8102962970734,4.54271452
91,2205.127133131027,4.54271452
92,2236.653959274292,4.54271452
93,2250.9727013111115,4.54271452
94,2266.692347764969,4.54271452
95,2298.2781319618225,4.54271452
96,2312.197803735733,4.54271452
97,2338.496660232544,4.54271452
98,2357.6510422229767,4.54271452
99,2368.9089555740356,4.54271452
