Round,Relative Time (ms),Value
0,6.616763591766357,16.778495
1,13.26143479347229,14.156751
2,19.953469038009644,14.156751
3,25.816096305847168,11.23461
4,32.70574450492859,0.53596312
5,39.3463819026947,0.40760563999999994
6,45.01458430290222,0.27202182
7,51.052504777908325,0.26670844
8,57.02529001235962,0.24761537999999997
9,63.390634059906006,0.21811104
10,68.80692863464355,0.21184482
11,74.05825996398926,0.21184482
12,78.05459785461426,0.20814356
13,82.04619026184082,0.20814356
14,87.10916376113892,0.20814356
15,87.11679148674011,0.20814356
16,92.35215187072754,0.20814356
17,97.33994483947754,0.20814356
18,101.61392092704773,0.20814356
19,107.03297567367554,0.20814356
20,113.73345565795898,0.20814356
21,118.68143510818481,0.20814356
22,123.4270224571228,0.20814356
23,123.43749022483826,0.20814356
24,126.8105206489563,0.20814356
25,130.1909794807434,0.20814356
26,135.2596652507782,0.20814356
27,139.94576573371887,0.20814356
28,142.69395852088928,0.20814356
29,145.97506594657898,0.20814356
30,152.60377955436707,0.20814356
31,152.61058402061462,0.20814356
32,156.05693817138672,0.20814356
33,163.7644464969635,0.20814356
34,170.90501523017883,0.20814356
35,176.21844601631165,0.20814356
36,176.27553367614746,0.20814356
37,179.62199234962463,0.20814356
38,184.0325243473053,0.20814356
39,189.8487949371338,0.20814356
40,194.32350969314575,0.20814356
41,194.33367538452148,0.20814356
42,198.21689343452454,0.20814356
43,204.21178579330444,0.20814356
44,207.8577263355255,0.20814356
45,210.50343585014343,0.20814356
46,214.17362260818481,0.20814356
47,219.0985870361328,0.20814356
48,219.11393880844116,0.20814356
49,222.27573704719543,0.20814356
50,226.75190258026123,0.20814356
51,226.7599630355835,0.20814356
52,232.59556913375854,0.20814356
53,240.9342896938324,0.20814356
54,243.35018515586853,0.20814356
55,248.8163938522339,0.20814356
56,255.35672569274902,0.20814356
57,259.4451162815094,0.20814356
58,264.2799904346466,0.20814356
59,268.63959431648254,0.20814356
60,272.8586416244507,0.20814356
61,279.24338698387146,0.20814356
62,287.22912979125977,0.20814356
63,291.19836473464966,0.20814356
64,294.7249538898468,0.20814356
65,299.48480010032654,0.20814356
66,304.95422554016113,0.20814356
67,307.79629945755005,0.20814356
68,311.5496325492859,0.20814356
69,318.40112686157227,0.20814356
70,322.20433282852173,0.20814356
71,327.81783533096313,0.20814356
72,334.8974153995514,0.20814356
73,338.40851974487305,0.20814356
74,343.96547174453735,0.20814356
75,349.59832406044006,0.20814356
76,349.60662269592285,0.20814356
77,349.62025022506714,0.20814356
78,356.55808091163635,0.20814356
79,356.5754945278168,0.20814356
80,360.86565494537354,0.20814356
81,364.85358905792236,0.20814356
82,369.3566243648529,0.20814356
83,372.8202905654907,0.20814356
84,377.76619839668274,0.20814356
85,382.0187873840332,0.20814356
86,385.89695835113525,0.20814356
87,389.909752368927,0.20814356
88,396.36213755607605,0.20814356
89,400.49560737609863,0.20814356
90,405.0792090892792,0.20814356
91,409.8782114982605,0.20814356
92,409.8949177265167,0.20814356
93,414.01482462882996,0.20814356
94,418.60049986839294,0.20814356
95,424.9937889575958,0.20814356
96,430.492835521698,0.20814356
97,435.10892701148987,0.20814356
98,441.2185261249542,0.20814356
99,441.2591886520386,0.20814356
100,447.42885065078735,0.20814356
101,449.7895245552063,0.20814356
102,454.32975578308105,0.20814356
103,460.05215215682983,0.20814356
104,466.93981766700745,0.20814356
105,471.9016695022583,0.20814356
106,471.91317653656006,0.20814356
107,477.7494971752167,0.20814356
108,483.44949197769165,0.20814356
109,489.11327600479126,0.20814356
110,492.4095923900604,0.20814356
111,497.236789226532,0.20814356
112,500.75321221351624,0.20814356
113,507.52767610549927,0.20814356
114,507.5428671836853,0.20814356
115,514.0584890842438,0.20814356
116,519.7660315036774,0.20814356
117,525.0113081932068,0.20814356
118,528.0227110385895,0.20814356
119,533.4588177204132,0.20814356
120,539.6917510032654,0.20814356
121,539.7037901878357,0.20814356
122,543.6334376335144,0.20814356
123,549.702974319458,0.20814356
124,549.706643819809,0.20814356
125,555.1112332344055,0.20814356
126,559.936505317688,0.20814356
127,565.3827488422394,0.20814356
128,570.5299556255341,0.20814356
129,576.6607162952423,0.20814356
130,579.7466909885406,0.20814356
131,584.2381234169006,0.20814356
132,584.2514250278473,0.20814356
133,590.3053443431854,0.20814356
134,597.0904972553253,0.20814356
135,603.2477343082428,0.20814356
136,610.746481180191,0.20814356
137,615.5226752758026,0.20814356
138,619.8832757472992,0.20814356
139,627.9151582717896,0.20814356
140,633.2698481082916,0.20814356
141,638.2941386699677,0.20814356
142,645.4119822978973,0.20814356
143,649.7753279209137,0.20814356
144,653.684157371521,0.20814356
145,653.7015619277954,0.20814356
146,657.4726450443268,0.20814356
147,660.965146780014,0.20814356
148,669.3149619102478,0.20814356
149,674.3515188694,0.20814356
150,677.5948603153229,0.20814356
151,682.4822082519531,0.20814356
152,686.5455553531647,0.20814356
153,691.0229094028473,0.20814356
154,693.6542115211487,0.20814356
155,698.4089117050171,0.20814356
156,704.2344717979431,0.20814356
157,709.0597379207611,0.20814356
158,715.0935842990875,0.20814356
159,720.3204073905945,0.20814356
160,724.7893524169922,0.20814356
161,729.3607840538025,0.20814356
162,734.6447613239288,0.20814356
163,739.338018655777,0.20814356
164,745.9919853210449,0.20814356
165,750.6380620002747,0.20814356
166,755.5758929252625,0.20814356
167,760.8222591876984,0.20814356
