Round,Relative Time (ms),Value
0,15.50652527809143,3.0233679
1,42.795624017715454,0.69384048
2,66.94609427452087,0.69384048
3,93.29063510894775,0.3350127
4,117.91258597373962,0.3350127
5,142.12206745147705,0.26731266
6,165.2360861301422,0.26731266
7,187.29749965667725,0.26731266
8,217.2860894203186,0.25129473999999996
9,239.78379344940186,0.20126988
10,255.27009844779968,0.19975211999999998
11,277.51298928260803,0.19398049999999997
12,300.68021416664124,0.19398049999999997
13,321.0858836174011,0.19398049999999997
14,346.40066719055176,0.19398049999999997
15,372.6239712238312,0.18781686
16,400.71943950653076,0.18781686
17,422.85920333862305,0.18781686
18,446.62098240852356,0.18781686
19,469.61352467536926,0.18781686
20,484.52567982673645,0.18781686
21,502.45167684555054,0.18535406000000001
22,524.6491060256958,0.18535406000000001
23,544.7620997428894,0.18535406000000001
24,568.9383091926575,0.18535406000000001
25,593.4951438903809,0.18535406000000001
26,616.5495846271515,0.18535406000000001
27,635.6780381202698,0.18535406000000001
28,656.716313123703,0.18535406000000001
29,683.0455646514893,0.18535406000000001
30,695.7713830471039,0.18535406000000001
31,713.5151836872101,0.18535406000000001
32,739.1280226707458,0.18535406000000001
33,759.9303681850433,0.18535406000000001
34,783.0589611530304,0.18535406000000001
35,805.7114744186401,0.18535406000000001
36,829.850109577179,0.18535406000000001
37,852.5840590000153,0.1827046
38,873.4785871505737,0.1827046
39,894.7878909111023,0.1827046
40,903.5031893253326,0.1827046
41,922.0524959564209,0.1827046
42,942.8038930892944,0.1827046
43,960.9356236457825,0.1827046
44,979.1097557544708,0.1827046
45,997.7798864841461,0.1827046
46,1016.790905714035,0.1827046
47,1036.8542006015778,0.1827046
48,1056.9672071933746,0.1827046
49,1075.9289951324463,0.1827046
50,1083.976791381836,0.1827046
51,1104.512563943863,0.1827046
52,1127.8227095603943,0.1827046
53,1150.848301410675,0.1827046
54,1174.7196111679077,0.1827046
55,1199.6449542045593,0.1827046
56,1223.4475178718567,0.1827046
57,1243.5607857704163,0.1827046
58,1264.2505259513855,0.1827046
59,1281.974983215332,0.1827046
60,1288.2768847942352,0.1827046
61,1304.7598371505737,0.1827046
62,1320.1421921253204,0.1827046
63,1338.1757340431213,0.1827046
64,1359.0645124912262,0.1827046
65,1378.950139760971,0.1827046
66,1396.1500973701477,0.1827046
67,1418.4664335250854,0.1827046
68,1439.503892660141,0.1827046
69,1459.6746125221252,0.1827046
70,1465.0732917785645,0.1827046
71,1485.7754743099213,0.1827046
72,1508.3199026584625,0.1827046
73,1529.8194844722748,0.1827046
74,1548.5680174827576,0.1827046
75,1569.9779851436615,0.1827046
76,1588.342380285263,0.1827046
77,1607.8024129867554,0.1827046
78,1624.5905334949493,0.1827046
79,1640.3247916698456,0.1827046
80,1647.804931640625,0.1827046
81,1667.4554450511932,0.1827046
82,1687.0332283973694,0.1827046
83,1707.17986369133,0.1827046
84,1732.6523177623749,0.1827046
85,1751.664161682129,0.1827046
86,1770.3407955169678,0.1827046
87,1789.0562834739685,0.1827046
88,1810.7224533557892,0.1827046
89,1833.2234354019165,0.1827046
90,1835.4563827514648,0.1827046
91,1854.7863292694092,0.1827046
92,1873.58913564682,0.1827046
93,1895.6471445560455,0.1827046
94,1914.143396615982,0.1827046
95,1932.40478849411,0.1827046
96,1953.8650567531586,0.1827046
97,1973.872875213623,0.1827046
98,1994.582501411438,0.1827046
99,2014.590828180313,0.1827046
