Round,Relative Time (ms),Value
0,7.922506332397461,12.030289139999997
1,15.190275192260742,5.8596113
2,23.51961374282837,5.8596113
3,40.336451292037964,5.8596113
4,52.41803479194641,5.8596113
5,71.63037204742432,5.8596113
6,80.45925641059875,5.8596113
7,101.260812997818,5.8596113
8,120.72579026222229,5.8596113
9,128.63452434539795,5.8596113
10,179.2272093296051,5.8596113
11,194.38584184646606,5.8596113
12,207.26772093772888,5.8596113
13,214.85206246376038,5.8596113
14,226.2011525630951,5.8596113
15,238.14347100257874,4.50375606
16,248.6295988559723,4.50375606
17,268.89087319374084,4.50375606
18,282.02913880348206,4.50375606
19,297.6051881313324,4.50375606
20,311.05609941482544,4.50375606
21,324.1521701812744,4.50375606
22,333.30231499671936,4.50375606
23,349.8740351200104,4.50375606
24,358.5784730911255,4.50375606
25,371.6279356479645,4.50375606
26,376.0094177722931,4.50375606
27,383.49037861824036,4.50375606
28,395.3074417114258,1.7344834999999998
29,404.8431227207184,1.7344834999999998
30,425.62190556526184,1.7344834999999998
31,437.2932548522949,1.7344834999999998
32,449.5002222061157,1.7344834999999998
33,461.23172187805176,1.7344834999999998
34,470.8931906223297,1.7344834999999998
35,492.66469740867615,1.7344834999999998
36,501.11839985847473,1.7344834999999998
37,510.3107419013977,1.7344834999999998
38,575.154871225357,1.7344834999999998
39,592.7410001754761,1.7344834999999998
40,599.4533412456512,1.7344834999999998
41,609.2586719989777,1.7344834999999998
42,627.204313993454,1.7344834999999998
43,649.5044827461243,1.7344834999999998
44,655.7804958820343,1.7344834999999998
45,672.6860184669495,1.7344834999999998
46,691.3991456031799,1.7344834999999998
47,700.9751183986664,1.7344834999999998
48,712.7445423603058,1.7344834999999998
49,724.9200859069824,1.7344834999999998
50,731.8346219062805,1.7344834999999998
51,745.3362896442413,1.7344834999999998
52,754.7147498130798,1.7344834999999998
53,769.0650506019592,1.7344834999999998
54,775.9842841625214,1.7344834999999998
55,781.6838872432709,1.7344834999999998
56,797.9956912994385,1.7344834999999998
57,816.3092041015625,1.7344834999999998
58,828.8143270015717,1.7344834999999998
59,846.38867354393,1.7344834999999998
60,854.9879400730133,1.7344834999999998
61,867.5463013648987,1.7344834999999998
62,880.528847694397,1.7344834999999998
63,890.683545589447,1.7344834999999998
64,919.3101761341095,1.7344834999999998
65,927.9046971797943,1.7344834999999998
66,937.3827033042908,1.7344834999999998
67,947.9662380218506,1.7344834999999998
68,959.3279709815979,1.7344834999999998
69,975.5465409755707,1.7344834999999998
70,985.6225872039795,1.7344834999999998
71,992.4293301105499,1.7344834999999998
72,1001.166825056076,1.7344834999999998
73,1016.3607089519501,1.7344834999999998
74,1029.4047966003418,1.7344834999999998
75,1037.7901134490967,1.7344834999999998
76,1052.9026267528534,1.7344834999999998
77,1063.7054512500763,1.7344834999999998
78,1072.563083410263,1.7344834999999998
79,1085.3068225383759,1.7344834999999998
80,1097.1223812103271,1.7344834999999998
81,1108.8508975505829,1.7344834999999998
82,1121.358149766922,1.7344834999999998
83,1135.1388864517212,1.7344834999999998
84,1169.9034292697906,1.7344834999999998
85,1186.065113544464,1.7344834999999998
86,1196.8646800518036,1.7344834999999998
87,1212.5147519111633,1.7344834999999998
88,1224.092118024826,1.7344834999999998
89,1237.6115679740906,1.7344834999999998
90,1246.1173963546753,1.6518174199999998
91,1262.111542224884,1.6518174199999998
92,1284.2387607097626,1.6518174199999998
93,1294.7792949676514,1.6518174199999998
94,1305.2857213020325,1.6518174199999998
95,1325.520586490631,1.6518174199999998
96,1341.2204475402832,1.6518174199999998
97,1355.5457293987274,1.6518174199999998
98,1367.646369934082,1.6518174199999998
99,1380.8124604225159,1.6518174199999998
