Round,Relative Time (ms),Value
0,3.091493844985962,76.92175
1,7.432365894317627,24.501113
2,15.347834587097168,24.501113
3,20.160461902618408,24.501113
4,26.053104877471924,24.501113
5,32.14237451553345,22.082626
6,39.002726316452026,6.04770864
7,51.624040365219116,6.04770864
8,57.74922704696655,6.04770864
9,66.78898739814758,6.04770864
10,72.2862560749054,6.04770864
11,78.92353940010071,1.3228673
12,83.00562715530396,1.3228673
13,90.2965714931488,1.3228673
14,97.05826234817505,1.3228673
15,100.8984694480896,1.3228673
16,109.5494441986084,1.3228673
17,114.5112931728363,1.3228673
18,124.96755313873291,1.3228673
19,133.9770884513855,1.3228673
20,140.17254877090454,1.3228673
21,148.80768275260925,1.3228673
22,155.34250378608704,1.3228673
23,161.86369967460632,1.3228673
24,170.35668277740479,1.3228673
25,179.84891772270203,1.3228673
26,185.34080624580383,1.3228673
27,191.71966433525085,1.3228673
28,197.3049705028534,1.3228673
29,202.7657413482666,1.3228673
30,211.57207560539246,1.3228673
31,219.16886138916016,1.3228673
32,224.14292216300964,1.3228673
33,228.9787929058075,1.3228673
34,234.92494678497314,1.3228673
35,241.55160784721375,1.3228673
36,244.59816098213196,1.3228673
37,254.76474571228027,1.3228673
38,261.7741975784302,1.3228673
39,265.0922029018402,1.3228673
40,270.75383830070496,1.3228673
41,277.2731351852417,1.3228673
42,282.87097930908203,1.3228673
43,288.473215341568,1.3228673
44,295.1568648815155,1.3228673
45,301.61972188949585,1.3228673
46,307.17720341682434,1.3228673
47,318.86794257164,1.3228673
48,328.63286876678467,1.3228673
49,339.59337544441223,1.3228673
50,348.47434401512146,1.3228673
51,354.2825915813446,1.3228673
52,362.1064076423645,1.3228673
53,370.4749777317047,1.3228673
54,376.2092459201813,1.3228673
55,385.43150663375854,1.3228673
56,392.9896728992462,1.3228673
57,402.63565850257874,1.3228673
58,410.29856753349304,1.3228673
59,420.11902475357056,1.3228673
60,426.3183445930481,1.3228673
61,432.4592778682709,1.3228673
62,438.3968906402588,1.3228673
63,456.99676966667175,1.3228673
64,465.32624864578247,1.3228673
65,471.03009366989136,1.3228673
66,475.95388865470886,1.3228673
67,493.1264748573303,1.3228673
68,498.5404648780823,1.3228673
69,504.980432510376,1.3228673
70,514.5762016773224,1.3228673
71,523.8005962371826,1.3228673
72,531.210422039032,1.3228673
73,538.2428057193756,1.3228673
74,545.7991654872894,1.3228673
75,553.7194993495941,1.3228673
76,564.2172408103943,1.3228673
77,570.7429041862488,1.3228673
78,579.4423098564148,1.3228673
79,586.636754989624,1.3228673
80,591.2586543560028,1.3228673
81,602.2652401924133,1.3228673
82,611.1899998188019,1.3228673
83,615.1247251033783,1.3228673
84,621.168304681778,1.3228673
85,625.0706396102905,1.3228673
86,630.1101217269897,1.3228673
87,638.1273839473724,1.3228673
88,644.8801634311676,1.3228673
89,653.6342077255249,1.3228673
90,660.1311855316162,1.3228673
91,667.1954874992371,1.3228673
92,676.2063200473785,1.3228673
93,686.0829920768738,1.3228673
94,691.4022228717804,1.3228673
95,695.5669190883636,1.3228673
96,700.4243125915527,1.3228673
97,707.8980197906494,1.3228673
98,712.3502640724182,1.3228673
99,719.8517415523529,1.3228673
