Round,Relative Time (ms),Value
0,21.220623016357422,164.925467
1,50.53296399116516,59.448752
2,175.80484867095947,59.448752
3,204.9209816455841,59.448752
4,229.78373074531555,59.448752
5,245.2430317401886,6.0717427
6,286.917462348938,6.0717427
7,394.1190576553345,6.0717427
8,415.4147460460663,6.0717427
9,449.6092929840088,6.0717427
10,492.17032384872437,6.0717427
11,524.3112938404083,6.0717427
12,555.8842589855194,6.0717427
13,684.9347252845764,6.0717427
14,709.4883532524109,6.0717427
15,730.1144919395447,6.0717427
16,777.24973320961,6.0717427
17,828.3300271034241,6.0717427
18,868.4146847724915,6.0717427
19,925.2222094535828,6.0717427
20,948.6156439781189,6.0717427
21,986.7076115608215,6.0717427
22,1038.0446326732635,6.0717427
23,1066.7261373996735,6.0717427
24,1097.1362988948822,6.0717427
25,1115.3381171226501,6.0717427
26,1173.5022530555725,6.0717427
27,1209.655689716339,6.0717427
28,1237.3476061820984,6.0717427
29,1248.3528158664703,6.0717427
30,1282.691370010376,6.0717427
31,1376.7806560993195,6.0717427
32,1392.0351450443268,6.0717427
33,1409.5774116516113,6.0717427
34,1434.3959636688232,6.0717427
35,1482.9195427894592,6.0717427
36,1501.4809188842773,6.0717427
37,1546.4805746078491,6.0717427
38,1570.267380475998,6.0717427
39,1585.9305679798126,6.0717427
40,1600.890698671341,6.0717427
41,1642.093411207199,6.0717427
42,1660.4447615146637,6.0717427
43,1696.0060877799988,6.0717427
44,1798.348667383194,6.0717427
45,1857.9033081531525,6.0717427
46,1878.1492066383362,6.0717427
47,1910.77730178833,6.0717427
48,1947.6960451602936,6.0717427
49,1998.1255142688751,6.0717427
50,2050.9867668151855,6.0717427
51,2074.95920419693,6.0717427
52,2086.0076212882996,6.0717427
53,2116.4780452251434,6.0717427
54,2148.4182114601135,6.0717427
55,2199.782680749893,6.0717427
56,2232.817127943039,6.0717427
57,2269.4813075065613,6.0717427
58,2361.7006397247314,6.0717427
59,2390.710181236267,6.0717427
60,2404.6648104190826,6.0717427
61,2428.769248008728,6.0717427
62,2450.0198595523834,6.0717427
63,2481.9674909114838,6.0717427
64,2513.2719123363495,6.0717427
65,2524.323666572571,6.0717427
66,2549.5242240428925,6.0717427
67,2600.0766077041626,6.0717427
68,2623.480635881424,6.0717427
69,2661.4746367931366,6.0717427
70,2690.5575087070465,6.0717427
71,2806.4797191619873,6.0717427
72,2822.962081193924,6.0717427
73,2865.900090456009,6.0717427
74,2991.763614177704,6.0717427
75,3017.01571393013,6.0717427
76,3045.205019235611,6.0717427
77,3082.1021575927734,6.0717427
78,3121.2668101787567,6.0717427
79,3140.763033390045,6.0717427
80,3176.805099248886,6.0717427
81,3296.367776632309,6.0717427
82,3328.8998329639435,6.0717427
83,3391.562270641327,6.0717427
84,3415.0069437026978,6.0717427
85,3463.019252538681,6.0717427
86,3495.4705641269684,6.0717427
87,3508.764445066452,6.0717427
88,3592.4029865264893,6.0717427
89,3666.376737356186,6.0717427
90,3699.2632925510406,6.0717427
91,3714.884419441223,6.0717427
92,3730.8838250637054,6.0717427
93,3763.166990041733,6.0717427
94,3810.8321239948273,6.0717427
95,3873.3122730255127,6.0717427
96,3895.342953681946,6.0717427
97,3919.91104054451,6.0717427
98,3973.213625192642,6.0717427
99,4000.24920129776,6.0717427
