Round,Relative Time (ms),Value
0,13.719294548034668,2.7942120999999998
1,24.22239923477173,1.79596838
2,33.91661858558655,1.79596838
3,43.6395480632782,1.3605304599999997
4,53.0936803817749,1.31420652
5,53.21854496002197,1.31420652
6,62.459458112716675,1.31420652
7,69.63856720924377,1.31420652
8,80.14480400085449,1.31420652
9,90.9459867477417,1.31420652
10,91.2485523223877,1.31420652
11,104.851797580719,1.31420652
12,114.38652062416077,1.31420652
13,126.83073616027832,1.31420652
14,140.1707022190094,1.31420652
15,150.63092398643494,1.31420652
16,150.83780121803284,1.31420652
17,159.31856966018677,1.31420652
18,172.12668561935425,1.31420652
19,183.00714373588562,1.31420652
20,191.14995741844177,1.31420652
21,201.94147157669067,1.31420652
22,213.45213317871094,1.31420652
23,213.77711725234985,1.31420652
24,213.92036867141724,1.31420652
25,225.36994075775146,1.31420652
26,232.97920656204224,1.31420652
27,242.5681552886963,1.31420652
28,251.91774201393127,1.31420652
29,263.1239800453186,1.31420652
30,270.38155460357666,1.31420652
31,280.00409054756165,1.31420652
32,289.54176592826843,1.3130961399999999
33,297.59946298599243,1.30345058
34,305.9418475627899,1.30345058
35,318.46529483795166,1.30345058
36,328.0899558067322,1.30345058
37,336.97555589675903,1.30345058
38,345.13650703430176,1.30345058
39,345.31598019599915,1.30345058
40,352.81644105911255,1.30345058
41,363.8102922439575,1.30345058
42,363.9416809082031,1.30345058
43,372.9833252429962,1.30345058
44,384.8581144809723,1.26224512
45,394.99856209754944,1.26224512
46,404.7928030490875,1.26224512
47,414.6871452331543,1.26224512
48,424.86473298072815,1.26224512
49,432.5879063606262,1.26224512
50,443.10192489624023,1.26224512
51,454.14514899253845,1.26224512
52,461.63970589637756,1.26224512
53,470.5871641635895,1.26224512
54,477.8871159553528,1.26224512
55,483.7969870567322,1.26224512
56,483.8138291835785,1.26224512
57,492.61909914016724,1.26224512
58,492.63552165031433,1.26224512
59,503.33850955963135,1.26224512
60,510.926251411438,1.26224512
61,523.9007413387299,1.26224512
62,532.6639161109924,1.26224512
63,542.1319351196289,1.26224512
64,552.8863241672516,1.26224512
65,561.5078382492065,1.26224512
66,568.1969990730286,1.26224512
67,577.6845917701721,1.26224512
68,589.2990727424622,1.26224512
69,598.4192957878113,1.26224512
70,607.509779214859,1.26224512
71,614.2161476612091,1.26224512
72,622.3764507770538,1.26224512
73,630.5592365264893,1.26224512
74,638.0722680091858,1.26224512
75,638.3017621040344,1.26224512
76,649.248352766037,1.26224512
77,656.7049250602722,1.26224512
78,669.69447016716,1.26224512
79,678.4408242702484,1.26224512
80,689.8268048763275,1.26224512
81,697.0272195339203,1.26224512
82,709.0945382118225,1.26224512
83,719.3770492076874,1.26224512
84,725.7796280384064,1.26224512
85,735.800624370575,1.26224512
86,735.9522409439087,1.26224512
87,748.9108266830444,1.26224512
88,758.4271214008331,1.26224512
89,766.9856126308441,1.26224512
90,767.1353316307068,1.26224512
91,774.9772017002106,1.26224512
92,782.9590997695923,1.26224512
93,790.3870775699615,1.25834012
94,790.5556969642639,1.25834012
95,797.7687749862671,1.25834012
96,806.627299785614,1.25834012
97,815.7567186355591,1.25834012
98,825.2012054920197,1.25834012
99,833.8319568634033,1.25834012
100,833.9814159870148,1.25834012
101,843.4561440944672,1.25834012
102,852.6426961421967,1.25834012
103,860.5044944286346,1.25834012
104,873.1017005443573,1.25834012
105,881.3532428741455,1.25834012
106,890.3212823867798,1.25834012
107,896.5430898666382,1.25834012
108,904.8738343715668,1.25834012
109,913.1989455223083,1.25834012
110,921.9912450313568,1.25834012
111,928.9311385154724,1.25834012
112,938.0711925029755,1.25834012
113,946.5202910900116,1.25834012
114,956.5496153831482,1.25834012
115,956.6278388500214,1.25834012
116,966.2608299255371,1.25834012
