name,method,config command,csr_time,best_time
bcsstk38,random_searching,2 i 2 i0 2048 i1 2 k 2 k0 4096 k1 1 1 A 4 i0 i1 k0 k1 A 4 i0 0 i1 1 k0 1 k1 0 1 j 2 j0 64 j1 2 6 i0 i1 j0 k0 j1 k1 i0 None None 0 128 1,0.7715310454368591,0.7070052
bcsstk38,p_searching,2 i 2 i0 2048 i1 2 k 2 k0 32 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 1 k0 0 k1 1 1 j 2 j0 64 j1 2 6 i0 k0 i1 j0 k1 j1 i0 j1 None 0 128 2,1.0861190557479858,0.5936239999999999
mhd4800a,random_searching,2 i 2 i0 4096 i1 1 k 2 k0 2048 k1 2 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 0 k0 1 k1 0 1 j 2 j0 2 j1 64 6 i0 j0 k0 i1 j1 k1 i0 None j1 64 128 2,0.28067636489868164,0.20260425999999998
mhd4800a,p_searching,2 i 2 i0 2048 i1 2 k 2 k0 64 k1 64 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 1 k0 2 k1 2 1 j 2 j0 16 j1 8 6 i0 i1 k0 j0 k1 j1 i0 j1 j0 16 128 2,0.2871471047401428,0.18003716
conf5_0-4x4-18,random_searching,2 i 2 i0 2048 i1 1 k 2 k0 16 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 2 k0 0 k1 1 1 j 2 j0 2 j1 64 6 i0 j0 k0 i1 k1 j1 i0 j1 k0 16 128 1,0.29441577196121216,0.27478448
conf5_0-4x4-18,p_searching,2 i 2 i0 2048 i1 1 k 2 k0 128 k1 16 1 A 4 i0 k0 k1 i1 A 4 i0 0 i1 3 k0 1 k1 1 1 j 2 j0 64 j1 2 6 i0 k0 k1 i1 j0 j1 i0 j1 j0 64 128 8,0.30405381321907043,0.21328653999999997
cca,random_searching,2 i 2 i0 16384 i1 2 k 2 k0 32768 k1 1 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 0 k0 1 k1 3 1 j 2 j0 2 j1 64 6 i0 i1 k0 j0 k1 j1 i0 None None 0 128 256,0.8766897320747375,0.9236711799999999
cca,p_searching,2 i 2 i0 256 i1 128 k 2 k0 128 k1 256 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 2 k0 2 k1 3 1 j 2 j0 1 j1 128 6 i0 j0 i1 k0 k1 j1 i0 None None 0 128 1,1.2141497135162354,0.7383395
Trefethen_20000,random_searching,2 i 2 i0 4096 i1 4 k 2 k0 1024 k1 16 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 0 k0 2 k1 2 1 j 2 j0 2 j1 64 6 i0 i1 k0 k1 j0 j1 i0 j1 None 0 128 4,0.9964665770530701,1.04464412
Trefethen_20000,p_searching,2 i 2 i0 256 i1 64 k 2 k0 128 k1 128 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 0 k0 2 k1 3 1 j 2 j0 32 j1 4 6 i0 i1 k0 k1 j0 j1 i0 j1 i1 64 128 1,1.5566450357437134,1.04536352
pf2177,random_searching,2 i 2 i0 2048 i1 4 k 2 k0 32 k1 256 1 A 4 i0 i1 k0 k1 A 4 i0 0 i1 1 k0 0 k1 2 1 j 2 j0 32 j1 4 6 i0 i1 k0 k1 j0 j1 i0 None k0 32 128 2,1.6316403150558472,1.2786322799999998
pf2177,p_searching,2 i 2 i0 4096 i1 2 k 2 k0 64 k1 128 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 0 k0 1 k1 2 1 j 2 j0 32 j1 4 6 i0 i1 k0 k1 j0 j1 i0 None None 0 128 2,1.609925627708435,1.26166648
msc10848,random_searching,2 i 2 i0 2048 i1 4 k 2 k0 1024 k1 8 1 A 4 i0 k0 k1 i1 A 4 i0 0 i1 2 k0 2 k1 1 1 j 2 j0 1 j1 128 6 i0 j0 k0 k1 i1 j1 i0 None None 0 128 16,2.444101095199585,3.06939456
msc10848,p_searching,2 i 2 i0 128 i1 64 k 2 k0 32 k1 256 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 0 k0 0 k1 2 1 j 2 j0 128 j1 1 6 i0 i1 k0 k1 j0 j1 i0 j1 None 0 128 1,2.418017864227295,3.6639165000000005
cfd1,random_searching,2 i 2 i0 8192 i1 8 k 2 k0 32768 k1 2 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 1 k0 2 k1 0 1 j 2 j0 32 j1 4 6 i0 k0 i1 j0 k1 j1 i0 j1 j0 32 128 16,3.661506414413452,5.22108948
cfd1,p_searching,2 i 2 i0 1024 i1 64 k 2 k0 256 k1 256 1 A 4 i0 k0 k1 i1 A 4 i0 0 i1 1 k0 1 k1 2 1 j 2 j0 1 j1 128 6 i0 k0 j0 k1 i1 j1 i0 None None 0 128 1,3.3601975440979004,3.903429
net100,random_searching,2 i 2 i0 4096 i1 4 k 2 k0 4096 k1 4 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 1 k0 2 k1 1 1 j 2 j0 8 j1 16 6 i0 k0 i1 k1 j0 j1 i0 None j1 16 128 2,3.6896278858184814,3.3069231
net100,p_searching,2 i 2 i0 512 i1 32 k 2 k0 16384 k1 1 1 A 4 i0 i1 k0 k1 A 4 i0 0 i1 0 k0 1 k1 3 1 j 2 j0 1 j1 128 6 i0 i1 j0 k0 j1 k1 i0 None j1 128 128 1,3.7845349311828613,3.20372652
vanbody,random_searching,2 i 2 i0 512 i1 64 k 2 k0 256 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 2 k0 1 k1 2 1 j 2 j0 16 j1 8 6 i0 k0 i1 j0 k1 j1 i0 j1 None 0 128 2,4.515811920166016,3.94379534
vanbody,p_searching,2 i 2 i0 32768 i1 1 k 2 k0 32768 k1 1 1 A 4 i0 i1 k0 k1 A 4 i0 0 i1 1 k0 2 k1 0 1 j 2 j0 2 j1 64 6 i0 j0 i1 k0 k1 j1 i0 None None 0 128 16,4.222177028656006,4.09940778
net150,random_searching,2 i 2 i0 2048 i1 16 k 2 k0 128 k1 256 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 1 k0 2 k1 1 1 j 2 j0 4 j1 32 6 i0 k0 i1 k1 j0 j1 i0 j1 None 0 128 4,5.773802757263184,5.822210459999999
net150,p_searching,2 i 2 i0 32768 i1 1 k 2 k0 128 k1 256 1 A 4 i0 k0 k1 i1 A 4 i0 1 i1 0 k0 1 k1 1 1 j 2 j0 1 j1 128 6 i0 j0 k0 k1 j1 i1 i0 i1 None 0 128 8,6.1562323570251465,5.567977999999999
Chevron3_4x16_1,random_searching,2 i 2 i0 2048 i1 64 k 2 k0 64 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 2 k0 1 k1 3 1 j 2 j0 8 j1 16 6 i0 k0 i1 j0 k1 j1 i0 None None 0 128 2,7.710203170776367,6.5158388600000015
Chevron3_4x16_1,p_searching,2 i 2 i0 512 i1 256 k 2 k0 128 k1 64 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 1 k0 0 k1 1 1 j 2 j0 16 j1 8 6 i0 k0 i1 j0 k1 j1 i0 None k0 128 128 2,8.252618789672852,6.286327679999999
vibrobox_1x1_0,random_searching,2 i 2 i0 8192 i1 8 k 2 k0 4096 k1 1 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 2 k0 2 k1 0 1 j 2 j0 2 j1 64 6 i0 i1 k0 j0 k1 j1 i0 j1 j0 2 128 2,8.127983093261719,7.792394440000001
vibrobox_1x1_0,p_searching,2 i 2 i0 16384 i1 4 k 2 k0 16 k1 256 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 1 k0 0 k1 1 1 j 2 j0 16 j1 8 6 i0 k0 i1 j0 k1 j1 i0 j1 k0 16 128 8,8.026588439941406,6.336758680000002
NACA0015_16x8_9,random_searching,2 i 2 i0 65536 i1 2 k 2 k0 2048 k1 2 1 A 4 i0 k0 k1 i1 A 4 i0 1 i1 0 k0 1 k1 0 1 j 2 j0 1 j1 128 6 i0 k0 k1 j0 j1 i1 i0 None j1 128 128 16,6.382473945617676,4.64846896
NACA0015_16x8_9,p_searching,2 i 2 i0 4096 i1 32 k 2 k0 32 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 1 k0 2 k1 1 1 j 2 j0 16 j1 8 6 i0 k0 i1 j0 k1 j1 i0 None None 0 128 4,6.6983113288879395,4.72866796
nemspmm1_16x4_0,random_searching,2 i 2 i0 512 i1 8 k 2 k0 64 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 1 k0 0 k1 1 1 j 2 j0 16 j1 8 6 i0 k0 j0 i1 k1 j1 i0 j1 k0 64 128 1,3.242891311645508,1.26235648
nemspmm1_16x4_0,p_searching,2 i 2 i0 128 i1 32 k 2 k0 64 k1 128 1 A 4 i0 i1 k0 k1 A 4 i0 0 i1 0 k0 1 k1 1 1 j 2 j0 128 j1 1 6 j0 j1 i0 i1 k0 k1 j0 None None 0 128 1,2.863982677459717,2.3158184399999997
Trec6_16x16_9,random_searching,2 i 2 i0 16384 i1 2 k 2 k0 64 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 1 i1 0 k0 1 k1 1 1 j 2 j0 64 j1 2 6 i0 k0 i1 j0 k1 j1 i0 j1 j0 64 128 2,1.8761614561080933,0.31636758
Trec6_16x16_9,p_searching,2 i 2 i0 2048 i1 16 k 2 k0 128 k1 64 1 A 4 i0 k0 k1 i1 A 4 i0 1 i1 0 k0 1 k1 1 1 j 2 j0 2 j1 64 6 i0 j0 k0 k1 j1 i1 i0 i1 j1 64 128 1,1.8263559341430664,0.7205908199999999
