Round,Relative Time (ms),Value
0,22.076273679733276,5.02372084
1,40.16013717651367,4.1523962800000005
2,60.02570557594299,4.07581636
3,79.73042583465576,3.5764565800000003
4,97.68270063400269,3.5764565800000003
5,116.97952914237976,3.4998971799999996
6,135.43422508239746,3.4998971799999996
7,150.4570152759552,3.4998971799999996
8,165.16786932945251,3.4998971799999996
9,182.4223735332489,3.4998971799999996
10,200.1567678451538,3.4998971799999996
11,221.2748634815216,3.4998971799999996
12,239.65146446228027,3.4998971799999996
13,258.0528874397278,3.42809032
14,277.0031957626343,3.36526464
15,299.2718207836151,3.36526464
16,320.4832811355591,3.36526464
17,340.38586235046387,3.36526464
18,355.81230211257935,3.36526464
19,367.79041719436646,3.36526464
20,382.200630903244,3.36526464
21,393.12713074684143,3.2380976799999996
22,409.86724758148193,3.2380976799999996
23,419.3911063671112,3.1825208599999995
24,433.7174928188324,3.1825208599999995
25,450.31682205200195,3.1825208599999995
26,469.9743902683258,2.7357949199999996
27,488.6290717124939,2.7357949199999996
28,502.0962760448456,2.7357949199999996
29,514.5726130008698,2.7357949199999996
30,531.4788947105408,2.7357949199999996
31,546.9982833862305,2.5796243399999996
32,560.2170476913452,2.4144622800000004
33,579.0769062042236,2.40322384
34,591.6683778762817,2.40322384
35,606.0194809436798,2.40322384
36,619.794540643692,2.40322384
37,620.794201374054,2.40322384
38,620.8048994541168,2.40322384
39,635.0640494823456,2.40322384
40,646.5445663928986,2.3842664
41,659.6076333522797,2.3842664
42,671.4738528728485,2.3842664
43,686.3271255493164,2.38381382
44,698.4281203746796,2.38381382
45,716.0708341598511,2.38381382
46,716.1838970184326,2.38381382
47,728.2924003601074,2.38381382
48,744.5270848274231,2.38381382
49,756.6972699165344,2.38381382
50,756.9462306499481,2.38381382
51,757.0596885681152,2.38381382
52,770.6058392524719,2.38381382
53,784.5623042583466,2.38381382
54,802.3245799541473,2.38381382
55,814.8068852424622,2.38381382
56,833.9420623779297,2.38381382
57,850.9811601638794,2.38381382
58,863.7913300991058,2.38381382
59,876.3217487335205,2.38381382
60,895.0460278987885,2.38381382
61,910.3693137168884,2.38381382
62,924.8169112205505,2.38381382
63,935.0999000072479,2.38381382
64,945.4939470291138,2.38381382
65,956.6264758110046,2.38381382
66,956.7932362556458,2.38381382
67,968.7173819541931,2.38381382
68,981.3015117645264,2.38381382
69,1001.5671904087067,2.38381382
70,1018.4573254585266,2.38381382
71,1032.5668346881866,2.38381382
72,1045.6531414985657,2.38381382
73,1057.3222661018372,2.38381382
74,1066.8141176700592,2.38381382
75,1082.1812880039215,2.38381382
76,1095.0803971290588,2.38381382
77,1109.471858739853,2.38381382
78,1109.5714039802551,2.38381382
79,1126.151981830597,2.38381382
80,1137.2252416610718,2.38381382
81,1148.479406118393,2.38381382
82,1148.5789468288422,2.38381382
83,1160.8684158325195,2.38381382
84,1174.7022500038147,2.38381382
85,1185.954731464386,2.38381382
86,1197.1220178604126,2.38381382
87,1211.7654211521149,2.38381382
88,1222.726410627365,2.38381382
89,1237.0985424518585,2.38381382
90,1249.4924719333649,2.38381382
91,1263.4709012508392,2.38381382
92,1277.7163300514221,2.38381382
93,1295.1976401805878,2.38381382
94,1309.6574630737305,2.38381382
95,1324.3167037963867,2.38381382
96,1336.065976858139,2.38381382
97,1344.9826624393463,2.38381382
98,1352.793306350708,2.38381382
99,1352.8925549983978,2.38381382
100,1366.3601188659668,2.38381382
101,1378.329291343689,2.38381382
102,1392.669528722763,2.38381382
103,1407.565904378891,2.38381382
104,1407.573190689087,2.38381382
105,1407.5796546936035,2.38381382
106,1415.9828491210938,2.38381382
107,1415.9949934482574,2.38381382
108,1429.4368941783905,2.38381382
109,1443.6967113018036,2.38381382
110,1443.7014799118042,2.38381382
111,1455.6160185337067,2.38381382
112,1471.8173234462738,2.38381382
113,1485.7210185527802,2.38381382
114,1485.8243601322174,2.38381382
115,1504.140700340271,2.38381382
116,1516.360416650772,2.38381382
117,1523.6482174396515,2.38381382
118,1542.9629101753235,2.38381382
119,1556.7697622776031,2.38381382
120,1575.6877658367157,2.38381382
121,1590.238305091858,2.38381382
122,1604.5481054782867,2.38381382
123,1622.3992066383362,2.38381382
124,1633.4765441417694,2.38381382
125,1648.2687208652496,2.38381382
126,1659.8660247325897,2.38381382
127,1674.5843958854675,2.38381382
128,1685.1934173107147,2.38381382
129,1694.312604188919,2.38381382
130,1694.3206226825714,2.38381382
131,1715.412729024887,2.38381382
132,1732.4999563694,2.38381382
133,1744.921757698059,2.38381382
134,1759.7498564720154,2.38381382
135,1771.7039966583252,2.38381382
136,1783.7972843647003,2.38381382
137,1792.9958345890045,2.38302482
138,1807.6677134037018,2.38302482
139,1807.6802399158478,2.38302482
140,1819.886360168457,2.38302482
141,1831.0376780033112,2.38302482
142,1842.3966019153595,2.38302482
143,1851.3834834098816,2.38302482
144,1869.3286530971527,2.38302482
145,1882.9627377986908,2.38302482
146,1893.6741740703583,2.38302482
147,1909.0029475688934,2.38302482
148,1926.9093425273895,2.38302482
149,1937.0836353302002,2.38302482
150,1950.9518585205078,2.38302482
151,1964.3712491989136,2.38302482
152,1977.6943702697754,2.38302482
153,1977.7980053424835,2.38302482
154,1991.3870799541473,2.38302482
155,2006.091829776764,2.38302482
156,2020.8679614067078,2.38302482
157,2031.1421842575073,2.38302482
158,2041.1429750919342,2.38302482
159,2053.5859117507935,2.38302482
160,2053.5953390598297,2.38302482
161,2063.9107847213745,2.38302482
162,2081.9668328762054,2.38302482
163,2090.833484172821,2.38302482
164,2101.4871697425842,2.38302482
165,2116.7551033496857,2.38302482
166,2133.404279947281,2.38302482
167,2145.529443025589,2.38302482
168,2153.013927221298,2.38302482
169,2168.2759375572205,2.38302482
170,2179.8426954746246,2.38302482
171,2179.847618341446,2.38302482
172,2195.807836532593,2.38302482
173,2205.067461013794,2.38302482
174,2214.375218629837,2.38302482
175,2228.9087414741516,2.38302482
176,2240.079307794571,2.38302482
177,2251.6499712467194,2.38302482
178,2260.506849527359,2.38302482
179,2272.660017967224,2.38302482
180,2283.7216744422913,2.38302482
181,2283.7345340251923,2.38302482
182,2299.010936498642,2.38302482
183,2311.993448495865,2.38302482
184,2322.8262825012207,2.38302482
185,2335.247304916382,2.38302482
