Round,Relative Time (ms),Value
0,67.40843486785889,inf
1,176.4050850868225,inf
2,234.5809142589569,inf
3,270.3623938560486,64.460177
4,321.5925359725952,64.460177
5,362.9941120147705,64.460177
6,415.2029297351837,64.460177
7,445.11471819877625,55.632998
8,509.00555086135864,55.632998
9,660.9445848464966,55.632998
10,721.5183174610138,55.632998
11,771.3850982189178,55.632998
12,805.6804819107056,55.632998
13,833.0855667591095,47.467799
14,879.3622963428497,8.80694534
15,908.9084756374359,8.80694534
16,999.800831079483,8.80694534
17,1056.2994260787964,8.80694534
18,1133.2879066467285,8.80694534
19,1222.6571040153503,8.80694534
20,1269.7688164710999,8.80694534
21,1302.77974152565,8.80694534
22,1330.4598371982574,8.80694534
23,1358.1641278266907,8.80694534
24,1396.2653377056122,8.80694534
25,1437.8642296791077,8.80694534
26,1470.314626455307,8.80694534
27,1538.5152022838593,8.80694534
28,1565.3384075164795,8.80694534
29,1596.8307371139526,8.80694534
30,1662.1083204746246,8.80694534
31,1738.3887355327606,8.80694534
32,1776.3554680347443,8.80694534
33,1804.440575838089,8.80694534
34,1849.5261225700378,8.80694534
35,1901.992168188095,8.80694534
36,1951.3019275665283,8.80694534
37,2016.086839914322,8.80694534
38,2050.658591032028,8.80694534
39,2133.257126569748,8.80694534
40,2179.3099358081818,8.80694534
41,2264.922250032425,8.80694534
42,2324.6304054260254,8.80694534
43,2377.447724342346,8.80694534
44,2447.0750613212585,8.80694534
45,2509.099576473236,8.80694534
46,2537.9591779708862,8.80694534
47,2637.6329905986786,8.80694534
48,2673.5210585594177,8.80694534
49,2697.230990409851,8.80694534
50,2747.7433018684387,8.80694534
51,2786.404538869858,8.80694534
52,2815.1955642700195,8.80694534
53,2873.370183944702,8.80694534
54,2915.9251205921173,8.80694534
55,2973.1327016353607,8.80694534
56,3048.371649980545,8.80694534
57,3068.319355249405,8.66059242
58,3101.015121459961,8.66059242
59,3154.8744933605194,8.66059242
60,3258.5067131519318,8.66059242
61,3290.511058330536,8.66059242
62,3324.061224937439,8.66059242
63,3390.6164541244507,8.66059242
64,3441.3610734939575,8.66059242
65,3475.9421169757843,8.66059242
66,3518.1801495552063,8.66059242
67,3549.811140537262,8.66059242
68,3621.368158340454,8.66059242
69,3681.5688672065735,8.66059242
70,3736.9820487499237,8.66059242
71,3804.7732083797455,8.66059242
72,3838.2814474105835,8.66059242
73,3880.6361689567566,8.66059242
74,3942.4290714263916,8.66059242
75,4012.792388677597,8.66059242
76,4087.0120511054993,8.66059242
77,4121.370759725571,8.66059242
78,4159.487241029739,8.66059242
79,4240.195697546005,8.66059242
80,4310.2479519844055,8.66059242
81,4345.895962238312,8.66059242
82,4388.677206039429,8.66059242
83,4422.988642692566,8.66059242
84,4484.959776878357,7.84338396
85,4525.239284515381,7.84338396
86,4558.000161409378,7.84338396
87,4597.569769620895,7.84338396
88,4654.767715215683,7.84338396
89,4713.631754159927,7.84338396
90,4757.4342720508575,7.84338396
91,4806.696676492691,7.84338396
92,4838.852938652039,7.84338396
93,4871.430592298508,7.84338396
94,4958.843313694,7.84338396
95,5126.461022853851,7.84338396
96,5160.083868503571,7.84338396
97,5210.966809272766,7.84338396
98,5249.931375980377,7.84338396
99,5291.713872909546,7.84338396
