Round,Relative Time (ms),Value
0,24.429300785064697,4.1496753
1,76.16822338104248,3.58102972
2,150.54164242744446,3.58102972
3,214.22790455818176,3.5707494599999996
4,274.7297856807709,2.60657938
5,328.8930718898773,2.43297064
6,384.8446867465973,2.29572402
7,442.08846402168274,1.50197628
8,494.61395025253296,1.50197628
9,547.6294348239899,1.4827697600000003
10,604.3167209625244,1.4827697600000003
11,659.2329676151276,1.4266378800000001
12,711.1686480045319,1.4266378800000001
13,768.6167140007019,1.2967750200000001
14,827.7516992092133,1.2967750200000001
15,884.732608795166,1.2967750200000001
16,943.7847480773926,1.2967750200000001
17,1000.0368514060974,1.2967750200000001
18,1060.0634875297546,1.28770772
19,1115.7064492702484,1.28770772
20,1173.6170539855957,1.28770772
21,1233.1262981891632,1.28770772
22,1291.180052280426,1.28770772
23,1349.6077282428741,1.28770772
24,1410.4046370983124,1.28770772
25,1467.8629848957062,1.28770772
26,1521.4971914291382,1.28770772
27,1575.8170397281647,1.28770772
28,1610.1936631202698,1.28770772
29,1651.494883298874,1.28770772
30,1724.9764659404755,1.28770772
31,1804.0547263622284,1.28770772
32,1876.1062428951263,1.28770772
33,1945.3375403881073,1.28770772
34,2012.8510763645172,1.28770772
35,2087.957031726837,1.28770772
36,2155.1930537223816,1.28770772
37,2216.5730249881744,1.28770772
38,2281.5647871494293,1.28770772
39,2312.8853731155396,1.28770772
40,2355.4378266334534,1.28770772
41,2433.245739221573,1.28770772
42,2497.0401141643524,1.28770772
43,2553.601663351059,1.28770772
44,2599.7655375003815,1.28770772
45,2652.524891614914,1.28770772
46,2712.8133409023285,1.28770772
47,2765.6216089725494,1.28770772
48,2821.500250816345,1.28770772
49,2872.8079628944397,1.28770772
50,2905.5439059734344,1.28770772
51,2968.5529782772064,1.28770772
52,3048.2935819625854,1.28770772
53,3131.971729516983,1.28770772
54,3202.773045063019,1.28770772
55,3277.190521001816,1.28770772
56,3355.240759372711,1.28770772
57,3423.0490593910217,1.28770772
58,3489.063819169998,1.28770772
59,3552.3724117279053,1.28770772
60,3609.1971480846405,1.09854446
61,3673.3132379055023,1.09854446
62,3731.2545840740204,1.09854446
63,3787.3650047779083,1.09854446
64,3847.3328421115875,1.09854446
65,3904.809990644455,1.09854446
66,3961.8610730171204,1.09854446
67,4022.1713321208954,1.09854446
68,4071.0812590122223,1.09854446
69,4125.880514860153,1.09854446
70,4167.100985765457,1.09854446
71,4242.7947409152985,1.09854446
72,4323.197575330734,1.09854446
73,4382.1238651275635,1.09854446
74,4438.753543138504,1.09854446
75,4504.952661037445,1.09854446
76,4565.556552171707,1.09854446
77,4626.751771450043,1.09854446
78,4694.713662624359,1.09854446
79,4747.200723171234,1.09854446
80,4800.33785033226,1.09854446
81,4842.287549972534,1.09854446
82,4933.799569129944,1.09854446
83,5028.299575805664,1.09854446
84,5113.321040868759,1.09854446
85,5199.321673154831,1.09854446
86,5273.2499096393585,1.09854446
87,5344.038618087769,1.09854446
88,5407.476343154907,1.09854446
89,5475.127716302872,1.09854446
90,5541.55979847908,1.09854446
91,5590.7205238342285,1.09854446
92,5621.787889003754,1.09854446
93,5673.741163492203,1.09854446
94,5754.941401720047,1.09854446
95,5829.5164041519165,1.09854446
96,5893.778333425522,1.09854446
97,5951.626279115677,1.09854446
98,6014.20672082901,1.09854446
99,6078.447353601456,1.09854446
