Round,Relative Time (ms),Value
0,23.169368028640747,15.097379940000001
1,68.69888949394226,12.304669640000002
2,164.61451172828674,12.03962728
3,299.5792598724365,8.8110709
4,422.80982279777527,8.8110709
5,555.397438287735,8.8110709
6,681.8743290901184,7.371092960000001
7,793.6359419822693,7.1133627
8,908.2580935955048,5.72896298
9,1029.342690229416,5.72896298
10,1155.6528799533844,5.72896298
11,1268.862343788147,5.47339162
12,1359.7980942726135,4.92530478
13,1449.6381721496582,4.92530478
14,1549.0528047084808,4.92530478
15,1646.0473217964172,4.92530478
16,1737.5787358283997,4.92530478
17,1827.7568411827087,4.92530478
18,1928.5472865104675,4.92530478
19,2023.2104995250702,4.92530478
20,2134.457532644272,4.92530478
21,2228.5245254039764,4.92530478
22,2272.0563848018646,4.92530478
23,2330.90385222435,4.92530478
24,2451.619513273239,4.92530478
25,2555.525628566742,4.92530478
26,2664.9978556632996,4.92530478
27,2762.4987337589264,4.92530478
28,2845.0433418750763,4.92530478
29,2938.9506211280823,4.92530478
30,3020.228176832199,4.92530478
31,3113.890814304352,4.92530478
32,3193.1195816993713,4.92530478
33,3212.916609764099,4.92530478
34,3235.387449026108,4.92530478
35,3280.408489704132,4.92530478
36,3373.436234474182,4.92530478
37,3480.147156238556,4.92530478
38,3571.737782239914,4.92530478
39,3663.80077791214,4.92530478
40,3778.9304008483887,4.92530478
41,3880.9016289711,4.92530478
42,3976.1853811740875,4.92530478
43,4060.5941104888916,4.92530478
44,4168.50750207901,4.492036260000001
45,4272.056349515915,4.492036260000001
46,4390.189862012863,4.492036260000001
47,4489.357577562332,4.492036260000001
48,4585.505290269852,4.492036260000001
49,4684.303994655609,4.492036260000001
50,4794.311081409454,4.492036260000001
51,4890.495146751404,4.492036260000001
52,4984.248533964157,4.492036260000001
53,5065.5878710746765,4.492036260000001
54,5112.734597682953,4.492036260000001
55,5168.544643163681,4.492036260000001
56,5265.27445435524,4.492036260000001
57,5378.417484760284,4.492036260000001
58,5479.212890386581,4.492036260000001
59,5568.274509429932,4.492036260000001
60,5670.43092250824,4.492036260000001
61,5771.469346046448,4.492036260000001
62,5866.2088441848755,4.492036260000001
63,5972.585653543472,4.492036260000001
64,6076.622758388519,4.492036260000001
65,6135.694919586182,4.492036260000001
66,6227.369487524033,4.492036260000001
67,6365.507707834244,4.492036260000001
68,6466.741868495941,4.492036260000001
69,6579.705603837967,4.492036260000001
70,6710.7108697891235,4.492036260000001
71,6847.298784732819,4.492036260000001
72,6979.558352470398,4.492036260000001
73,7073.875305652618,4.492036260000001
74,7182.749690055847,4.492036260000001
75,7227.498115301132,4.492036260000001
76,7300.401514291763,4.492036260000001
77,7429.019884347916,4.492036260000001
78,7544.989659070969,4.492036260000001
79,7656.703014373779,4.492036260000001
80,7776.784081697464,4.492036260000001
81,7891.120247840881,4.492036260000001
82,7998.254083395004,4.492036260000001
83,8110.698990345001,4.492036260000001
84,8208.68444442749,4.492036260000001
85,8314.86175251007,4.492036260000001
86,8356.828510284424,4.492036260000001
87,8433.897688865662,4.492036260000001
88,8569.634626626968,4.492036260000001
89,8729.533954381943,4.492036260000001
90,8847.776112318039,4.492036260000001
91,8955.918545007706,4.492036260000001
92,9064.859110116959,4.492036260000001
93,9175.51172041893,4.492036260000001
94,9286.889516830444,4.492036260000001
95,9391.384779453278,4.492036260000001
96,9482.29975938797,4.492036260000001
97,9545.289929628372,4.492036260000001
98,9614.475741147995,4.492036260000001
99,9734.71979355812,4.492036260000001
