Round,Relative Time (ms),Value
0,132.9195122718811,383.13848279999996
1,642.8933854103088,337.32141104000004
2,1769.643711090088,21.211822480000002
3,2996.375511407852,21.211822480000002
4,4155.251094579697,19.40413064
5,4659.206449508667,19.40413064
6,5162.2110731601715,19.40413064
7,5709.967009544373,19.40413064
8,6117.645110368729,19.40413064
9,6451.140794992447,19.40413064
10,6904.1323499679565,19.40413064
11,7426.745238780975,19.40413064
12,7892.330740213394,19.30979396
13,8398.770020246506,19.30979396
14,8826.25957274437,19.2295881
15,9308.388692855835,18.5126535
16,9744.361778259277,18.5126535
17,10109.91022849083,18.5126535
18,10740.51151418686,18.5126535
19,11457.29250216484,18.5126535
20,12320.514105319977,18.5126535
21,12857.748745679855,18.5126535
22,13335.434625387192,18.5126535
23,13779.057903289795,18.5126535
24,14589.038652896881,18.5126535
25,15317.26227736473,18.5126535
26,15857.754098415375,18.5126535
27,16755.700929403305,18.5126535
28,17756.950703144073,18.5126535
29,18435.61877655983,18.5126535
30,18864.883370876312,18.5126535
31,19315.316034317017,18.5126535
32,19773.25997877121,18.5126535
33,20151.199768781662,18.5126535
34,20425.93035364151,18.5126535
35,20823.712391614914,18.5126535
36,21061.33438515663,18.5126535
37,21459.10349392891,18.5126535
38,21843.67878127098,18.5126535
39,22273.253776073456,18.5126535
40,22469.898326158524,18.5126535
41,23072.01769042015,18.5126535
42,24182.371287822723,18.5126535
43,25986.98875117302,18.5126535
44,27614.500717639923,18.5126535
45,28668.7114675045,18.5126535
46,29199.64640688896,18.5126535
47,29664.79866027832,18.5126535
48,30034.156992435455,18.5126535
49,30473.248007774353,18.5126535
50,30789.168972492218,18.5126535
51,31187.338757038116,18.5126535
52,31555.754959106445,18.5126535
53,32229.633609056473,18.5126535
54,32701.274794101715,18.5126535
55,34105.71104693413,18.5126535
56,36690.89099597931,18.5126535
57,39144.11056256294,18.5126535
58,41425.44470000267,18.5126535
59,43219.741647958755,18.5126535
60,43821.59025812149,18.5126535
61,44155.70409870148,18.5126535
62,44473.289598464966,18.5126535
63,44761.398874759674,18.5126535
64,45013.790613889694,18.5126535
65,45226.0043053627,18.5126535
66,45474.53402495384,18.5126535
67,45727.63306427002,18.5126535
68,46563.04585981369,18.5126535
69,48476.371715545654,18.5126535
70,50319.87339425087,18.5126535
71,53031.79808974266,18.5126535
72,55003.12775969505,18.5126535
73,56382.030015945435,18.5126535
74,57147.42640757561,18.5126535
75,57854.9495010376,18.5126535
76,58323.50164628029,18.5126535
77,58794.73592352867,18.5126535
78,59577.37122440338,18.5126535
79,60194.82710456848,14.4035206
80,60915.87618327141,7.108593000000001
81,61355.99907040596,7.108593000000001
82,62008.123149871826,6.7990791
83,62654.68528842926,6.7990791
84,63313.788820028305,6.7990791
85,64009.173594236374,6.74338856
86,64873.05064558983,6.74338856
87,65779.71089553833,6.74338856
88,66585.39566588402,6.74338856
89,67385.41104054451,6.74338856
90,68441.26517653465,6.74338856
91,69141.51373887062,6.74338856
92,69861.77931237221,6.579606359999999
93,71038.96816778183,6.52843992
94,71926.12666416168,6.52843992
95,72719.80701708794,6.52843992
96,73450.91482043266,6.52843992
97,74023.31541609764,6.52843992
98,74619.32746744156,6.52843992
99,75539.59902215004,6.52843992
