Round,Relative Time (ms),Value
0,129.5339391231537,55.94315594
1,622.5972194671631,43.14421262
2,1001.5734856128693,8.609660139999999
3,1287.965933561325,4.87007342
4,1507.6118731498718,4.7163521600000005
5,1738.1598620414734,4.7163521600000005
6,1967.8794407844543,4.44293564
7,2156.1874992847443,4.138852040000001
8,2355.3801670074463,4.138852040000001
9,2552.8535244464874,4.138852040000001
10,2770.2032463550568,4.138852040000001
11,3003.3599095344543,3.7991440799999996
12,3204.4873657226562,3.7991440799999996
13,3366.619448184967,3.7991440799999996
14,3611.2683506011963,3.7991440799999996
15,3812.6318924427032,3.7991440799999996
16,4060.1380031108856,3.7991440799999996
17,4244.391344547272,3.7991440799999996
18,4498.867054224014,3.7991440799999996
19,4724.2836492061615,3.7991440799999996
20,4899.095323085785,3.7905057799999997
21,5121.869779348373,3.7905057799999997
22,5352.97412109375,3.77358974
23,5573.063863992691,3.72527142
24,5787.636966943741,3.72527142
25,6025.5538029670715,3.72527142
26,6272.322019338608,3.72527142
27,6470.3746972084045,3.72527142
28,6706.316815853119,3.72527142
29,6934.887897014618,3.72527142
30,7150.2366354465485,3.72527142
31,7408.128129005432,3.72527142
32,7635.689360141754,3.72527142
33,7746.24530339241,3.72527142
34,8004.536592721939,3.72527142
35,8353.923516750336,3.72527142
36,8575.828530550003,3.72527142
37,8758.50008392334,3.6811643999999997
38,8935.8849670887,3.63055582
39,9125.061254024506,3.63055582
40,9293.248418807983,3.63055582
41,9482.657258749008,3.63055582
42,9626.274015903473,3.62244888
43,9840.82894730568,3.62244888
44,10031.507747411728,3.62244888
45,10199.665199756622,3.62244888
46,10393.293601751328,3.62244888
47,10543.802924633026,3.62244888
48,10746.872299909592,3.62244888
49,10938.39089179039,3.62244888
50,11147.454201459885,3.62244888
51,11316.04188132286,3.62244888
52,11424.996816396713,3.62244888
53,11639.304480314255,3.62244888
54,12127.763476610184,3.62244888
55,12625.70453453064,3.62244888
56,13077.719191789627,3.62244888
57,13457.89546585083,3.62244888
58,13730.752790927887,3.62244888
59,14035.858405351639,3.62244888
60,14253.195672750473,3.62244888
61,14477.699275255203,3.62244888
62,14668.154785633087,3.60181606
63,14829.961167573929,3.60181606
64,14979.210528373718,3.60181606
65,15109.210939645767,3.60181606
66,15246.002614974976,3.60181606
67,15365.397440433502,3.60181606
68,15518.957314014435,3.60181606
69,15664.105177640915,3.60181606
70,15797.177921772003,3.60181606
71,15935.451413154602,3.58748722
72,16074.653908967972,3.58748722
73,16275.505419015884,3.58748722
74,16413.747072696686,3.58748722
75,16590.266178131104,3.58748722
76,16753.96674513817,3.58748722
77,16915.927970409393,3.58748722
78,17099.982573986053,3.58748722
79,17258.335854530334,3.58748722
80,17401.54208111763,3.58748722
81,17472.746569395065,3.58748722
82,17615.057276010513,3.58748722
83,17955.537516117096,3.58748722
84,18542.059977054596,3.58748722
85,18975.211363077164,3.58748722
86,19426.347110271454,3.58748722
87,20007.182659864426,3.58748722
88,20612.779659986496,3.58748722
89,21221.536718845367,3.58748722
90,21503.854097366333,3.58748722
91,21883.174654722214,3.58748722
92,21981.43580007553,3.58748722
93,22185.362020492554,3.58748722
94,22524.998099803925,3.58748722
95,22844.25553202629,3.58748722
96,23331.44519162178,3.58748722
97,23938.261434793472,3.58748722
98,24405.449911117554,3.58748722
99,24902.81014561653,3.58748722
