Round,Relative Time (ms),Value
0,58.87808442115784,2.01398666
1,124.20531153678894,1.6116821199999998
2,247.60335683822632,1.6116821199999998
3,368.7938725948334,1.59533604
4,484.68595147132874,1.59533604
5,585.6337072849274,1.42409452
6,693.9547708034515,1.37412854
7,786.5552444458008,1.29272852
8,896.7290222644806,1.14635344
9,996.6021816730499,1.14635344
10,1101.2120699882507,1.14635344
11,1187.7815537452698,1.14460874
12,1264.5804030895233,1.14460874
13,1357.1561567783356,1.13047946
14,1467.2125046253204,1.10093822
15,1548.84121966362,1.10093822
16,1655.606983423233,1.10093822
17,1736.0416204929352,1.10093822
18,1836.6924068927765,1.0868767799999999
19,1937.4244396686554,1.0868767799999999
20,2020.7472279071808,1.0868767799999999
21,2100.935698032379,1.08202394
22,2172.939872741699,1.08202394
23,2253.9552097320557,1.08202394
24,2325.242440700531,1.06972226
25,2422.4546966552734,1.06972226
26,2499.7931096553802,1.06972226
27,2600.8785610198975,1.06972226
28,2709.4257066249847,1.06516496
29,2780.0235226154327,1.06516496
30,2877.8615012168884,1.06516496
31,2970.3465316295624,1.06516496
32,3041.502083301544,1.06516496
33,3149.3105165958405,1.06516496
34,3231.8783810138702,1.06516496
35,3334.2989609241486,1.06516496
36,3419.6299953460693,1.06516496
37,3513.1331508159637,1.06516496
38,3547.468047142029,1.06516496
39,3593.8277294635773,1.06516496
40,3681.6604087352753,1.06516496
41,3833.6598336696625,1.06516496
42,3926.0254757404327,1.06516496
43,4005.962792634964,1.06516496
44,4128.405638694763,1.06516496
45,4230.373797416687,1.06516496
46,4357.865525722504,1.06516496
47,4584.7950649261475,1.06516496
48,4776.126036643982,1.06516496
49,5003.17698597908,1.06516496
50,5228.454354763031,1.06516496
51,5433.822959184647,1.06516496
52,5627.92410326004,1.06516496
53,5787.6187698841095,1.06516496
54,5932.797595739365,1.06516496
55,6065.302090406418,1.06516496
56,6199.000311136246,1.06516496
57,6265.680938005447,1.06516496
58,6322.445648193359,1.06516496
59,6428.201664924622,1.06516496
60,6579.617931604385,1.06516496
61,6701.523941278458,1.06516496
62,6815.8909657001495,1.06516496
63,6904.718726873398,1.06516496
64,7021.842403650284,1.06516496
65,7136.963119268417,1.06516496
66,7225.387046813965,1.06516496
67,7301.686751842499,1.06516496
68,7410.502772331238,1.06516496
69,7497.093008756638,1.06516496
70,7553.743629932404,1.06516496
71,7671.68901348114,1.06516496
72,7915.458275794983,1.06516496
73,8165.681453943253,1.06516496
74,8402.452629089355,1.06516496
75,8607.030929803848,1.06516496
76,8755.766348838806,1.06516496
77,8894.11972784996,1.06516496
78,9045.213840007782,1.06516496
79,9183.008792161942,1.06516496
80,9316.766313552856,1.06516496
81,9405.525966644287,1.06516496
82,9539.61913895607,1.06516496
83,9860.993671417236,1.06516496
84,10046.531745672226,1.06516496
85,10177.884905099869,1.06516496
86,10288.25417470932,1.06516496
87,10347.51822590828,1.06516496
88,10438.989151716232,1.06516496
89,10515.839647054672,1.06516496
90,10635.136178255081,1.06516496
91,10742.76222896576,1.06516496
92,10828.688649177551,1.06516496
93,10898.063574075699,1.06516496
94,10990.64389038086,1.06516496
95,11169.822543859482,1.06516496
96,11288.031280517578,0.74687862
97,11388.718991041183,0.74687862
98,11507.23006105423,0.74687862
99,11601.560400724411,0.72915098
