Round,Relative Time (ms),Value
0,87.39545941352844,50.55608447999999
1,292.6265859603882,4.72901388
2,616.0698742866516,4.7107997
3,810.3983204364777,4.009485979999999
4,949.6335737705231,3.71567686
5,1124.3271243572235,3.6883159599999997
6,1288.781970024109,3.2993031599999996
7,1446.9191052913666,2.32575392
8,1568.4892303943634,1.9864903199999997
9,1688.7887856960297,1.9639184799999998
10,1798.0762379169464,1.88299306
11,1905.3502867221832,1.88299306
12,2009.718332529068,1.88299306
13,2128.860953807831,1.88299306
14,2250.890553712845,1.88299306
15,2376.098464488983,1.88299306
16,2471.0357694625854,1.88299306
17,2568.3321340084076,1.88299306
18,2675.049413919449,1.88299306
19,2773.9687814712524,1.88299306
20,3026.8577053546906,1.88299306
21,3406.0037093162537,1.88299306
22,3698.7419848442078,1.88299306
23,3910.6090972423553,1.88299306
24,4079.4357240200043,1.88299306
25,4255.556151628494,1.88299306
26,4380.7233946323395,1.88299306
27,4532.8722422122955,1.88299306
28,4653.5070061683655,1.88299306
29,4775.568254470825,1.88299306
30,4928.697737693787,1.87491196
31,5057.797097682953,1.87491196
32,5153.256052494049,1.87491196
33,5273.349739789963,1.8572329599999997
34,5398.949651479721,1.8322122
35,5520.614434719086,1.8322122
36,5658.504819393158,1.8322122
37,5794.356109380722,1.8322122
38,5904.024564266205,1.8322122
39,6008.748320102692,1.7752952000000002
40,6136.875969171524,1.7752952000000002
41,6232.483195304871,1.7752952000000002
42,6354.255300760269,1.7752952000000002
43,6453.963170051575,1.7752952000000002
44,6565.415208339691,1.7752952000000002
45,6661.328644752502,1.7752952000000002
46,6771.363793373108,1.7752952000000002
47,6866.447328090668,1.7752952000000002
48,6963.480319023132,1.7752952000000002
49,7184.54394698143,1.7752952000000002
50,7432.541512966156,1.7752952000000002
51,7752.017503738403,1.7752952000000002
52,7905.780202865601,1.7752952000000002
53,8056.703829288483,1.7752952000000002
54,8140.586024522781,1.7752952000000002
55,8201.572577238083,1.7752952000000002
56,8290.042224884033,1.7752952000000002
57,8389.759596347809,1.7752952000000002
58,8463.754917144775,1.7752952000000002
59,8561.292339324951,1.7752952000000002
60,8764.06782078743,1.7752952000000002
61,8963.45342373848,1.7752952000000002
62,9176.224610328674,1.7752952000000002
63,9460.851537704468,1.7752952000000002
64,9855.068660736084,1.7752952000000002
65,10171.908850431442,1.7752952000000002
66,10375.872049808502,1.7752952000000002
67,10510.832112789154,1.7752952000000002
68,10640.46105146408,1.7752952000000002
69,10752.01528263092,1.7752952000000002
70,10925.31522679329,1.7752952000000002
71,11040.304335355759,1.7752952000000002
72,11197.407962083817,1.7752952000000002
73,11433.009792089462,1.7752952000000002
74,11800.038384199142,1.7752952000000002
75,12068.107922792435,1.7752952000000002
76,12272.490364313126,1.7752952000000002
77,12435.911081075668,1.7752952000000002
78,12594.598771810532,1.7752952000000002
79,12745.176885604858,1.7752952000000002
80,12873.340925693512,1.7752952000000002
81,13037.912241458893,1.7752952000000002
82,13172.417218923569,1.7752952000000002
83,13315.378896713257,1.7752952000000002
84,13382.474192380905,1.7752952000000002
85,13395.496745347977,1.7752952000000002
86,13439.614383459091,1.7752952000000002
87,13567.174140930176,1.7752952000000002
88,13705.444991588593,1.7752952000000002
89,13810.286054372787,1.7752952000000002
90,13959.277878284454,1.7752952000000002
91,14073.45216012001,1.7752952000000002
92,14202.857828140259,1.7752952000000002
93,14329.268716573715,1.7752952000000002
94,14455.473151683807,1.7752952000000002
95,14568.5082654953,1.7752952000000002
96,14718.351551294327,1.7752952000000002
97,14847.535645484924,1.7752952000000002
98,15081.139133691788,1.7752952000000002
99,15552.35146355629,1.7752952000000002
