Round,Relative Time (ms),Value
0,162.42374277114868,116.74103371999998
1,439.1087305545807,116.74103371999998
2,1077.934420824051,116.74103371999998
3,1555.61887216568,59.80090904000001
4,2094.7079741954803,21.20521602
5,2456.847640275955,17.945728860000003
6,2836.439239501953,13.9727561
7,3064.543565273285,8.12540332
8,3284.126988172531,8.12540332
9,3465.416815519333,8.12540332
10,3667.075025320053,8.12540332
11,3905.1830089092255,8.12540332
12,4121.712067604065,8.12540332
13,4351.055858135223,8.12540332
14,4648.708034753799,8.12540332
15,4888.906210422516,8.0153638
16,5227.362569332123,8.0153638
17,5396.66325211525,8.0153638
18,5550.055791854858,8.0153638
19,5765.134786367416,8.0153638
20,6046.908534526825,8.0153638
21,6257.180152177811,8.0153638
22,6473.169949293137,8.0153638
23,6725.990708112717,8.0153638
24,6953.317268610001,8.0153638
25,7533.924574136734,8.0153638
26,7661.305983066559,6.81431806
27,7925.561314344406,6.81431806
28,8242.688225746155,6.81431806
29,8447.428885221481,6.81431806
30,8633.370840072632,6.81431806
31,8786.408748626709,6.652229219999999
32,8924.176310539246,6.652229219999999
33,9048.142706155777,6.43187236
34,9199.05737733841,6.43187236
35,9388.392864227295,6.43187236
36,9604.812497138977,6.43187236
37,9791.436553001404,6.24626806
38,10091.86649107933,6.24626806
39,10331.245607614517,6.24626806
40,10609.09756064415,6.24626806
41,10893.069547653198,6.24626806
42,11267.410050868988,6.24626806
43,11559.04169344902,6.24626806
44,11859.77924823761,6.24626806
45,12253.058055877686,6.24626806
46,12514.2361702919,6.24626806
47,12804.645164966583,6.24626806
48,12871.358001708984,6.24626806
49,12979.127351522446,6.24626806
50,13262.3080804348,6.24626806
51,13604.928953647614,6.24626806
52,13965.085825681686,6.24626806
53,14203.654173612595,6.24626806
54,14680.925462007523,6.24626806
55,15297.519793510437,6.24626806
56,15880.672527313232,6.24626806
57,16357.044398546219,6.24626806
58,16813.44247317314,6.24626806
59,17275.542620897293,6.24626806
60,17741.433227062225,6.24626806
61,18087.67527103424,6.24626806
62,18351.851472377777,6.24626806
63,18939.60236120224,6.24626806
64,19693.656548261642,6.24626806
65,20625.44708633423,6.24626806
66,21415.155690670013,6.24626806
67,22269.948021411896,6.24626806
68,23121.39968085289,6.24626806
69,23684.463988542557,6.24626806
70,24303.373401641846,6.24626806
71,24942.10163450241,6.24626806
72,25365.447304964066,6.24626806
73,25738.665461063385,6.24626806
74,25982.02551174164,6.24626806
75,26314.086101293564,6.24626806
76,26911.338407993317,6.24626806
77,27666.002503156662,6.24626806
78,28418.743205308914,6.24626806
79,28736.586666584015,6.24626806
80,29063.743066072464,6.24626806
81,29270.38154911995,6.24626806
82,29447.52464389801,6.24626806
83,29628.123354434967,6.24626806
84,29818.25096130371,6.24626806
85,30009.793115615845,6.24626806
86,30138.40060901642,6.24626806
87,30271.511961460114,6.24626806
88,30643.899785995483,6.24626806
89,31054.164489984512,6.24626806
90,31686.961180210114,6.24626806
91,32424.629692316055,6.24626806
92,33309.216916799545,6.24626806
93,34408.82913827896,6.24626806
94,35597.17615842819,6.24626806
95,36854.43678188324,6.24626806
96,37476.98381304741,6.24626806
97,38402.02559709549,6.24626806
98,38929.543543338776,6.24626806
99,39693.174733400345,6.24626806
