Round,Relative Time (ms),Value
0,30.33755660057068,156.41594
1,117.38579797744751,103.165837
2,193.56768989562988,84.871905
3,270.1389899253845,8.88912662
4,343.73304986953735,2.2708288
5,412.7974286079407,2.21132044
6,498.41473031044006,2.21132044
7,571.503940820694,2.21132044
8,638.7298829555511,2.16289828
9,713.4407823085785,2.11065564
10,784.7256007194519,1.9648633399999997
11,846.6528806686401,1.9566779599999997
12,904.3286833763123,1.9566779599999997
13,978.9433135986328,1.94684718
14,1046.7230868339539,1.9068730599999997
15,1112.6563069820404,1.9047517999999999
16,1167.2371847629547,1.9047517999999999
17,1231.0016746520996,1.89963454
18,1297.1679933071136,1.89963454
19,1367.8395264148712,1.89963454
20,1434.9182877540588,1.89963454
21,1495.9244565963745,1.89963454
22,1571.30455493927,1.89963454
23,1627.8911776542664,1.89963454
24,1678.9329075813293,1.89963454
25,1755.865734577179,1.89963454
26,1827.405298948288,1.89963454
27,1892.6402373313904,1.89963454
28,1981.8222270011902,1.89963454
29,2073.8155710697174,1.89963454
30,2161.785935163498,1.89963454
31,2256.724376678467,1.89963454
32,2348.3894901275635,1.89963454
33,2445.3895864486694,1.89963454
34,2549.848266839981,1.89963454
35,2645.616681575775,1.89963454
36,2742.958063840866,1.89963454
37,2828.462119102478,1.89963454
38,2887.260691165924,1.89963454
39,2983.7886786460876,1.89963454
40,3055.1187105178833,1.89963454
41,3137.911721944809,1.89963454
42,3210.6886806488037,1.89963454
43,3291.180822610855,1.89963454
44,3366.706672668457,1.89963454
45,3454.109570980072,1.89963454
46,3539.2608041763306,1.89963454
47,3630.942356109619,1.89963454
48,3688.7580778598785,1.89963454
49,3736.737227201462,1.89963454
50,3814.0014135837555,1.89963454
51,3912.430547475815,1.89963454
52,4008.8967719078064,1.89963454
53,4089.8171751499176,1.89963454
54,4161.564168930054,1.89963454
55,4262.479863882065,1.89963454
56,4345.515528202057,1.89963454
57,4428.4357697963715,1.89963454
58,4521.476240873337,1.89963454
59,4590.235702753067,1.89963454
60,4651.604510545731,1.89963454
61,4745.526180267334,1.89963454
62,4850.46820640564,1.89963454
63,4957.61233496666,1.89963454
64,5047.105016708374,1.89963454
65,5139.428359508514,1.89963454
66,5233.394549846649,1.89963454
67,5324.429146766663,1.89963454
68,5413.384245157242,1.89963454
69,5499.886511087418,1.89963454
70,5551.039086341858,1.89963454
71,5645.582828998566,1.89963454
72,5737.0406947135925,1.89963454
73,5812.330208778381,1.89963454
74,5891.190382003784,1.89963454
75,5992.418934106827,1.89963454
76,6107.763216018677,1.89963454
77,6201.868692159653,1.89963454
78,6290.3642563819885,1.89963454
79,6357.105001211166,1.89963454
80,6436.407864570618,1.89963454
81,6483.207619428635,1.89963454
82,6590.802479028702,1.89963454
83,6661.1894681453705,1.89963454
84,6723.344017028809,1.89963454
85,6775.675381660461,1.89963454
86,6875.517899751663,1.89963454
87,6969.962439537048,1.89963454
88,7078.29823756218,1.89963454
89,7193.7086622715,1.89963454
90,7273.540150403976,1.89963454
91,7347.244233846664,1.89963454
92,7379.889290571213,1.89963454
93,7445.945279121399,1.89963454
94,7516.779260396957,1.89963454
95,7579.245661973953,1.89963454
96,7654.00506567955,1.89963454
97,7730.586515665054,1.89963454
98,7836.238394975662,1.89963454
99,7944.679505825043,1.89963454
