Round,Relative Time (ms),Value
0,64.30387878417969,43.8026642
1,148.13400411605835,28.846298419999997
2,283.56141686439514,3.292725
3,490.6087203025818,3.26673438
4,662.5116803646088,3.0859880200000003
5,838.4214026927948,3.0859880200000003
6,970.6999087333679,3.0859880200000003
7,1098.9563670158386,3.0859880200000003
8,1223.9541096687317,3.0859880200000003
9,1337.0553314685822,3.0859880200000003
10,1443.5086991786957,3.0859880200000003
11,1556.0128161907196,3.0859880200000003
12,1665.208342075348,3.0859880200000003
13,1788.906531572342,3.0859880200000003
14,1896.4181597232819,3.0859880200000003
15,2036.73553109169,3.0859880200000003
16,2258.0811791419983,3.0859880200000003
17,2409.859463453293,3.0859880200000003
18,2528.6758840084076,3.0859880200000003
19,2625.630720615387,3.0464645999999997
20,2720.711993455887,2.99965652
21,2821.377604007721,2.95408608
22,2896.5928530693054,2.9376701400000003
23,2987.535843372345,1.5078196
24,3054.8561022281647,1.5078196
25,3132.8452854156494,1.5078196
26,3211.452440261841,1.5078196
27,3289.727087020874,1.5078196
28,3348.8005068302155,1.5078196
29,3423.32209277153,1.5078196
30,3492.1214900016785,1.5078196
31,3563.061600923538,1.38674964
32,3634.151767730713,1.38674964
33,3717.980717420578,1.20073196
34,3783.0472271442413,1.1938579
35,3865.736018896103,1.1426171799999998
36,3959.8347129821777,1.1426171799999998
37,4027.7880325317383,1.1333349
38,4140.981402397156,1.1287399999999999
39,4222.086518287659,1.1287399999999999
40,4318.289491653442,1.1287399999999999
41,4452.830186367035,1.1287399999999999
42,4590.145577669144,1.1287399999999999
43,4717.167443990707,1.11139688
44,4822.710445642471,1.1007674399999998
45,4934.940924406052,1.1007674399999998
46,5084.863400936127,1.09433424
47,5177.49303817749,1.09433424
48,5278.7882125377655,1.09433424
49,5458.868967294693,1.09433424
50,5606.277290344238,1.09433424
51,5726.869034528732,1.09433424
52,5830.573092460632,1.09433424
53,5923.329974651337,1.09433424
54,6001.073477506638,1.09433424
55,6086.489796876907,1.09433424
56,6170.3540778160095,1.09433424
57,6270.162445306778,1.09433424
58,6411.114036798477,1.09433424
59,6560.979328155518,1.09433424
60,6667.797020435333,1.09433424
61,6766.852070808411,1.09433424
62,6858.056017637253,1.09433424
63,6954.15518951416,1.09433424
64,7054.725181102753,1.09433424
65,7198.1158747673035,1.09433424
66,7337.837955236435,1.09433424
67,7493.478677034378,1.09433424
68,7579.500183105469,1.09433424
69,7742.836463928223,1.09433424
70,7977.35409283638,1.09433424
71,8107.642849445343,1.09433424
72,8207.962536334991,1.09433424
73,8318.550481796265,1.09433424
74,8409.276364803314,1.09433424
75,8487.441151857376,1.09433424
76,8556.805487155914,1.09433424
77,8619.07966041565,1.09433424
78,8676.219367980957,1.09433424
79,8748.980415344238,1.09433424
80,8836.382912635803,1.09433424
81,8918.854054450989,1.09433424
82,9032.346568584442,1.09433424
83,9121.61027431488,1.09433424
84,9170.153670549393,1.09433424
85,9226.325326681137,1.09433424
86,9277.31497168541,1.09433424
87,9325.851186990738,1.09433424
88,9396.843470573425,1.09433424
89,9462.358618974686,1.09433424
90,9546.414857387543,1.09433424
91,9592.605587005615,1.09433424
92,9689.755489587784,1.09433424
93,9793.659122228622,1.09433424
94,9941.12661600113,1.09433424
95,10122.849606990814,1.09433424
96,10271.49922156334,1.09433424
97,10402.383430480957,1.09433424
98,10555.490597009659,1.09433424
99,10691.913688659668,1.09433424
