Round,Relative Time (ms),Value
0,106.3623673915863,46.6330209
1,226.57661485671997,28.36969466
2,458.6324083805084,26.37902288
3,845.6917724609375,23.013030059999995
4,1382.039808511734,23.013030059999995
5,1931.382248878479,18.56475824
6,2473.192839860916,17.672494439999998
7,3139.9335696697235,16.96015924
8,3838.303400039673,16.292699119999998
9,4355.696817159653,15.362145439999999
10,4939.581073522568,15.07286672
11,5472.898999214172,13.3689141
12,5978.348443984985,13.3689141
13,6453.751449346542,13.3689141
14,6982.528689622879,12.25791812
15,7515.173615455627,11.829516100000001
16,8078.2179918289185,11.047033260000001
17,8685.643424510956,10.9268782
18,9194.82352900505,10.84768182
19,9705.393036842346,10.84768182
20,10186.69578242302,10.84768182
21,10685.876036167145,10.84768182
22,11228.041647911072,10.84768182
23,11648.98340678215,10.84768182
24,12275.322659015656,10.84768182
25,12862.57044672966,10.7200036
26,13445.644644021988,10.536733319999998
27,14062.049573659897,10.536733319999998
28,14584.403054475784,10.52995044
29,15239.512171983719,10.415176199999998
30,15801.979714393616,10.415176199999998
31,16545.753182411194,10.415176199999998
32,17241.84774851799,10.415176199999998
33,17805.310257196426,10.415176199999998
34,18465.78611254692,10.415176199999998
35,19077.979315042496,10.415176199999998
36,19700.863329410553,10.415176199999998
37,20406.5303337574,10.415176199999998
38,21094.865035057068,10.26709186
39,21890.371003866196,10.2086498
40,22591.093521118164,10.2086498
41,23332.062299966812,10.2086498
42,23933.81276512146,10.2086498
43,24602.72771501541,10.2086498
44,25241.996045827866,10.2086498
45,25835.90100646019,10.2086498
46,26211.12433576584,10.2086498
47,26784.08372426033,10.2086498
48,27249.801421880722,10.2086498
49,27430.24872136116,10.2086498
50,27745.61362695694,10.2086498
51,28025.36332845688,10.2086498
52,28281.04943370819,10.2086498
53,28602.202875614166,10.2086498
54,29099.626268863678,10.2086498
55,29478.235192537308,10.2086498
56,29852.64884352684,10.2086498
57,30187.325683116913,10.2086498
58,30481.100942373276,10.2086498
59,30747.937232732773,4.87579266
60,31159.700618505478,4.87579266
61,31601.027339935303,4.87579266
62,32024.513031482697,4.80958282
63,32344.94290471077,4.80958282
64,32836.700669527054,4.80958282
65,33189.35148739815,4.30382502
66,33741.92289543152,4.284570759999999
67,34291.30368709564,4.284570759999999
68,34782.14124202728,4.284570759999999
69,35313.38497161865,4.086846019999999
70,35756.47358107567,4.086846019999999
71,36188.390889406204,3.8751420000000003
72,36588.36373734474,3.8751420000000003
73,37018.173642873764,3.8751420000000003
74,37612.50397491455,3.8751420000000003
75,38125.16656041145,3.8611681399999997
76,38554.664066553116,3.8611681399999997
77,38905.678539037704,3.8611681399999997
78,39110.14437651634,3.86021886
79,39558.97368597984,3.8139100000000004
80,40065.679550886154,3.8139100000000004
81,40449.22863936424,3.8139100000000004
82,40915.41230010986,3.8139100000000004
83,41388.15611028671,3.8139100000000004
84,41588.252482652664,3.8139100000000004
85,41912.45880508423,3.8139100000000004
86,42410.759221076965,3.8139100000000004
87,42898.69277691841,3.8139100000000004
88,43303.274070739746,3.77341434
89,43743.05382657051,3.77341434
90,44271.03548192978,3.77341434
91,44535.34100985527,3.77341434
92,44727.39132523537,3.77341434
93,45156.555466890335,3.77341434
94,45733.31959056854,3.77341434
95,46146.75448846817,3.77341434
96,46427.968784570694,3.77341434
97,46909.88980126381,3.77341434
98,47141.53197789192,3.77341434
99,47311.143332242966,3.77341434
