Round,Relative Time (ms),Value
0,30.864024877548218,165.991314
1,199.3110477924347,164.006698
2,354.37821769714355,164.006698
3,581.429172039032,164.006698
4,816.6295740604401,15.4830603
5,1177.428721189499,14.360619380000001
6,1500.039361000061,14.360619380000001
7,1857.7608487606049,14.360619380000001
8,2060.5640478134155,14.360619380000001
9,2359.248297691345,14.360619380000001
10,2614.02694606781,14.360619380000001
11,2968.952173233032,12.85428998
12,3292.479320526123,12.85428998
13,3668.1315762996674,12.85428998
14,3958.766396522522,12.82616356
15,4365.870171070099,8.43050056
16,4660.390753984451,4.90257344
17,4967.2738699913025,4.90257344
18,5265.668443441391,4.90257344
19,5573.232009887695,4.90257344
20,5917.267028331757,4.90257344
21,6167.732821941376,4.90257344
22,6492.626996040344,4.90257344
23,6743.308751106262,4.90257344
24,7027.59157705307,4.90257344
25,7245.624052524567,4.90257344
26,7335.007776498795,4.90257344
27,7399.783949613571,4.90257344
28,7512.819336175919,4.90257344
29,7612.492813110352,4.90257344
30,7719.770947217941,4.90257344
31,7808.830806255341,4.90257344
32,7884.970686674118,4.90257344
33,7950.255777597427,4.90257344
34,8013.489702939987,4.90257344
35,8107.095678329468,4.90257344
36,8190.437732934952,4.90257344
37,8272.655841827393,4.90257344
38,8427.457577943802,4.90257344
39,8588.488066196442,4.90257344
40,8824.576750993729,4.90257344
41,9139.82442188263,4.90257344
42,9554.024656534195,4.90257344
43,9943.579332590103,4.90257344
44,10439.148136138916,4.90257344
45,10811.529116868973,4.90257344
46,11163.880203723907,4.90257344
47,11444.403677940369,4.90257344
48,11549.03357553482,4.90257344
49,11680.574759960175,4.90257344
50,11771.427638530731,4.90257344
51,11879.70056962967,4.90257344
52,11967.249740839005,4.90257344
53,12097.889995098114,4.90257344
54,12229.988472223282,4.90257344
55,12388.297410964966,4.90257344
56,12562.228714227676,4.90257344
57,12630.120425224304,4.90257344
58,12732.950940847397,4.90257344
59,12937.232329130173,4.90257344
60,13135.066692590714,4.90257344
61,13502.176100969315,4.90257344
62,13924.140140295029,4.90257344
63,14331.503917455673,4.90257344
64,14770.73807311058,4.90257344
65,15127.15913271904,4.90257344
66,15381.262993812561,4.90257344
67,15562.860121965408,4.90257344
68,15740.900380134583,4.90257344
69,15827.407750606537,4.90257344
70,16025.314857959747,4.90257344
71,16200.34812116623,4.90257344
72,16480.68980407715,4.90257344
73,16866.8960750103,4.90257344
74,17166.97340297699,4.90257344
75,17449.451954364777,4.90257344
76,17769.357204198837,4.90257344
77,18028.967945814133,4.90257344
78,18233.159165620804,4.90257344
79,18412.472257375717,4.90257344
80,18494.829001903534,4.90257344
81,18625.677117347717,4.90257344
82,18801.79283261299,4.90257344
83,19021.558147192,4.90257344
84,19278.820067882538,4.90257344
85,19604.54959344864,4.90257344
86,19895.004061937332,4.90257344
87,20204.178885936737,4.90257344
88,20515.964603185654,4.90257344
89,20852.17204785347,4.90257344
90,21152.67994952202,4.90257344
91,21236.226150035858,4.90257344
92,21366.201085329056,4.90257344
93,21456.155861616135,4.90257344
94,21539.79077219963,4.90257344
95,21630.9053606987,4.90257344
96,21736.99946832657,4.90257344
97,21829.727734327316,4.90257344
98,21924.599622488022,4.90257344
99,22024.37483215332,4.90257344
