Round,Relative Time (ms),Value
0,120.04077410697937,124.21580173999999
1,441.9247679710388,68.17046038000001
2,1518.6969380378723,55.654393039999995
3,2680.2462849617004,55.654393039999995
4,3687.2461042404175,52.34035826
5,4502.413352966309,47.39500588
6,5258.818340539932,47.39500588
7,6036.906465053558,36.064217019999994
8,7011.7635271549225,36.064217019999994
9,7836.207009792328,36.064217019999994
10,8747.215765237808,34.8031794
11,9498.725407123566,31.20794476
12,10280.724691390991,30.615114159999997
13,11073.618552207947,30.510114180000002
14,11689.877802610397,29.33438732
15,12310.95839214325,27.6200695
16,12896.445864915848,27.6200695
17,13550.432322978973,27.2482095
18,14231.690124988556,27.2482095
19,14856.291427612305,27.2482095
20,15600.072942256927,27.2482095
21,16314.328562736511,14.256167199999998
22,17187.168632745743,12.38579968
23,17779.67940378189,12.38579968
24,18202.92820096016,12.38579968
25,18348.59061384201,12.38579968
26,18520.14123749733,11.956411739999998
27,18699.904212236404,7.634068199999999
28,18855.310354232788,7.634068199999999
29,19066.95696592331,6.82544616
30,19241.27931857109,6.82544616
31,19459.743145942688,6.20941926
32,19802.91758275032,6.037784760000001
33,20213.87332868576,6.037784760000001
34,20744.696349143982,6.037784760000001
35,21327.72758126259,6.00204728
36,22001.564782619476,5.994436
37,22518.70819568634,5.994436
38,23073.216228723526,5.994436
39,23643.05270576477,5.994436
40,24157.731177806854,5.994436
41,24764.304212331772,5.994436
42,25444.180266857147,5.994436
43,26126.492504119873,5.994436
44,26695.600214481354,5.994436
45,27303.4151198864,5.994436
46,27656.74298644066,5.994436
47,27810.142575740814,5.994436
48,28598.245710849762,5.994436
49,29579.002737045288,5.994436
50,31081.489181518555,5.994436
51,32561.480076551437,5.994436
52,33939.228044986725,5.994436
53,35392.074306726456,5.994436
54,36696.1032474041,5.994436
55,38205.62222504616,5.994436
56,39754.504762649536,5.994436
57,40074.897277116776,5.994436
58,40847.741387844086,5.994436
59,41812.96463918686,5.994436
60,42637.122660160065,5.994436
61,43629.863105773926,5.994436
62,44275.843110084534,5.994436
63,45132.56981110573,5.994436
64,46075.27384352684,5.994436
65,46678.39317083359,5.994436
66,47122.24447631836,5.994436
67,47909.34067320824,5.994436
68,48107.670192956924,5.994436
69,48222.87891125679,5.994436
70,48529.308319330215,5.994436
71,48779.282866477966,5.994436
72,49145.33914923668,5.994436
73,49513.97017502785,5.994436
74,49978.1038172245,5.994436
75,50422.897668123245,5.994436
76,50732.83132767677,5.994436
77,51005.955552339554,5.994436
78,51267.27016568184,5.994436
79,51495.16692304611,5.994436
80,51772.72874379158,5.994436
81,51913.493916511536,5.994436
82,52158.77274465561,5.994436
83,52456.61033296585,5.994436
84,52953.54321336746,5.994436
85,53550.57025361061,5.994436
86,54159.58298707008,5.994436
87,54625.89321279526,5.994436
88,55051.867812633514,5.994436
89,55359.530727148056,5.994436
90,55651.064745903015,5.994436
91,56192.28412485123,5.994436
92,56379.756077528,5.23963758
93,56720.480008125305,4.83839284
94,57060.17692017555,4.5299868199999995
95,57689.514110565186,4.52485184
96,57983.23748779297,4.4711543
97,58528.2624771595,4.4711543
98,58944.26728820801,4.4711543
99,59412.02414059639,4.4711543
