Round,Relative Time (ms),Value
0,185.468923330307,86.76881582
1,487.74411725997925,86.76881582
2,936.144257068634,76.07310924000001
3,2008.1561443805695,63.66293512
4,2962.1495888233185,16.73995054
5,4073.775500059128,16.73995054
6,4840.095291137695,16.73995054
7,5458.074840545654,14.162586159999998
8,6006.72155380249,13.903046380000001
9,6452.987681150436,11.61535436
10,7033.3612196445465,11.25890154
11,7615.789375305176,11.173448220000001
12,8120.609825134277,11.173448220000001
13,8548.375938177109,10.9660592
14,9127.440866231918,10.768220159999998
15,9701.91677236557,10.636962059999998
16,10363.061028718948,10.62684934
17,11033.82729935646,10.62684934
18,11604.416962862015,10.62684934
19,12297.744524002075,10.62684934
20,13003.39219045639,10.62684934
21,13787.1575319767,10.62684934
22,14327.891022205353,10.62684934
23,14970.50971865654,10.62684934
24,15708.519660711288,10.62684934
25,16507.351152658463,10.62684934
26,16778.12681698799,10.62684934
27,17764.606199264526,10.62684934
28,18475.62930202484,10.62684934
29,19832.57666349411,10.62684934
30,21055.500195980072,10.62684934
31,23100.21020913124,10.62684934
32,24747.68252849579,10.62684934
33,26187.791893720627,10.62684934
34,27464.452523708344,10.62684934
35,28626.521646022797,10.62684934
36,29518.039373636246,10.62684934
37,29880.53931427002,10.62684934
38,30644.13598060608,10.62684934
39,31751.666865348816,10.62684934
40,32939.40906596184,10.62684934
41,34689.94195270538,10.62684934
42,35958.19426488876,10.62684934
43,37656.81798911095,10.62684934
44,39687.527695417404,10.62684934
45,41325.088279247284,10.62684934
46,42869.1168217659,10.62684934
47,44520.98402476311,10.62684934
48,44997.15262031555,10.62684934
49,45326.57937669754,10.62684934
50,46197.34972548485,10.62684934
51,47714.39115047455,10.62684934
52,49477.69249463081,10.62684934
53,50449.067996263504,10.62684934
54,50897.29748415947,10.62684934
55,51410.942648649216,10.62684934
56,51877.84515929222,10.62684934
57,52276.84463882446,10.62684934
58,52693.01553750038,10.62684934
59,53270.88978743553,10.62684934
60,53671.358968019485,10.62684934
61,54126.25024223328,10.62684934
62,54570.50546622276,10.62684934
63,54980.98525214195,10.62684934
64,55448.011850357056,10.62684934
65,55909.37966799736,10.62684934
66,56343.18689274788,10.62684934
67,56707.71024250984,10.62684934
68,57107.66488862038,10.62684934
69,57518.41322493553,10.62684934
70,57987.00243258476,10.62684934
71,58387.447789907455,10.62684934
72,58809.61036682129,10.62684934
73,59196.627975940704,10.62684934
74,59587.12051486969,10.62684934
75,59988.92193698883,10.62684934
76,60454.1409945488,10.62684934
77,60977.46750187874,10.62684934
78,61585.38469219208,10.62684934
79,62094.19446873665,10.62684934
80,62595.73333525658,10.62684934
81,63072.898297548294,10.62684934
82,63558.64972829819,10.62684934
83,64018.97099900246,10.62684934
84,64559.88010787964,10.62684934
85,64995.17980051041,10.62684934
86,65481.788484573364,10.62684934
87,65945.61342072487,10.62684934
88,66422.00978684425,10.62684934
89,66992.84192800522,10.62684934
90,67608.51207089424,10.62684934
91,68124.02516579628,10.62684934
92,68581.09072446823,10.62684934
93,68921.43545126915,10.62684934
94,69309.93613290787,10.62684934
95,69704.50047516823,10.62684934
96,70075.06493139267,10.62684934
97,70390.13054466248,10.62684934
98,70766.35292959213,10.62684934
99,71208.49723172188,10.62684934
