Round,Relative Time (ms),Value
0,8.927869319915771,7.59237112
1,28.528614044189453,7.563421
2,55.221983432769775,7.082529440000001
3,122.91816687583923,7.0699036400000015
4,224.32905888557434,6.9695383
5,307.61459016799927,6.784688
6,411.1812539100647,6.71355032
7,506.0740661621094,6.4742034
8,600.3199450969696,6.26925256
9,681.0311782360077,6.20453306
10,770.896645784378,6.20453306
11,850.0819852352142,6.13821914
12,922.6651384830475,6.13821914
13,997.8804125785828,6.13821914
14,1075.3118541240692,6.13821914
15,1156.5531995296478,6.114066620000001
16,1238.59028506279,6.114066620000001
17,1313.4858968257904,6.114066620000001
18,1406.9099881649017,6.069035419999999
19,1497.0644793510437,6.069035419999999
20,1584.6776685714722,6.069035419999999
21,1671.654818058014,6.069035419999999
22,1763.0164773464203,6.069035419999999
23,1840.9824743270874,6.069035419999999
24,1922.0650095939636,6.069035419999999
25,2012.576890707016,6.069035419999999
26,2106.0358197689056,6.069035419999999
27,2197.083540916443,6.069035419999999
28,2276.141678571701,6.069035419999999
29,2352.4660472869873,6.069035419999999
30,2450.9125020504,6.06882672
31,2537.5375311374664,6.06882672
32,2623.630928993225,6.06882672
33,2708.2165944576263,6.06882672
34,2797.113096475601,6.06882672
35,2891.7848715782166,6.06882672
36,2992.41991519928,6.06882672
37,3096.4072983264923,6.06882672
38,3187.2221732139587,6.06882672
39,3267.073370695114,6.06882672
40,3360.0658190250397,6.06882672
41,3441.1044657230377,6.06882672
42,3519.7895455360413,6.06882672
43,3608.1892280578613,6.06882672
44,3687.922045946121,6.06882672
45,3813.7373900413513,6.06882672
46,3822.818350791931,6.06882672
47,3836.171227455139,6.06882672
48,3854.3231616020203,6.06882672
49,3903.7530374526978,6.06882672
50,4009.076462984085,6.06882672
51,4156.179160118103,6.06882672
52,4271.378180265427,6.06882672
53,4378.691231012344,6.06882672
54,4502.644833564758,6.06882672
55,4605.631914615631,6.06882672
56,4714.039127111435,6.06882672
57,4827.647513866425,6.06882672
58,4944.426801919937,6.06882672
59,5055.166255712509,6.06882672
60,5148.236190080643,6.06882672
61,5250.91924405098,6.06882672
62,5362.818322896957,6.06882672
63,5461.1321630477905,6.06882672
64,5581.4629027843475,6.06882672
65,5697.095602750778,6.06882672
66,5812.21238899231,6.06882672
67,5904.409572124481,6.06882672
68,5991.158600568771,6.06882672
69,6114.129298448563,6.06882672
70,6210.421657085419,6.06882672
71,6331.158871412277,6.06882672
72,6426.352984905243,6.06882672
73,6547.3100390434265,6.06882672
74,6682.393303632736,6.06882672
75,6808.936903953552,6.06882672
76,6913.615040540695,6.06882672
77,7026.190280675888,6.06882672
78,7132.645245790482,6.06882672
79,7265.478244066238,6.06882672
80,7397.485352516174,6.06882672
81,7513.727120876312,6.06882672
82,7624.057212114334,6.06882672
83,7742.549388885498,6.06882672
84,7846.979767560959,6.06882672
85,7950.561257600784,6.06882672
86,8052.850661754608,6.06882672
87,8148.023452281952,6.06882672
88,8243.791066169739,6.06882672
89,8328.60455274582,6.06882672
90,8431.922294139862,6.06882672
91,8531.882724761963,6.06882672
92,8623.665071964264,6.06882672
93,8717.612023591995,6.06882672
94,8801.517333745956,6.06882672
95,8886.280663728714,6.06882672
96,8977.601831436157,6.06882672
97,9055.580087900162,6.06882672
98,9141.565916061401,6.06882672
99,9214.36715221405,6.06882672
