Round,Relative Time (ms),Value
0,6.0836122035980225,11.971946
1,13.300919532775879,11.971946
2,18.641876459121704,8.458196
3,23.62136960029602,3.25176194
4,27.436602115631104,3.25176194
5,34.48663592338562,2.62583462
6,41.59933280944824,2.62583462
7,51.60272192955017,1.14724274
8,55.1076500415802,0.89864576
9,60.998804569244385,0.89864576
10,65.12603640556335,0.89864576
11,68.89392924308777,0.89864576
12,72.95222115516663,0.89864576
13,81.1570839881897,0.89864576
14,85.6962320804596,0.89864576
15,90.9550986289978,0.89864576
16,97.55226540565491,0.89864576
17,101.75266170501709,0.89864576
18,108.27699995040894,0.89864576
19,112.97218132019043,0.89864576
20,118.89543962478638,0.7615947200000001
21,125.25534057617188,0.7615947200000001
22,130.67789101600647,0.7615947200000001
23,134.5698299407959,0.7615947200000001
24,140.16425251960754,0.7615947200000001
25,146.79837489128113,0.7615947200000001
26,151.0434694290161,0.7615947200000001
27,158.5335521697998,0.7615947200000001
28,164.11827874183655,0.7615947200000001
29,166.79805088043213,0.7615947200000001
30,170.83775281906128,0.7615947200000001
31,187.58541679382324,0.7615947200000001
32,192.43373274803162,0.7615947200000001
33,195.68875765800476,0.7615947200000001
34,205.33112406730652,0.7615947200000001
35,210.24074602127075,0.7615947200000001
36,226.24032187461853,0.7615947200000001
37,233.3106517791748,0.7615947200000001
38,240.53560137748718,0.7615947200000001
39,245.18203854560852,0.7615947200000001
40,247.97214150428772,0.7615947200000001
41,251.48162460327148,0.7615947200000001
42,255.79515385627747,0.7615947200000001
43,260.9044735431671,0.7615947200000001
44,267.15543842315674,0.7615947200000001
45,272.1579728126526,0.7615947200000001
46,274.9594430923462,0.7615947200000001
47,278.9589171409607,0.7615947200000001
48,282.67004132270813,0.7615947200000001
49,287.44001150131226,0.7615947200000001
50,295.9823570251465,0.7615947200000001
51,298.76758766174316,0.7615947200000001
52,307.1819565296173,0.7615947200000001
53,311.67298579216003,0.7615947200000001
54,316.75893092155457,0.7615947200000001
55,323.6830201148987,0.7615947200000001
56,329.7745895385742,0.7615947200000001
57,334.6014013290405,0.7615947200000001
58,341.1537754535675,0.7615947200000001
59,358.60290575027466,0.7615947200000001
60,364.37623596191406,0.7615947200000001
61,368.31031346321106,0.7615947200000001
62,373.2778239250183,0.7615947200000001
63,382.25608372688293,0.7615947200000001
64,384.2019760608673,0.7615947200000001
65,388.53500175476074,0.7615947200000001
66,395.310662984848,0.7615947200000001
67,398.88127422332764,0.7615947200000001
68,404.3410987854004,0.7615947200000001
69,410.1746153831482,0.7615947200000001
70,417.66219830513,0.7615947200000001
71,422.5093333721161,0.7615947200000001
72,428.53495478630066,0.7615947200000001
73,436.18107175827026,0.7615947200000001
74,443.8872756958008,0.7615947200000001
75,450.4278380870819,0.7615947200000001
76,455.3201811313629,0.7615947200000001
77,463.7243666648865,0.7615947200000001
78,467.843722820282,0.7615947200000001
79,476.2712836265564,0.7615947200000001
80,483.1366751194,0.7615947200000001
81,487.39976835250854,0.7615947200000001
82,495.04593086242676,0.7615947200000001
83,507.56731724739075,0.7615947200000001
84,512.1374428272247,0.7615947200000001
85,519.2944955825806,0.7615947200000001
86,522.8436741828918,0.7615947200000001
87,527.2950828075409,0.7615947200000001
88,528.9644823074341,0.7615947200000001
89,536.5253365039825,0.7615947200000001
90,542.4426891803741,0.7615947200000001
91,546.6567404270172,0.7615947200000001
92,552.5709693431854,0.7615947200000001
93,558.6253533363342,0.7615947200000001
94,564.6894729137421,0.7615947200000001
95,571.146183013916,0.7615947200000001
96,574.3843355178833,0.7615947200000001
97,585.3749089241028,0.7615947200000001
98,588.9550998210907,0.7615947200000001
99,592.2785949707031,0.7615947200000001
