Round,Relative Time (ms),Value
0,21.782623052597046,19.694391
1,42.68572783470154,6.891342600000001
2,61.11325192451477,4.77690582
3,75.54446363449097,4.70543244
4,96.54788756370544,4.63847164
5,113.62304854393005,4.63847164
6,127.30945634841919,4.63847164
7,143.65394163131714,4.22708292
8,161.75591778755188,4.1084416599999996
9,175.33255004882812,4.1084416599999996
10,189.0971086025238,4.1084416599999996
11,206.50331592559814,4.1084416599999996
12,224.04387545585632,4.1084416599999996
13,241.26245999336243,3.89493258
14,257.2662000656128,3.89493258
15,271.51560854911804,3.89493258
16,294.17632961273193,3.89493258
17,310.1903266906738,3.89493258
18,326.7411289215088,3.89493258
19,326.75704073905945,3.89493258
20,326.9305934906006,3.89493258
21,339.082227230072,3.89493258
22,339.0846629142761,3.89493258
23,352.9017152786255,3.89493258
24,371.03052854537964,3.89493258
25,386.0528230667114,3.89493258
26,386.2901213169098,3.89493258
27,405.2218427658081,3.89493258
28,423.21386456489563,3.89493258
29,440.0364065170288,3.89493258
30,460.2907884120941,3.89493258
31,478.2523443698883,3.89493258
32,491.9960386753082,3.89493258
33,502.64861845970154,3.89493258
34,518.2321293354034,3.89493258
35,528.1057620048523,3.89493258
36,544.0235300064087,3.89493258
37,558.2291586399078,3.89493258
38,576.2187414169312,3.89493258
39,586.9903967380524,3.89493258
40,601.2969615459442,3.89493258
41,615.6912684440613,3.7655424600000003
42,626.9882137775421,3.7655424600000003
43,642.6942155361176,3.7655424600000003
44,658.0917177200317,3.7655424600000003
45,676.1664347648621,3.7655424600000003
46,676.2879204750061,3.7655424600000003
47,695.0710601806641,3.7655424600000003
48,711.3559081554413,3.7655424600000003
49,729.5422322750092,3.7655424600000003
50,745.3037505149841,3.7655424600000003
51,745.3160779476166,3.7655424600000003
52,759.9599123001099,3.7655424600000003
53,777.2888538837433,3.7655424600000003
54,793.112370967865,3.7655424600000003
55,811.493504524231,3.7655424600000003
56,823.1315407752991,3.7655424600000003
57,837.3143265247345,3.7655424600000003
58,848.890419960022,3.7655424600000003
59,848.8937058448792,3.7655424600000003
60,860.8216300010681,3.7655424600000003
61,880.9632415771484,3.7655424600000003
62,892.818555355072,3.7655424600000003
63,893.0111634731293,3.7655424600000003
64,910.9270071983337,3.7655424600000003
65,919.5336997509003,3.7655424600000003
66,935.8899466991425,3.7655424600000003
67,946.2463793754578,3.7655424600000003
68,960.7026100158691,3.7655424600000003
69,982.9813113212585,3.7655424600000003
70,983.2297427654266,3.7655424600000003
71,1000.1800127029419,3.7655424600000003
72,1017.323290348053,3.7655424600000003
73,1025.4760165214539,3.7655424600000003
74,1025.7476119995117,3.7655424600000003
75,1043.475076675415,3.7655424600000003
76,1060.7191693782806,3.7655424600000003
77,1074.5897221565247,3.7655424600000003
78,1087.0751342773438,3.7655424600000003
79,1097.7654688358307,3.7655424600000003
80,1098.2322063446045,3.7655424600000003
81,1113.0824139118195,3.7655424600000003
82,1126.8991150856018,3.7655424600000003
83,1126.902580499649,3.7655424600000003
84,1132.201861858368,3.7655424600000003
85,1149.4300327301025,3.7655424600000003
86,1169.8087890148163,3.7655424600000003
87,1184.1460700035095,3.7655424600000003
88,1202.530403137207,3.7655424600000003
89,1215.4392721652985,3.7655424600000003
90,1235.1514616012573,3.7268680600000006
91,1253.306941986084,3.7268680600000006
92,1253.318323135376,3.7268680600000006
93,1269.1380715370178,3.7268680600000006
94,1281.3492016792297,3.7268680600000006
95,1294.8829011917114,3.7268680600000006
96,1307.6220898628235,3.7268680600000006
97,1320.1562819480896,3.7268680600000006
98,1331.8700678348541,3.7268680600000006
99,1345.7335484027863,3.7268680600000006
100,1346.1221904754639,3.7268680600000006
101,1358.9542944431305,3.7268680600000006
102,1374.8099513053894,3.7268680600000006
103,1393.7296676635742,3.7268680600000006
104,1407.1993658542633,3.7268680600000006
105,1419.921704530716,3.7268680600000006
106,1433.6644260883331,3.7268680600000006
107,1433.913453578949,3.7268680600000006
108,1449.53582239151,3.7268680600000006
109,1463.0253465175629,3.7268680600000006
110,1475.027896642685,3.7268680600000006
111,1491.5828206539154,3.7268680600000006
112,1505.3384282588959,3.7268680600000006
113,1518.3419735431671,3.70658318
114,1536.3056058883667,3.70658318
115,1548.4481313228607,3.70658318
116,1548.9873571395874,3.70658318
117,1559.439190864563,3.70658318
118,1559.6947526931763,3.70658318
119,1570.0947630405426,3.70658318
120,1581.7634162902832,3.70658318
121,1602.2385511398315,3.70658318
122,1612.8731231689453,3.70658318
123,1628.892930984497,3.34598268
124,1646.4105696678162,3.34598268
125,1653.1147396564484,3.34598268
126,1665.4185416698456,3.34598268
127,1677.101563692093,3.34598268
128,1704.5020077228546,3.34598268
129,1717.6319806575775,3.34598268
130,1735.731323480606,3.34598268
131,1748.467437028885,3.34598268
132,1764.3589432239532,3.34598268
133,1783.7356996536255,3.34598268
134,1800.1800334453583,3.34598268
135,1812.5661206245422,3.34598268
136,1832.0360474586487,3.34598268
137,1844.253674507141,3.34598268
138,1856.7124664783478,3.34598268
139,1868.5105187892914,3.34598268
140,1876.694928407669,3.34598268
141,1888.3808727264404,3.34598268
142,1905.1402173042297,3.34598268
143,1918.1285984516144,3.34598268
144,1934.5408065319061,3.34598268
145,1947.2637841701508,3.34598268
146,1955.1397716999054,3.34598268
147,1967.9199464321136,3.34598268
148,1980.8409585952759,3.34598268
149,1994.9229061603546,3.34598268
150,2011.4937014579773,3.34598268
151,2025.1994907855988,3.34598268
152,2025.427949666977,3.34598268
153,2034.986204624176,3.34598268
154,2045.6546921730042,3.34598268
155,2057.6751968860626,3.34598268
156,2071.2922942638397,3.34598268
157,2083.1132555007935,3.34598268
158,2093.310570001602,3.34598268
159,2105.234619140625,3.34598268
160,2105.498820066452,3.34598268
161,2113.3197622299194,3.34598268
162,2113.8488035202026,3.34598268
163,2127.1017920970917,3.34598268
164,2127.355466365814,3.34598268
165,2141.3419601917267,3.34598268
166,2154.3143658638,3.34598268
167,2169.990347623825,3.34598268
168,2183.819708108902,3.34598268
169,2197.0115025043488,3.34598268
170,2212.0669252872467,3.34598268
171,2223.6773731708527,3.34598268
172,2232.4634277820587,3.34598268
173,2249.671849489212,3.34598268
174,2262.007940530777,3.34598268
175,2277.050436973572,3.34598268
176,2290.91503405571,3.34598268
177,2303.040279150009,3.34598268
178,2318.496865749359,3.34598268
179,2330.299600839615,3.34598268
180,2339.38369512558,3.34598268
181,2351.342060804367,3.34598268
182,2362.7754266262054,3.34598268
183,2373.0918991565704,3.34598268
184,2385.979969263077,3.34598268
185,2396.0286388397217,3.34598268
