Round,Relative Time (ms),Value
0,49.39120578765869,11.721100800000002
1,109.6933650970459,3.2311768599999997
2,160.09288692474365,1.48225042
3,215.67587614059448,1.48225042
4,262.0487983226776,1.25408696
5,303.92318987846375,1.2366716199999999
6,339.6380879878998,1.2366716199999999
7,375.9494163990021,1.2366716199999999
8,411.9659090042114,1.2366716199999999
9,447.08612632751465,1.2366716199999999
10,481.1808454990387,1.2366716199999999
11,515.6921973228455,1.1884782399999998
12,550.627537727356,1.1884782399999998
13,583.1718368530273,1.1408585599999999
14,619.5161068439484,1.1408585599999999
15,648.0072226524353,1.1408585599999999
16,682.3864195346832,1.13304246
17,715.8525307178497,1.13304246
18,750.3984842300415,1.13304246
19,784.1236371994019,1.13304246
20,809.1743125915527,1.13304246
21,844.3156542778015,1.13304246
22,877.2989799976349,1.13304246
23,902.3737571239471,1.13304246
24,931.648369550705,1.13304246
25,959.9420745372772,1.13304246
26,1017.7108418941498,1.13304246
27,1053.4741888046265,1.13304246
28,1100.1104383468628,1.13304246
29,1140.4363408088684,1.13304246
30,1176.7031919956207,1.13304246
31,1209.1114547252655,1.13304246
32,1241.0867817401886,1.13304246
33,1269.978256225586,1.13304246
34,1300.8934631347656,1.13304246
35,1329.2409942150116,1.13304246
36,1388.6961297988892,1.13304246
37,1415.7091252803802,1.13304246
38,1451.47585105896,1.13304246
39,1494.7882478237152,1.13304246
40,1531.180603504181,1.13304246
41,1565.748868227005,1.13304246
42,1599.9609298706055,1.13304246
43,1631.1812047958374,1.13304246
44,1665.6529688835144,1.09770306
45,1695.4470872879028,1.0575482399999998
46,1724.6370248794556,1.03900228
47,1754.683331489563,1.03802104
48,1790.8955159187317,1.03802104
49,1820.2555837631226,1.01440466
50,1850.4029533863068,1.01440466
51,1880.3457531929016,1.01383048
52,1908.320883512497,1.0062334
53,1934.5960824489594,1.0062334
54,1965.2405314445496,1.0062334
55,1997.8107810020447,1.0062334
56,2025.7691926956177,1.0062334
57,2055.750529527664,1.0062334
58,2084.54229593277,0.9996794000000001
59,2114.0767843723297,0.9996794000000001
60,2146.630145072937,0.9996794000000001
61,2181.491866827011,0.9996794000000001
62,2222.1861896514893,0.9996794000000001
63,2254.282068014145,0.9996794000000001
64,2288.836732149124,0.9996794000000001
65,2320.7224802970886,0.9996794000000001
66,2350.9851129055023,0.9983076599999999
67,2379.6941089630127,0.9983076599999999
68,2410.268866300583,0.9983076599999999
69,2443.3134610652924,0.9983076599999999
70,2474.0757660865784,0.9983076599999999
71,2501.1179962158203,0.9983076599999999
72,2535.8999359607697,0.9983076599999999
73,2562.405652999878,0.9983076599999999
74,2594.3965303897858,0.9983076599999999
75,2621.8051822185516,0.9983076599999999
76,2693.2493288517,0.9983076599999999
77,2737.492700099945,0.9983076599999999
78,2781.5854427814484,0.9983076599999999
79,2833.915408849716,0.9983076599999999
80,2898.015805721283,0.9983076599999999
81,2957.5602288246155,0.9983076599999999
82,3008.454698085785,0.9983076599999999
83,3070.4852464199066,0.9983076599999999
84,3125.3622930049896,0.9983076599999999
85,3177.4804923534393,0.9983076599999999
86,3226.6048831939697,0.9983076599999999
87,3280.7943601608276,0.9983076599999999
88,3323.253876686096,0.9983076599999999
89,3356.75213432312,0.9983076599999999
90,3393.826863050461,0.9983076599999999
91,3427.653317451477,0.9983076599999999
92,3463.9366772174835,0.9983076599999999
93,3510.7653090953827,0.9983076599999999
94,3559.318249464035,0.9983076599999999
95,3602.6994268894196,0.9983076599999999
96,3649.1968970298767,0.9983076599999999
97,3696.7723882198334,0.9983076599999999
98,3743.674161672592,0.9983076599999999
99,3793.3176476955414,0.9983076599999999
