Round,Relative Time (ms),Value
0,13.357860803604126,165.810043
1,58.30222702026367,94.753667
2,139.51983284950256,88.646499
3,199.4436583518982,75.676276
4,257.3251419067383,8.39489184
5,317.1902153491974,8.327775319999999
6,388.7085542678833,7.391269680000001
7,459.9517276287079,4.5024957599999995
8,532.9119784832001,4.43797118
9,596.442629814148,4.2605409000000005
10,665.3407683372498,4.2605409000000005
11,729.6865973472595,4.24094268
12,790.8280665874481,4.16479308
13,854.5876090526581,4.007458519999999
14,916.7810623645782,3.58870806
15,973.6569843292236,3.4318234999999997
16,1033.886307001114,3.4318234999999997
17,1094.8988602161407,3.4318234999999997
18,1164.21733212471,3.4318234999999997
19,1221.637493610382,3.4318234999999997
20,1283.0616114139557,3.4318234999999997
21,1344.901684999466,3.4318234999999997
22,1402.4876940250397,3.4318234999999997
23,1462.8758013248444,3.4318234999999997
24,1520.4957156181335,3.2450202200000002
25,1586.3987848758698,3.2450202200000002
26,1639.4483106136322,3.2450202200000002
27,1693.2158391475677,3.2450202200000002
28,1759.7475500106812,3.15266008
29,1826.0633594989777,3.15266008
30,1891.593956708908,3.15266008
31,1951.8606588840485,3.15266008
32,2010.584318637848,3.15266008
33,2074.6140491962433,3.15266008
34,2137.450054883957,3.15266008
35,2198.9769806861877,3.15266008
36,2264.8967571258545,3.15266008
37,2330.880982398987,3.15266008
38,2397.5346744060516,3.15266008
39,2459.3687138557434,3.15266008
40,2522.2585365772247,3.15266008
41,2587.0045313835144,3.15266008
42,2656.4827325344086,3.15266008
43,2711.4484667778015,3.15266008
44,2847.9250106811523,3.15266008
45,2937.8072566986084,3.15266008
46,3009.1463265419006,3.15266008
47,3067.042001247406,3.15266008
48,3129.070018053055,3.15266008
49,3186.945565700531,3.15266008
50,3255.826038122177,3.15266008
51,3312.273134469986,3.15266008
52,3379.1734733581543,3.15266008
53,3453.3577873706818,3.15266008
54,3526.512131690979,3.15266008
55,3590.0265271663666,3.15266008
56,3655.8452348709106,3.15266008
57,3718.129843235016,3.15266008
58,3785.5251450538635,3.15266008
59,3834.368534564972,3.15266008
60,3900.3413224220276,3.15266008
61,3980.879627227783,3.15266008
62,4052.9765963554382,3.15266008
63,4121.576354265213,3.15266008
64,4197.097047567368,3.15266008
65,4262.798578500748,3.15266008
66,4327.531639814377,3.15266008
67,4395.712736606598,3.15266008
68,4466.303306102753,3.15266008
69,4533.003281116486,3.15266008
70,4597.9854073524475,3.15266008
71,4667.525565862656,3.15266008
72,4730.981056213379,3.15266008
73,4797.066536426544,3.15266008
74,4858.930988788605,3.15266008
75,4922.301561594009,3.15266008
76,5011.355956077576,3.15266008
77,5090.331640720367,3.15266008
78,5153.265557527542,3.15266008
79,5215.540561676025,3.15266008
80,5274.774588108063,3.15266008
81,5332.305043458939,3.15266008
82,5393.917392015457,3.15266008
83,5448.956148147583,3.15266008
84,5511.536189556122,3.15266008
85,5561.289851903915,3.15266008
86,5608.687114715576,3.15266008
87,5655.755293130875,3.15266008
88,5702.379399061203,3.15266008
89,5754.934260845184,3.15266008
90,5800.561118841171,3.15266008
91,5858.370433092117,3.15266008
92,5924.177735328674,3.15266008
93,6011.00302362442,3.15266008
94,6077.563318490982,3.15266008
95,6145.143361568451,3.15266008
96,6208.589315652847,3.15266008
97,6275.656569719315,3.15266008
98,6348.108722925186,3.15266008
99,6426.337790966034,3.15266008
