Round,Relative Time (ms),Value
0,21.88520073890686,28.264964
1,62.705265045166016,22.654886
2,83.56368207931519,22.654886
3,97.89503192901611,22.654886
4,140.32805395126343,21.117631
5,155.79576802253723,21.117631
6,171.76359820365906,21.117631
7,192.547625541687,21.117631
8,207.55471062660217,21.117631
9,235.61324286460876,21.117631
10,250.84264707565308,21.117631
11,274.8107900619507,21.117631
12,285.3026933670044,20.859183
13,327.8958957195282,20.859183
14,351.0109136104584,20.859183
15,376.58566188812256,20.859183
16,430.5753161907196,5.35496996
17,450.11463379859924,5.35496996
18,472.1813371181488,4.0392355
19,485.2552807331085,4.0392355
20,517.9997117519379,4.0392355
21,536.3154702186584,4.0392355
22,554.1535243988037,4.0392355
23,568.6222410202026,4.0392355
24,587.5575144290924,4.0392355
25,600.6393811702728,4.0392355
26,618.7103109359741,4.0392355
27,638.3159317970276,4.0392355
28,687.8003690242767,4.0392355
29,706.4025256633759,4.0392355
30,729.6459646224976,4.0392355
31,754.3761923313141,4.0392355
32,769.3453691005707,4.0392355
33,798.5301659107208,4.0392355
34,815.901923418045,4.0392355
35,839.5694823265076,4.0392355
36,849.2549953460693,4.0392355
37,863.2945241928101,4.0392355
38,890.5825271606445,4.0392355
39,921.7510862350464,4.0392355
40,945.3573472499847,4.0392355
41,967.0470440387726,4.0392355
42,996.0109710693359,4.0392355
43,1016.248982667923,4.0392355
44,1084.2042498588562,4.0392355
45,1135.3469145298004,4.0392355
46,1240.8365280628204,4.0392355
47,1259.4622161388397,4.0392355
48,1280.9006233215332,4.0392355
49,1309.0714995861053,4.0392355
50,1331.708339214325,4.0392355
51,1344.9833903312683,4.0392355
52,1362.5349435806274,4.0392355
53,1398.559957742691,4.0392355
54,1412.344249010086,4.0392355
55,1439.8069138526917,4.0392355
56,1455.5839653015137,4.0392355
57,1472.0458376407623,4.0392355
58,1499.5955097675323,4.0392355
59,1512.3018369674683,4.0392355
60,1522.8352115154266,4.0392355
61,1539.9442930221558,4.0392355
62,1565.9810049533844,4.0392355
63,1589.2804672718048,4.0392355
64,1617.0515580177307,4.0392355
65,1626.1952421665192,4.0392355
66,1641.6823201179504,4.0392355
67,1652.061393737793,4.0392355
68,1670.259509563446,4.0392355
69,1687.362323999405,4.0392355
70,1708.9619255065918,4.0392355
71,1732.363355398178,4.0392355
72,1746.9286274909973,4.0392355
73,1774.9895732402802,4.0392355
74,1792.4262731075287,4.0392355
75,1810.6999073028564,3.25588286
76,1836.1657974720001,3.25588286
77,1855.1127316951752,3.25588286
78,1916.8594448566437,3.25588286
79,1934.8829481601715,3.25588286
80,1946.6336307525635,3.25588286
81,1964.6200687885284,3.25588286
82,1980.5463807582855,3.25588286
83,1998.6571910381317,3.25588286
84,2020.0113546848297,3.25588286
85,2047.2195942401886,3.25588286
86,2054.967585325241,3.25588286
87,2064.7436168193817,3.25588286
88,2082.952197790146,3.25588286
89,2114.4515159130096,3.25588286
90,2157.179792881012,3.25588286
91,2170.0931680202484,3.25588286
92,2185.783513069153,3.25588286
93,2222.0712270736694,3.25588286
94,2238.7123460769653,3.25588286
95,2264.0645105838776,3.25588286
96,2283.8744661808014,3.25588286
97,2321.7845137119293,3.25588286
98,2384.740321159363,3.25588286
99,2400.422794818878,3.25588286
