Round,Relative Time (ms),Value
0,28.476467609405518,6.23952454
1,56.91183042526245,5.345220899999999
2,87.71150803565979,5.345220899999999
3,114.94269371032715,5.345220899999999
4,141.9197392463684,5.345220899999999
5,169.54965090751648,5.345220899999999
6,198.74923276901245,5.345220899999999
7,226.69998598098755,5.345220899999999
8,256.2005703449249,5.345220899999999
9,282.2760877609253,5.345220899999999
10,304.2706410884857,5.345220899999999
11,323.2254331111908,5.345220899999999
12,348.6807839870453,5.345220899999999
13,374.6161901950836,5.345220899999999
14,395.2452425956726,5.345220899999999
15,418.42336773872375,5.345220899999999
16,447.64779925346375,5.345220899999999
17,452.98181772232056,5.345220899999999
18,468.75658655166626,5.345220899999999
19,497.69006609916687,5.345220899999999
20,520.7371513843536,5.345220899999999
21,540.7959144115448,5.345220899999999
22,561.6033220291138,5.345220899999999
23,587.1639726161957,5.345220899999999
24,607.424320936203,5.345220899999999
25,638.4041607379913,5.345220899999999
26,669.2591364383698,5.28854566
27,697.8929448127747,5.28854566
28,726.0874166488647,5.28854566
29,748.7349638938904,5.28854566
30,777.680906534195,5.28854566
31,782.7869815826416,5.28854566
32,799.6194291114807,5.28854566
33,817.3364479541779,5.28854566
34,844.5654983520508,5.28854566
35,870.2379493713379,5.28854566
36,898.2059733867645,5.28854566
37,922.177891254425,5.28854566
38,949.8884520530701,5.28854566
39,974.713095664978,5.28854566
40,998.5568499565125,5.28854566
41,1021.9570665359497,5.28854566
42,1051.1052839756012,5.28854566
43,1073.9170818328857,5.28854566
44,1094.0371897220612,5.28854566
45,1116.4352695941925,5.28854566
46,1144.404622077942,5.28854566
47,1168.803897857666,5.28854566
48,1174.3401844501495,5.28854566
49,1194.1957941055298,5.28854566
50,1219.1193132400513,5.28854566
51,1243.8926146030426,5.28854566
52,1250.02139210701,5.28854566
53,1269.0720188617706,5.28854566
54,1283.7474856376648,5.28854566
55,1291.315753698349,5.28854566
56,1315.836677789688,5.28854566
57,1343.9946982860565,5.28854566
58,1369.8109545707703,5.28854566
59,1395.0786259174347,5.28854566
60,1424.1931767463684,5.28854566
61,1448.6446185112,5.28854566
62,1466.6273329257965,5.28854566
63,1494.536696434021,5.28854566
64,1513.7172338962555,5.28854566
65,1530.6847763061523,5.28854566
66,1556.4922547340393,5.28854566
67,1561.089340209961,5.28854566
68,1566.5507245063782,5.28854566
69,1586.767165184021,5.28854566
70,1609.4878854751587,5.28854566
71,1632.2500936985016,5.28854566
72,1634.4932415485382,5.28854566
73,1664.3258216381073,5.28854566
74,1686.135598897934,5.28854566
75,1707.768077135086,5.28854566
76,1735.56240773201,5.28854566
77,1787.3741381168365,5.28854566
78,1809.5256514549255,5.28854566
79,1830.4897954463959,5.28854566
80,1855.619799375534,5.28854566
81,1880.0207879543304,5.28854566
82,1910.8969764709473,5.28854566
83,1914.0681819915771,5.28854566
84,1934.8374452590942,5.28854566
85,1967.8376324176788,5.28854566
86,1994.46542429924,5.28854566
87,2011.919668674469,5.28854566
88,2028.9722211360931,5.28854566
89,2049.617935657501,5.28854566
90,2065.1241476535797,5.28854566
91,2088.972379922867,5.28854566
92,2114.2232122421265,5.28854566
93,2137.7490572929382,5.28854566
94,2152.0980932712555,5.28854566
95,2171.050891637802,5.28854566
96,2200.213167667389,5.28854566
97,2222.9840993881226,5.28854566
98,2246.207585811615,5.28854566
99,2259.8001985549927,5.28854566
100,2280.3640291690826,5.28854566
101,2299.987625360489,5.28854566
102,2323.791074991226,5.28854566
103,2346.781657934189,5.28854566
104,2366.8437390327454,5.28854566
105,2394.106321334839,5.28854566
106,2413.815488576889,5.28854566
107,2438.296859264374,5.28854566
108,2463.2089240550995,5.28854566
109,2482.9922099113464,5.28854566
110,2499.060797929764,5.28854566
111,2518.451832294464,5.28854566
112,2526.1720921993256,5.28854566
113,2556.2638947963715,5.28854566
114,2566.6710634231567,5.28854566
115,2582.883712530136,5.28854566
116,2606.927585840225,5.28854566
117,2621.408012866974,5.28854566
118,2648.5305409431458,5.28854566
119,2663.756602525711,5.28854566
120,2686.390533208847,5.28854566
121,2698.1010415554047,5.28854566
122,2715.6151418685913,5.28854566
123,2739.5447895526886,5.28854566
124,2760.6136038303375,5.28854566
125,2764.967329978943,5.28854566
126,2784.3887388706207,5.28854566
