Round,Relative Time (ms),Value
0,12.816652297973633,1.322798
1,40.58866333961487,1.215716
2,67.3473539352417,0.732884
3,99.09418272972107,0.597488
4,127.01714825630188,0.597488
5,156.91803455352783,0.587569
6,182.82985925674438,0.559717
7,210.82060170173645,0.20043882
8,235.04378628730774,0.20043882
9,261.360239982605,0.20043882
10,289.6065139770508,0.20043882
11,316.0792078971863,0.20043882
12,338.44481658935547,0.20043882
13,362.91440176963806,0.20043882
14,389.5618829727173,0.161339
15,416.17150950431824,0.161339
16,441.6546001434326,0.161339
17,465.8659842014313,0.161339
18,490.66523265838623,0.161339
19,516.5143101215363,0.161339
20,538.7466504573822,0.161339
21,562.0952749252319,0.161339
22,586.3522369861603,0.161339
23,609.9694383144379,0.161339
24,643.6973865032196,0.161339
25,675.6713073253632,0.161339
26,705.4475374221802,0.161339
27,733.6705725193024,0.161339
28,755.327347278595,0.161339
29,780.4244284629822,0.161339
30,804.1658437252045,0.161339
31,829.1767406463623,0.161339
32,855.8297638893127,0.14008894
33,878.6093153953552,0.14008894
34,904.5287027359009,0.14008894
35,932.4808080196381,0.14008894
36,959.9696180820465,0.14008894
37,988.2547113895416,0.14008894
38,1016.2460052967072,0.14008894
39,1040.5049767494202,0.14008894
40,1066.0555045604706,0.14008894
41,1088.1971371173859,0.14008894
42,1117.3116228580475,0.14008894
43,1147.4454803466797,0.14008894
44,1174.9872274398804,0.14008894
45,1203.418410539627,0.14008894
46,1233.9480397701263,0.09587374
47,1260.3621425628662,0.09587374
48,1283.5381922721863,0.09587374
49,1307.4063363075256,0.09587374
50,1330.503871679306,0.09587374
51,1357.9639961719513,0.09587374
52,1387.5104570388794,0.09587374
53,1413.948250055313,0.09587374
54,1438.5012125968933,0.09587374
55,1464.7859003543854,0.09587374
56,1485.0881259441376,0.09587374
57,1515.397845029831,0.09587374
58,1542.9483377933502,0.09587374
59,1572.625482559204,0.09587374
60,1597.8983390331268,0.09587374
61,1622.9762091636658,0.09587374
62,1648.1789419651031,0.09587374
63,1675.7916383743286,0.09587374
64,1702.7038509845734,0.09587374
65,1726.8195979595184,0.09587374
66,1754.7159576416016,0.09587374
67,1784.7898778915405,0.09587374
68,1812.6027410030365,0.09587374
69,1837.670494556427,0.09587374
70,1862.304714679718,0.09587374
71,1887.5952680110931,0.09587374
72,1910.5653121471405,0.09587374
73,1936.3206639289856,0.09587374
74,1964.2470548152924,0.09587374
75,1989.023315191269,0.09587374
76,2048.45588350296,0.09587374
77,2112.668988466263,0.09587374
78,2149.282063961029,0.09587374
79,2176.9237978458405,0.09587374
80,2209.8004372119904,0.09587374
81,2238.8211431503296,0.09587374
82,2269.756844520569,0.09587374
83,2294.7137072086334,0.09587374
84,2322.577256679535,0.09587374
85,2349.8111419677734,0.09587374
86,2372.0109555721283,0.09587374
87,2406.416949033737,0.09587374
88,2443.3463881015778,0.09587374
89,2474.5865137577057,0.09587374
90,2505.045845746994,0.09587374
91,2535.2842593193054,0.09587374
92,2562.8816640377045,0.09587374
93,2590.1505105495453,0.09587374
94,2612.4025819301605,0.09587374
95,2635.3718645572662,0.06283376
96,2662.4565465450287,0.06283376
97,2687.1928305625916,0.06283376
98,2707.1080861091614,0.06283376
99,2734.075525522232,0.06283376
