Round,Relative Time (ms),Value
0,21.2351291179657,4.037437
1,56.614837646484375,2.40549
2,86.62547731399536,1.876429
3,115.7670271396637,1.335846
4,149.80038404464722,1.335846
5,181.10648798942566,1.335846
6,211.93324255943298,1.335846
7,245.21321439743042,1.335846
8,274.2315218448639,1.335846
9,306.5044004917145,1.335846
10,336.09993147850037,0.689724
11,364.9952657222748,0.689724
12,391.71659994125366,0.689724
13,420.05115962028503,0.689724
14,451.8227324485779,0.689724
15,483.84138321876526,0.689724
16,514.2533533573151,0.689724
17,547.4782133102417,0.689724
18,573.4486420154572,0.1399172
19,603.6761574745178,0.1399172
20,632.5301694869995,0.1399172
21,662.8261256217957,0.1399172
22,692.7790765762329,0.1399172
23,724.416850566864,0.1399172
24,754.6791677474976,0.1399172
25,787.5276863574982,0.1399172
26,818.6498057842255,0.1399172
27,846.7763156890869,0.1399172
28,878.8448085784912,0.1399172
29,919.0546026229858,0.1399172
30,950.7602400779724,0.1399172
31,988.5705173015594,0.1399172
32,1020.912406206131,0.1399172
33,1051.1627793312073,0.1399172
34,1082.6372511386871,0.1399172
35,1120.1880142688751,0.1399172
36,1157.2003259658813,0.1399172
37,1186.2935512065887,0.1399172
38,1215.987205028534,0.1399172
39,1250.8510780334473,0.1399172
40,1291.1918020248413,0.1399172
41,1327.615019083023,0.1399172
42,1359.7811918258667,0.1399172
43,1398.932374238968,0.1399172
44,1436.8209476470947,0.1399172
45,1471.8031921386719,0.1399172
46,1505.8406627178192,0.1399172
47,1535.8353736400604,0.1399172
48,1574.2334175109863,0.1399172
49,1606.93203997612,0.1399172
50,1642.6073122024536,0.1399172
51,1672.9006178379059,0.1399172
52,1785.9373364448547,0.1399172
53,1824.9456436634064,0.1399172
54,1858.7291340827942,0.1399172
55,1894.1361243724823,0.1399172
56,1927.211928844452,0.1399172
57,1957.5948777198792,0.1399172
58,1986.6287767887115,0.1399172
59,2013.4954364299774,0.1399172
60,2038.3409886360168,0.1399172
61,2065.195655107498,0.1399172
62,2094.319360733032,0.1399172
63,2129.8560371398926,0.1399172
64,2162.811172246933,0.1399172
65,2197.175430059433,0.1399172
66,2233.0547063350677,0.1399172
67,2268.602781534195,0.1399172
68,2303.3960523605347,0.1399172
69,2341.4868824481964,0.1399172
70,2381.1393609046936,0.1399172
71,2413.450619697571,0.1399172
72,2447.8880054950714,0.1399172
73,2482.9525837898254,0.1399172
74,2516.060186624527,0.1399172
75,2547.171384572983,0.1399172
76,2584.4934010505676,0.1399172
77,2618.107433795929,0.1399172
78,2657.5271060466766,0.1399172
79,2693.388229370117,0.1399172
80,2729.0026893615723,0.1399172
81,2760.5287997722626,0.1399172
82,2791.4463045597076,0.1399172
83,2823.785927295685,0.1399172
84,2856.4986939430237,0.1399172
85,2890.450813770294,0.1399172
86,2926.1403863430023,0.1399172
87,2960.8219282627106,0.1399172
88,2995.2036933898926,0.1399172
89,3030.318310022354,0.1399172
90,3067.7722833156586,0.1399172
91,3105.4448144435883,0.1399172
92,3137.7554717063904,0.1399172
93,3171.9093708992004,0.1399172
94,3204.094405889511,0.1399172
95,3231.1810824871063,0.1399172
96,3261.1070449352264,0.1399172
97,3293.8848116397858,0.1399172
98,3324.25172662735,0.1399172
99,3353.792415380478,0.1399172
