Round,Relative Time (ms),Value
0,14.307885885238647,0.63455514
1,35.88648080825806,0.098098
2,57.26572012901306,0.048648
3,79.16962623596191,0.046904039999999994
4,101.00311732292175,0.03888898
5,123.21049451828003,0.03888898
6,143.1935315132141,0.03888898
7,163.6890468597412,0.03274748
8,187.101149559021,0.03274748
9,211.11850380897522,0.03274748
10,236.37642788887024,0.03274748
11,266.37154936790466,0.03274748
12,287.1512689590454,0.03274748
13,308.60304832458496,0.03274748
14,335.4394373893738,0.03274748
15,360.252881526947,0.03274748
16,381.9182348251343,0.03274748
17,393.7781960964203,0.03274748
18,415.3645210266113,0.03274748
19,439.06409978866577,0.03274748
20,461.65038776397705,0.03274748
21,484.03642106056213,0.03274748
22,510.416127204895,0.03274748
23,536.6625146865845,0.03274748
24,560.3447773456573,0.03274748
25,581.6404905319214,0.03254932
26,602.5766322612762,0.03254932
27,624.0989768505096,0.03147854
28,649.0598032474518,0.03147854
29,670.6235909461975,0.03147854
30,691.4196712970734,0.03147854
31,711.1299550533295,0.03147854
32,737.9627048969269,0.03147854
33,759.3549900054932,0.03147854
34,778.1892311573029,0.03147854
35,798.363550901413,0.03147854
36,819.983270406723,0.03147854
37,849.658303976059,0.03147854
38,876.5201754570007,0.03147854
39,902.741614818573,0.03147854
40,927.8391070365906,0.03147854
41,954.3637480735779,0.03147854
42,980.4790089130402,0.03147854
43,1008.1218929290771,0.03147854
44,1035.6780121326447,0.03147854
45,1062.2229273319244,0.03147854
46,1085.3184294700623,0.03147854
47,1116.579354763031,0.03147854
48,1139.7057449817657,0.03147854
49,1163.9739673137665,0.03147854
50,1187.3044953346252,0.03147854
51,1212.1306931972504,0.03147854
52,1240.3178415298462,0.03147854
53,1267.4105410575867,0.03147854
54,1295.184754371643,0.03147854
55,1322.4150712490082,0.03147854
56,1351.8233969211578,0.03147854
57,1368.6009447574615,0.03147854
58,1393.089255809784,0.03147854
59,1419.7517235279083,0.03147854
60,1444.3265986442566,0.03147854
61,1465.5695538520813,0.03147854
62,1486.891092300415,0.03147854
63,1504.1107804775238,0.03147854
64,1525.7777013778687,0.03147854
65,1545.350835800171,0.03147854
66,1568.307454586029,0.03147854
67,1593.0640869140625,0.03147854
68,1617.9357645511627,0.03147854
69,1644.2892599105835,0.03147854
70,1672.270400762558,0.03147854
71,1697.7387881278992,0.03147854
72,1720.5153787136078,0.03147854
73,1743.3783226013184,0.03147854
74,1768.4009597301483,0.03147854
75,1792.784105539322,0.03147854
76,1816.6311523914337,0.03147854
77,1841.0022656917572,0.03147854
78,1866.325963973999,0.03147854
79,1891.385269165039,0.03147854
80,1917.8281254768372,0.03147854
81,1945.3579194545746,0.03147854
82,1973.5558564662933,0.03147854
83,2000.5518219470978,0.03147854
84,2025.9823999404907,0.03147854
85,2048.7662510871887,0.03147854
86,2072.9162333011627,0.03147854
87,2097.8796377182007,0.03147854
88,2129.8011362552643,0.03147854
89,2154.3840165138245,0.03147854
90,2176.677745580673,0.03147854
91,2200.014176607132,0.03147854
92,2221.9775013923645,0.03147854
93,2243.026776075363,0.03147854
94,2265.1810500621796,0.03147854
95,2288.8736543655396,0.03147854
96,2308.0231142044067,0.03147854
97,2327.5147409439087,0.03147854
98,2339.6024396419525,0.03147854
99,2364.069173336029,0.03147854
