Round,Relative Time (ms),Value
0,21.78263545036316,2.532103
1,57.217846393585205,1.742522
2,88.89693236351013,1.623708
3,119.30664944648743,0.786075
4,144.2141716480255,0.786075
5,168.37638115882874,0.786075
6,193.3617422580719,0.786075
7,220.99414706230164,0.786075
8,246.6391100883484,0.786075
9,269.60162568092346,0.786075
10,292.87074875831604,0.786075
11,315.05713534355164,0.786075
12,340.05722856521606,0.786075
13,386.52494621276855,0.786075
14,417.5997040271759,0.786075
15,442.37311029434204,0.777258
16,467.6385622024536,0.716183
17,493.33644700050354,0.716183
18,517.8168931007385,0.716183
19,542.6607346534729,0.716183
20,567.4950020313263,0.716183
21,590.2808675765991,0.716183
22,612.4224352836609,0.716183
23,636.9621398448944,0.716183
24,657.2590823173523,0.716183
25,677.030387878418,0.716183
26,701.8420512676239,0.716183
27,792.6099665164948,0.716183
28,824.1371812820435,0.716183
29,853.1757798194885,0.716183
30,883.2441158294678,0.716183
31,910.298389673233,0.716183
32,937.3836386203766,0.716183
33,963.9669439792633,0.716183
34,989.6241383552551,0.716183
35,1012.4103677272797,0.716183
36,1033.6033709049225,0.716183
37,1090.1505765914917,0.716183
38,1123.0119512081146,0.716183
39,1159.8081312179565,0.716183
40,1188.3930804729462,0.716183
41,1223.958339691162,0.716183
42,1247.141848564148,0.716183
43,1273.1426541805267,0.716183
44,1298.395812034607,0.716183
45,1328.4082462787628,0.716183
46,1353.4229099750519,0.716183
47,1383.3333270549774,0.716183
48,1401.9383647441864,0.716183
49,1432.1453649997711,0.716183
50,1466.155288696289,0.716183
51,1493.9615123271942,0.716183
52,1523.0076491832733,0.716183
53,1548.4596548080444,0.716183
54,1576.9920101165771,0.716183
55,1608.0872166156769,0.716183
56,1635.044674396515,0.716183
57,1666.5644097328186,0.716183
58,1694.0181376934052,0.716183
59,1767.0047369003296,0.716183
60,1810.2055275440216,0.716183
61,1843.1024193763733,0.716183
62,1880.1411538124084,0.716183
63,1908.0955419540405,0.716183
64,1936.7907683849335,0.716183
65,1955.89932847023,0.716183
66,1985.6954326629639,0.716183
67,2014.5735402107239,0.716183
68,2064.6806783676147,0.716183
69,2102.026711702347,0.716183
70,2131.873459815979,0.716183
71,2168.909262418747,0.716183
72,2194.240378379822,0.716183
73,2227.833434820175,0.716183
74,2254.8050043582916,0.716183
75,2282.722297668457,0.716183
76,2310.040584087372,0.716183
77,2339.3382561206818,0.716183
78,2362.928570985794,0.716183
79,2385.7984948158264,0.716183
80,2411.0645899772644,0.716183
81,2441.4600524902344,0.716183
82,2464.181038379669,0.716183
83,2491.46324968338,0.716183
84,2523.4342727661133,0.716183
85,2551.7633900642395,0.716183
86,2576.928407907486,0.716183
87,2605.187649488449,0.716183
88,2632.116028547287,0.716183
89,2653.014416217804,0.716183
90,2675.6486716270447,0.716183
91,2699.4427666664124,0.716183
92,2718.719365119934,0.716183
93,2738.407920360565,0.716183
94,2769.5613214969635,0.716183
95,2809.688391685486,0.716183
96,2854.26847243309,0.716183
97,2888.793876886368,0.716183
98,2914.3584525585175,0.716183
99,2937.815339565277,0.716183
