Round,Relative Time (ms),Value
0,20.599024295806885,2.038569
1,48.40349841117859,0.518319
2,76.02928185462952,0.518319
3,100.64779376983643,0.47114
4,124.36992502212524,0.273557
5,150.10182118415833,0.273557
6,170.6962547302246,0.273557
7,191.33123540878296,0.273557
8,212.3342525959015,0.268336
9,233.11151885986328,0.260021
10,255.56912446022034,0.260021
11,278.6184163093567,0.260021
12,300.63578820228577,0.260021
13,318.4546797275543,0.260021
14,342.35151863098145,0.260021
15,364.19465041160583,0.260021
16,384.00528287887573,0.260021
17,403.9201295375824,0.260021
18,424.4741654396057,0.260021
19,445.7405791282654,0.260021
20,476.30673265457153,0.260021
21,500.1208384037018,0.260021
22,529.5964305400848,0.260021
23,562.4964561462402,0.260021
24,596.8400197029114,0.260021
25,619.9268138408661,0.260021
26,642.4412643909454,0.251225
27,665.1481554508209,0.230745
28,688.9463810920715,0.230745
29,710.1458842754364,0.230745
30,733.7786073684692,0.230745
31,756.4384455680847,0.230745
32,782.224063873291,0.230745
33,802.4586482048035,0.230745
34,821.0168499946594,0.230745
35,844.213371515274,0.230745
36,868.1506292819977,0.230745
37,885.8518950939178,0.230745
38,908.5534739494324,0.230745
39,940.8925108909607,0.230745
40,970.0312094688416,0.230745
41,993.2844536304474,0.230745
42,1019.9090249538422,0.230745
43,1045.855969429016,0.230745
44,1071.2409677505493,0.230745
45,1097.226009130478,0.230745
46,1118.3556432724,0.230745
47,1139.9221820831299,0.230745
48,1190.6475172042847,0.230745
49,1242.7744784355164,0.230745
50,1292.1402945518494,0.230745
51,1315.6832711696625,0.230745
52,1336.46350979805,0.230745
53,1357.009985923767,0.230745
54,1376.1602728366852,0.230745
55,1396.6132504940033,0.230745
56,1417.8173098564148,0.230745
57,1440.7783398628235,0.230745
58,1459.5420706272125,0.229886
59,1480.720013141632,0.229886
60,1500.6584558486938,0.229886
61,1520.8131279945374,0.229886
62,1539.2919962406158,0.229886
63,1559.0941233634949,0.229886
64,1581.3055987358093,0.07253594000000001
65,1599.8023006916046,0.07253594000000001
66,1616.9812622070312,0.07253594000000001
67,1635.3358891010284,0.07253594000000001
68,1653.384934425354,0.07253594000000001
69,1671.8971803188324,0.07253594000000001
70,1691.1411983966827,0.07253594000000001
71,1705.1524782180786,0.07253594000000001
72,1724.7134358882904,0.07253594000000001
73,1742.1113266944885,0.07253594000000001
74,1762.5395617485046,0.07253594000000001
75,1801.550003528595,0.07253594000000001
76,1830.0777192115784,0.07253594000000001
77,1856.9926447868347,0.07253594000000001
78,1879.1816442012787,0.07253594000000001
79,1901.8439898490906,0.07253594000000001
80,1922.509647846222,0.07253594000000001
81,1942.5524280071259,0.07253594000000001
82,1965.412231206894,0.07253594000000001
83,1988.570675611496,0.07253594000000001
84,2012.120212316513,0.07253594000000001
85,2035.262454032898,0.07253594000000001
86,2057.908307313919,0.07253594000000001
87,2080.168703556061,0.07253594000000001
88,2105.384823322296,0.07253594000000001
89,2134.4357438087463,0.07253594000000001
90,2157.13508105278,0.07253594000000001
91,2179.7933764457703,0.07253594000000001
92,2204.1606817245483,0.07253594000000001
93,2224.924586057663,0.07253594000000001
94,2241.761444091797,0.07253594000000001
95,2250.1209700107574,0.07253594000000001
96,2263.8772814273834,0.07253594000000001
97,2284.737066268921,0.07253594000000001
98,2311.746407032013,0.07253594000000001
99,2342.740058898926,0.07253594000000001
