Round,Relative Time (ms),Value
0,13.677221775054932,0.03240942
1,37.2078423500061,0.03240942
2,58.58223628997803,0.03240942
3,78.54612350463867,0.03240942
4,98.70440316200256,0.02897052
5,118.78884434700012,0.02897052
6,138.26599717140198,0.02897052
7,158.77859258651733,0.02897052
8,177.47127771377563,0.02897052
9,198.37797808647156,0.02897052
10,215.64460253715515,0.017492300000000002
11,237.69447946548462,0.017492300000000002
12,257.2502827644348,0.0146888
13,275.036274433136,0.0146888
14,294.2314269542694,0.0146888
15,315.2116811275482,0.0146888
16,334.41453218460083,0.0146888
17,352.427921295166,0.0146888
18,373.25731801986694,0.0146888
19,390.88678073883057,0.0146888
20,409.862877368927,0.0146888
21,427.9672405719757,0.0146888
22,446.66370391845703,0.0146888
23,470.3548719882965,0.0146888
24,500.06521797180176,0.0146888
25,527.0634036064148,0.0146888
26,549.356219291687,0.0146888
27,569.8586385250092,0.0146888
28,590.1915507316589,0.0146888
29,610.7631983757019,0.0146888
30,628.6536765098572,0.0146888
31,647.5296378135681,0.0146888
32,666.246896982193,0.0146888
33,687.9271574020386,0.0146888
34,707.900762796402,0.0146888
35,727.0716986656189,0.0146888
36,743.6679599285126,0.0146888
37,765.5387270450592,0.0146888
38,787.8216142654419,0.0146888
39,810.1024720668793,0.0146888
40,831.121392250061,0.0146888
41,854.1951422691345,0.0146888
42,878.170517206192,0.0146888
43,898.9632258415222,0.0146888
44,918.5666406154633,0.0146888
45,938.518675327301,0.0146888
46,957.4487807750702,0.0146888
47,980.3657755851746,0.0146888
48,1004.1184570789337,0.0146888
49,1027.9578878879547,0.0146888
50,1047.4487178325653,0.0146888
51,1068.9108922481537,0.0146888
52,1091.2432432174683,0.0146888
53,1117.9774289131165,0.0146888
54,1143.9196276664734,0.0146888
55,1167.288090467453,0.0146888
56,1191.890380859375,0.0146888
57,1216.0585832595825,0.0146888
58,1240.4589562416077,0.0146888
59,1266.0922360420227,0.0146888
60,1291.0927867889404,0.0146888
61,1314.3708839416504,0.0146888
62,1333.443815946579,0.0146888
63,1356.7359020709991,0.0146888
64,1377.4704446792603,0.0146888
65,1397.3376681804657,0.0146888
66,1419.2684416770935,0.0146888
67,1437.2900867462158,0.0146888
68,1454.7709584236145,0.0146888
69,1475.2310514450073,0.0146888
70,1494.9772493839264,0.0146888
71,1516.9369921684265,0.0146888
72,1534.7076125144958,0.0146888
73,1557.2791352272034,0.0146888
74,1583.638682603836,0.0146888
75,1609.5587480068207,0.0146888
76,1634.0893337726593,0.0146888
77,1655.5668036937714,0.0146888
78,1678.2248923778534,0.0146888
79,1698.0406513214111,0.0146888
80,1717.8264298439026,0.0146888
81,1740.3252623081207,0.0146888
82,1759.0897963047028,0.0146888
83,1780.1054933071136,0.0146888
84,1801.8036584854126,0.0146888
85,1820.9753172397614,0.0146888
86,1840.5116531848907,0.0146888
87,1860.695569038391,0.0146888
88,1880.1813979148865,0.0146888
89,1897.9092400074005,0.0146888
90,1921.7102575302124,0.0146888
91,1941.1983613967896,0.0146888
92,1958.0453734397888,0.0146888
93,1978.2402470111847,0.0146888
94,1998.1973321437836,0.0146888
95,2016.945249080658,0.0146888
96,2037.089597940445,0.0146888
97,2058.94966673851,0.0146888
98,2082.3592495918274,0.0146888
99,2103.9417400360107,0.0146888
