Round,Relative Time (ms),Value
0,18.017526149749756,2.388907
1,46.213826179504395,0.548587
2,74.39135074615479,0.548587
3,103.15866565704346,0.548587
4,129.70624113082886,0.11301724
5,156.01214003562927,0.11301724
6,178.21241450309753,0.11301724
7,200.86026620864868,0.11301724
8,228.18275547027588,0.11301724
9,255.45211386680603,0.11301724
10,280.1697635650635,0.11301724
11,305.4312176704407,0.11301724
12,328.4505729675293,0.11301724
13,354.717041015625,0.11301724
14,389.8971457481384,0.11301724
15,420.14734172821045,0.11301724
16,445.3207857608795,0.11301724
17,471.4318039417267,0.11301724
18,497.4983398914337,0.11301724
19,523.4783811569214,0.11301724
20,546.9711101055145,0.11301724
21,570.9638931751251,0.11301724
22,593.4651050567627,0.11301724
23,618.4079203605652,0.11301724
24,672.4740433692932,0.11301724
25,700.0297803878784,0.11301724
26,726.8616952896118,0.11301724
27,756.4086184501648,0.11301724
28,784.8746566772461,0.11301724
29,810.0050494670868,0.11301724
30,834.8633580207825,0.11301724
31,861.018177986145,0.11301724
32,887.5887513160706,0.11301724
33,913.1086723804474,0.11301724
34,938.4778366088867,0.11301724
35,971.0218675136566,0.11301724
36,997.4207694530487,0.11301724
37,1023.0504019260406,0.11301724
38,1045.8226017951965,0.11301724
39,1071.7371985912323,0.11301724
40,1095.3662843704224,0.11301724
41,1120.6174778938293,0.11301724
42,1143.7295334339142,0.11301724
43,1168.659563779831,0.11301724
44,1190.1798508167267,0.11301724
45,1221.2606403827667,0.11301724
46,1251.2686774730682,0.11301724
47,1279.4365735054016,0.11301724
48,1310.0530009269714,0.11301724
49,1340.9137880802155,0.11301724
50,1368.6423864364624,0.11301724
51,1396.0381767749786,0.11301724
52,1424.4572863578796,0.11301724
53,1452.0560817718506,0.11301724
54,1471.3110296726227,0.11301724
55,1495.786396741867,0.11301724
56,1528.094332933426,0.11301724
57,1561.2863404750824,0.11301724
58,1589.1530957221985,0.11301724
59,1616.446014881134,0.11301724
60,1639.2204418182373,0.11301724
61,1660.050802230835,0.11301724
62,1689.2095386981964,0.11301724
63,1715.3976743221283,0.11301724
64,1743.5647466182709,0.11301724
65,1764.987773656845,0.06469298
66,1786.1325402259827,0.06469298
67,1810.8946974277496,0.06469298
68,1831.7377591133118,0.06469298
69,1854.539734363556,0.06469298
70,1883.614517211914,0.06469298
71,1909.112624168396,0.06469298
72,1938.0325996875763,0.06469298
73,1965.913162469864,0.06469298
74,1991.3038909435272,0.06469298
75,2015.9579164981842,0.06469298
76,2046.9371066093445,0.06469298
77,2076.376673936844,0.06469298
78,2103.9219648838043,0.06469298
79,2131.2452936172485,0.06469298
80,2158.232228040695,0.06469298
81,2178.425687789917,0.06469298
82,2202.483795642853,0.06469298
83,2229.2641060352325,0.06469298
84,2249.992089986801,0.06469298
85,2271.8160302639008,0.06469298
86,2296.3654038906097,0.06469298
87,2322.029177904129,0.06469298
88,2349.900680541992,0.06469298
89,2376.526336669922,0.06469298
90,2402.8842289447784,0.06469298
91,2427.229444026947,0.06469298
92,2449.6497604846954,0.06469298
93,2470.03302359581,0.06469298
94,2489.1691715717316,0.06469298
95,2505.372309446335,0.06469298
96,2531.246385574341,0.06469298
97,2557.3220772743225,0.06469298
98,2583.6956906318665,0.06469298
99,2604.9568815231323,0.06469298
