Round,Relative Time (ms),Value
0,16.053627729415894,1.633214
1,39.39065957069397,1.248077
2,64.84728217124939,0.565858
3,86.79339694976807,0.565858
4,109.90604090690613,0.565858
5,133.09886050224304,0.509533
6,155.31607699394226,0.509533
7,178.42379546165466,0.509533
8,203.58640575408936,0.509533
9,227.07187008857727,0.509533
10,252.39115047454834,0.509533
11,276.60674142837524,0.509533
12,300.25222301483154,0.509533
13,325.3193678855896,0.509533
14,348.8949222564697,0.06898942000000001
15,374.24702191352844,0.06898942000000001
16,399.2305152416229,0.04843674
17,425.63573932647705,0.04843674
18,452.94235372543335,0.04843674
19,478.3470206260681,0.04843674
20,507.17460012435913,0.04464594
21,533.6289427280426,0.04464594
22,558.1109325885773,0.04464594
23,583.7999563217163,0.04464594
24,606.0365536212921,0.04464594
25,630.8157699108124,0.04464594
26,658.5591287612915,0.04464594
27,680.8403072357178,0.04464594
28,708.1429579257965,0.04464594
29,729.5790762901306,0.04464594
30,778.1235513687134,0.04464594
31,806.6058518886566,0.04464594
32,837.2215120792389,0.04464594
33,867.1838760375977,0.04464594
34,893.0238919258118,0.04464594
35,920.6389970779419,0.04464594
36,947.271769285202,0.04464594
37,971.8950338363647,0.04464594
38,996.2179656028748,0.04464594
39,1022.4991791248322,0.04464594
40,1046.2296078205109,0.04464594
41,1075.2308342456818,0.04464594
42,1103.9499492645264,0.04464594
43,1130.241986989975,0.04464594
44,1158.4103016853333,0.04464594
45,1181.046805381775,0.04464594
46,1209.9213421344757,0.042102560000000004
47,1235.5817263126373,0.042102560000000004
48,1262.9324164390564,0.042102560000000004
49,1288.0046973228455,0.042102560000000004
50,1313.362848997116,0.042102560000000004
51,1341.6051766872406,0.042102560000000004
52,1364.858119726181,0.042102560000000004
53,1388.875203371048,0.042102560000000004
54,1418.1960937976837,0.042102560000000004
55,1445.0031867027283,0.042102560000000004
56,1470.425722360611,0.042102560000000004
57,1501.8396940231323,0.042102560000000004
58,1526.8621408939362,0.042102560000000004
59,1551.8713731765747,0.036405019999999996
60,1580.874979019165,0.036405019999999996
61,1608.0791471004486,0.036405019999999996
62,1635.8644840717316,0.036405019999999996
63,1662.5230498313904,0.036405019999999996
64,1691.0727355480194,0.036405019999999996
65,1714.983050107956,0.03592026
66,1741.3353946208954,0.03592026
67,1767.4812598228455,0.03592026
68,1791.2526111602783,0.03592026
69,1816.4691727161407,0.03592026
70,1844.7072489261627,0.03592026
71,1872.300140619278,0.03592026
72,1898.8818998336792,0.03592026
73,1924.509801864624,0.03592026
74,1955.2061176300049,0.03592026
75,1981.1640853881836,0.03592026
76,2011.579867362976,0.03592026
77,2040.085379600525,0.03592026
78,2067.375925064087,0.03592026
79,2095.0439891815186,0.03592026
80,2121.6821575164795,0.03592026
81,2147.521324634552,0.03592026
82,2173.1746854782104,0.03592026
83,2200.4731192588806,0.03592026
84,2224.098176240921,0.03592026
85,2244.5785257816315,0.03592026
86,2273.8576822280884,0.03592026
87,2305.61288356781,0.03592026
88,2334.013472557068,0.03592026
89,2364.4398844242096,0.03592026
90,2392.0480914115906,0.03592026
91,2421.0298488140106,0.03592026
92,2448.26544380188,0.03592026
93,2473.4978954792023,0.03592026
94,2495.521138191223,0.03592026
95,2519.2987740039825,0.03592026
96,2537.6304709911346,0.03592026
97,2567.3557937145233,0.03592026
98,2597.307163000107,0.03592026
99,2627.081632375717,0.03592026
