Round,Relative Time (ms),Value
0,82.43379092216492,8.592105
1,128.6915431022644,2.755632
2,176.45057010650635,2.755632
3,217.1814923286438,2.188676
4,256.77657747268677,2.124636
5,292.49663043022156,1.888375
6,332.99752473831177,1.533932
7,369.6271164417267,1.533932
8,408.4633243083954,1.533932
9,449.445410490036,1.533932
10,489.62668108940125,1.533932
11,526.3089599609375,1.533932
12,565.7367284297943,1.533932
13,606.911910533905,1.533932
14,648.3987953662872,1.533932
15,682.6771216392517,1.533932
16,703.4703345298767,1.533932
17,746.6740298271179,1.533932
18,791.7851078510284,1.533932
19,829.8228533267975,1.533932
20,862.1558153629303,1.068224
21,895.7078845500946,1.068224
22,927.104160785675,1.068224
23,955.0202300548553,1.068224
24,984.3621497154236,1.068224
25,1018.0573205947876,1.068224
26,1046.335247039795,1.068224
27,1077.0390532016754,1.068224
28,1106.143831729889,1.068224
29,1136.7531559467316,1.068224
30,1175.766015291214,1.068224
31,1215.3427391052246,1.068224
32,1257.4003841876984,1.068224
33,1295.1776714324951,1.068224
34,1337.4474680423737,1.068224
35,1375.866581916809,1.068224
36,1411.347305059433,1.068224
37,1448.3026168346405,1.068224
38,1483.793958902359,1.068224
39,1518.5131857395172,1.068224
40,1555.5831155776978,1.068224
41,1689.4836249351501,1.068224
42,1782.7669479846954,1.068224
43,1822.9685125350952,1.068224
44,1857.4685351848602,1.068224
45,1893.3834149837494,1.068224
46,1931.1668062210083,1.068224
47,1971.1086690425873,1.068224
48,2006.8080019950867,1.068224
49,2037.7068684101105,1.068224
50,2074.2928857803345,1.068224
51,2100.122582912445,1.068224
52,2147.305669784546,1.068224
53,2189.8001992702484,1.068224
54,2232.302747488022,1.068224
55,2267.7502262592316,1.068224
56,2310.462474822998,1.068224
57,2347.786922931671,1.068224
58,2389.9625432491302,1.068224
59,2427.704206466675,1.068224
60,2461.0088980197906,1.068224
61,2491.7893590927124,1.068224
62,2516.136399745941,1.068224
63,2559.214315891266,1.068224
64,2607.7746064662933,1.068224
65,2649.1669697761536,1.068224
66,2683.4666364192963,1.068224
67,2718.537178039551,1.068224
68,2750.659668445587,1.068224
69,2781.135473012924,1.068224
70,2814.698022842407,1.068224
71,2847.2032232284546,1.068224
72,2880.0913949012756,1.068224
73,2963.51367521286,1.068224
74,3054.774667739868,1.068224
75,3095.1673896312714,1.068224
76,3132.9256653785706,1.068224
77,3170.7192862033844,1.068224
78,3208.089284181595,1.068224
79,3250.7607202529907,1.068224
80,3287.410890817642,1.068224
81,3320.6487154960632,1.068224
82,3354.572934150696,1.068224
83,3389.533152103424,1.068224
84,3414.7433626651764,1.068224
85,3458.8267407417297,1.068224
86,3496.0163753032684,1.068224
87,3529.6072158813477,1.068224
88,3562.652869462967,1.068224
89,3601.8332784175873,1.068224
90,3643.0601432323456,1.068224
91,3679.034657716751,1.068224
92,3711.1193742752075,1.068224
93,3744.8132977485657,1.068224
94,3771.479872226715,1.068224
95,3822.5578892230988,1.068224
96,3869.5071382522583,1.068224
97,3915.8568670749664,1.068224
98,3960.04931974411,1.068224
99,3997.853026151657,1.068224
