Round,Relative Time (ms),Value
0,15.735816240310669,0.588185
1,58.01013898849487,0.588185
2,78.07457685470581,0.439092
3,96.87920808792114,0.439092
4,117.22466254234314,0.439092
5,138.43530201911926,0.406944
6,160.82454323768616,0.406944
7,181.546466588974,0.406944
8,203.41014885902405,0.406944
9,223.72594332695007,0.406944
10,244.61458659172058,0.406944
11,266.25411200523376,0.406944
12,288.1855375766754,0.406944
13,310.3344690799713,0.406944
14,330.299738407135,0.406944
15,344.7591972351074,0.406944
16,371.763142824173,0.406944
17,394.9992187023163,0.406944
18,418.4267146587372,0.406944
19,441.77008080482483,0.406944
20,462.3217327594757,0.406944
21,484.24729108810425,0.406944
22,506.33119225502014,0.406944
23,526.5490853786469,0.360405
24,544.0975141525269,0.354765
25,566.1858434677124,0.354765
26,588.0998916625977,0.354765
27,608.7743246555328,0.354765
28,628.8054654598236,0.354765
29,647.394965171814,0.354765
30,665.0866951942444,0.354765
31,687.4821858406067,0.354765
32,708.0129806995392,0.340552
33,727.460834980011,0.337177
34,746.5468497276306,0.337177
35,766.8663427829742,0.337177
36,787.0202651023865,0.337177
37,806.3749885559082,0.337177
38,827.3602540493011,0.337177
39,849.9961664676666,0.337177
40,868.643923997879,0.337177
41,891.1525416374207,0.337177
42,910.7812578678131,0.337177
43,937.2631418704987,0.337177
44,962.6669409275055,0.337177
45,988.0175514221191,0.337177
46,1011.0137338638306,0.337177
47,1035.0035684108734,0.337177
48,1060.1362142562866,0.337177
49,1086.844249010086,0.337177
50,1110.1018557548523,0.337177
51,1130.9393877983093,0.337177
52,1154.1244802474976,0.337177
53,1171.0032224655151,0.337177
54,1194.4952385425568,0.337177
55,1219.3460910320282,0.337177
56,1242.8929238319397,0.337177
57,1265.9017198085785,0.337177
58,1285.9523785114288,0.337177
59,1306.8638331890106,0.337177
60,1326.5103499889374,0.337177
61,1346.624944448471,0.337177
62,1367.9281194210052,0.337177
63,1387.4134106636047,0.337177
64,1413.9106180667877,0.337177
65,1438.1291890144348,0.337177
66,1464.0841159820557,0.337177
67,1486.7104861736298,0.337177
68,1518.1743285655975,0.337177
69,1545.648509979248,0.337177
70,1571.1423087120056,0.337177
71,1594.7638511657715,0.337177
72,1617.657334804535,0.337177
73,1663.873873949051,0.337177
74,1723.528018951416,0.337177
75,1750.6375074386597,0.337177
76,1783.5893836021423,0.337177
77,1811.994765996933,0.337177
78,1834.115741968155,0.337177
79,1862.4781520366669,0.337177
80,1890.0833461284637,0.337177
81,1911.2527568340302,0.337177
82,1939.8514242172241,0.337177
83,1965.0487520694733,0.337177
84,1988.206125497818,0.337177
85,2014.7290365695953,0.337177
86,2040.3797459602356,0.337177
87,2063.770176887512,0.337177
88,2087.4038982391357,0.337177
89,2107.4557135105133,0.337177
90,2123.475040435791,0.337177
91,2136.8633913993835,0.337177
92,2154.6723144054413,0.337177
93,2181.8297424316406,0.337177
94,2206.6899082660675,0.25817482
95,2228.6662471294403,0.25817482
96,2246.386083841324,0.25817482
97,2263.1552979946136,0.25817482
98,2283.1264379024506,0.25817482
99,2302.6491453647614,0.25817482
