Round,Relative Time (ms),Value
0,37.889679193496704,3.533463
1,126.18501257896423,3.339826
2,174.80625128746033,3.042282
3,217.22017908096313,2.331678
4,263.6614074707031,2.294307
5,301.19205808639526,1.726444
6,340.13671040534973,1.726444
7,378.7817499637604,1.726444
8,420.4717507362366,1.726444
9,459.5555582046509,1.726444
10,497.6960849761963,0.954845
11,533.3340857028961,0.954845
12,572.8532156944275,0.954845
13,610.9584031105042,0.954845
14,648.1893639564514,0.954845
15,685.576169013977,0.954845
16,722.1159341335297,0.954845
17,758.1937570571899,0.954845
18,795.396228313446,0.954845
19,833.5355942249298,0.954845
20,875.8338947296143,0.954845
21,919.6153309345245,0.954845
22,966.2765772342682,0.954845
23,1007.899441242218,0.954845
24,1047.6566429138184,0.954845
25,1086.7918679714203,0.954845
26,1128.9875388145447,0.954845
27,1166.991350889206,0.954845
28,1206.7237703800201,0.954845
29,1247.890033006668,0.954845
30,1281.6155378818512,0.954845
31,1464.1711411476135,0.954845
32,1514.0330154895782,0.954845
33,1562.352510213852,0.954845
34,1601.0900971889496,0.954845
35,1638.7091975212097,0.954845
36,1672.2171852588654,0.954845
37,1710.2602906227112,0.954845
38,1746.8903152942657,0.954845
39,1782.5843279361725,0.954845
40,1822.0806813240051,0.954845
41,1856.8988234996796,0.954845
42,1905.7747902870178,0.954845
43,1943.8259329795837,0.954845
44,1982.0907638072968,0.954845
45,2021.434889793396,0.954845
46,2059.515659093857,0.954845
47,2087.4869644641876,0.954845
48,2127.691629886627,0.954845
49,2163.0179369449615,0.954845
50,2195.5914680957794,0.954845
51,2229.2133173942566,0.825951
52,2264.0738649368286,0.825951
53,2304.5304210186005,0.825951
54,2340.9851293563843,0.825951
55,2371.4586024284363,0.825951
56,2400.0423007011414,0.825951
57,2430.888546705246,0.825951
58,2460.5391976833344,0.825951
59,2494.975836753845,0.825951
60,2535.92812871933,0.825951
61,2573.3538732528687,0.825951
62,2621.1764698028564,0.825951
63,2668.293313741684,0.825951
64,2712.837265253067,0.825951
65,2753.0794739723206,0.825951
66,2791.957310438156,0.825951
67,2823.7818837165833,0.825951
68,2859.2863726615906,0.825951
69,2900.1344861984253,0.825951
70,2943.193596601486,0.825951
71,2977.406124353409,0.825951
72,3146.4236764907837,0.825951
73,3196.5741894245148,0.825951
74,3288.5021357536316,0.825951
75,3332.4488246440887,0.825951
76,3380.650309562683,0.825951
77,3428.151383161545,0.825951
78,3472.2194657325745,0.825951
79,3508.639862537384,0.825951
80,3550.297133207321,0.825951
81,3589.4632024765015,0.825951
82,3629.32892537117,0.825951
83,3831.185843229294,0.825951
84,3868.5422666072845,0.825951
85,3909.008153438568,0.825951
86,3943.7883477211,0.825951
87,3983.030908346176,0.825951
88,4017.8180549144745,0.825951
89,4051.8306941986084,0.825951
90,4090.250468015671,0.825951
91,4122.305223941803,0.825951
92,4153.7268850803375,0.825951
93,4182.229918479919,0.825951
94,4211.223769903183,0.825951
95,4249.052539348602,0.825951
96,4289.3719918727875,0.825951
97,4327.051049232483,0.825951
98,4366.1884841918945,0.825951
99,4398.8094890117645,0.825951
