Round,Relative Time (ms),Value
0,23.881329774856567,83.1452865600586
1,41.4308021068573,50.530731201171875
2,58.47826838493347,42.892738342285156
3,74.60670566558838,42.892738342285156
4,89.58778166770935,42.892738342285156
5,105.85660696029663,42.892738342285156
6,123.60678720474243,42.892738342285156
7,145.41719150543213,42.892738342285156
8,161.14343643188477,42.892738342285156
9,176.82227444648743,42.892738342285156
10,190.69746804237366,42.892738342285156
11,205.07326078414917,42.892738342285156
12,222.69042491912842,42.892738342285156
13,240.1192924976349,42.892738342285156
14,257.7079703807831,42.892738342285156
15,278.32146883010864,4.5198140144348145
16,298.0151917934418,3.429673194885254
17,316.7932376861572,3.0269477367401123
18,335.45411372184753,3.0269477367401123
19,357.1801428794861,3.0257489681243896
20,359.7523670196533,3.0257489681243896
21,376.88569378852844,3.0257489681243896
22,395.64875841140747,3.0257489681243896
23,409.96437978744507,3.0257489681243896
24,429.0298306941986,2.9931461811065674
25,446.3091778755188,2.955258369445801
26,461.35840106010437,2.955258369445801
27,482.9063882827759,2.955258369445801
28,498.63983726501465,2.9329025745391846
29,515.3761353492737,2.9329025745391846
30,535.9657542705536,2.890749454498291
31,555.7607216835022,2.890749454498291
32,571.8744945526123,2.890749454498291
33,586.7085754871368,2.890749454498291
34,606.0763130187988,2.8771796226501465
35,607.5911998748779,2.8771796226501465
36,626.253219127655,2.8771796226501465
37,642.8873410224915,2.8771796226501465
38,659.8368189334869,2.873138904571533
39,680.7941892147064,2.873138904571533
40,690.486908197403,2.873138904571533
41,702.2602534294128,2.873138904571533
42,703.2955303192139,2.873138904571533
43,717.4782292842865,2.873138904571533
44,735.992681980133,2.873138904571533
45,737.2748076915741,2.873138904571533
46,739.7679810523987,2.873138904571533
47,753.8372008800507,2.873138904571533
48,768.9235608577728,2.873138904571533
49,779.1170225143433,2.873138904571533
50,799.4690248966217,2.873138904571533
51,810.5699381828308,2.873138904571533
52,826.5690515041351,2.873138904571533
53,827.8520238399506,2.873138904571533
54,839.1202094554901,2.873138904571533
55,853.4229609966278,2.873138904571533
56,867.0070555210114,2.873138904571533
57,877.9707260131836,2.873138904571533
58,887.51886677742,2.873138904571533
59,901.6866054534912,2.873138904571533
60,915.4807929992676,2.873138904571533
61,916.7059102058411,2.873138904571533
62,932.0742275714874,2.873138904571533
63,949.3154776096344,2.873138904571533
64,975.5911173820496,2.873138904571533
65,985.5813698768616,2.873138904571533
66,1001.6629831790924,2.873138904571533
67,1004.1130082607269,2.873138904571533
68,1015.4648451805115,2.873138904571533
69,1032.046954870224,2.873138904571533
70,1048.753175497055,2.873138904571533
71,1049.7976968288422,2.873138904571533
72,1067.118548154831,2.873138904571533
73,1084.0213327407837,2.873138904571533
74,1098.864984035492,2.873138904571533
75,1120.87868475914,2.873138904571533
76,1142.6078617572784,2.873138904571533
77,1155.26798081398,2.873138904571533
