Parameter i0,P i1,P k0,P k1,P order0,P order1,P order2,P order3,P mode0,P mode1,P mode2,P mode3,P j0,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P para,P vec,P unroll,P un_fac,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,None,None,None,0,8,8,9,809,129.30841064453125
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,3,36,336,22.427934646606445
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,2,6,206,22.007492065429688
256,128,256,128,i0,k0,k1,i1,0,2,1,1,8,16,i0,j0,k0,k1,j1,i1,None,None,i0,256,4,15,7,1507,110.68557739257812
128,256,8192,4,i0,k0,i1,k1,0,2,1,1,64,2,j0,i0,j1,k0,i1,k1,None,None,i0,8192,16,0,28,28,292.04803466796875
8192,4,2048,16,i0,i1,k0,k1,1,1,1,0,32,4,j0,i0,i1,k0,j1,k1,None,None,None,0,128,0,18,18,156.50938415527344
2048,16,4096,8,k0,i0,k1,i1,1,3,0,2,64,2,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,0,36,36,233.72666931152344
256,128,16384,2,k0,k1,i0,i1,2,2,0,0,16,8,k0,j0,k1,j1,i0,i1,j0,None,k0,256,8,0,6,6,146.8982696533203
32768,1,2048,16,i0,k0,i1,k1,2,4,4,1,64,2,i0,k0,j0,i1,j1,k1,i0,None,j0,64,128,0,11,11,156.7760467529297
512,64,512,64,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,7,18,718,91.21916198730469
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,i1,k0,128,8,0,26,26,17.288145065307617
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,6,1606,24.1544246673584
8192,4,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,7,36,736,18.92357063293457
512,64,128,256,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,31,18,3118,124.81342315673828
128,256,128,256,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,None,None,None,0,8,32,9,3209,160.3891143798828
8192,4,128,256,i0,i1,k0,k1,1,1,1,0,32,4,j0,i0,i1,k0,j1,k1,None,None,None,0,128,8,18,818,155.42971801757812
128,256,128,256,i0,k0,i1,k1,0,2,1,1,64,2,j0,i0,j1,k0,i1,k1,None,None,i0,128,16,31,28,3128,258.366943359375
128,256,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,6,1606,22.620441436767578
128,256,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,0,36,36,18.147296905517578
256,128,512,64,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,15,18,1518,91.00238800048828
128,256,4096,8,k0,i0,k1,i1,1,3,0,2,64,2,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,8,36,836,265.0701904296875
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,j0,16,8,3,36,336,16.65715980529785
256,128,256,128,i0,k0,k1,i1,0,2,1,1,16,8,i0,j0,k0,k1,j1,i1,None,None,i0,256,4,15,7,1507,74.80946350097656
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,64,2,i0,j0,j1,k0,i1,k1,None,None,None,0,8,8,9,809,121.89855194091797
8192,4,2048,16,i0,i1,k0,k1,1,1,1,0,4,32,j0,i0,i1,k0,j1,k1,None,None,None,0,128,0,18,18,76.36080169677734
32768,1,2048,16,i0,k0,i1,k1,2,4,4,1,2,64,i0,k0,j0,i1,j1,k1,i0,None,j1,64,128,0,11,11,98.10234069824219
2048,16,4096,8,k0,i0,k1,i1,1,3,0,2,2,64,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,0,36,36,119.47509002685547
128,256,8192,4,i0,k0,i1,k1,0,2,1,1,2,64,j0,i0,j1,k0,i1,k1,None,None,i0,8192,16,0,28,28,127.51982116699219
128,256,8192,4,i0,k0,k1,i1,1,1,2,2,2,64,i0,j0,j1,k0,k1,i1,None,None,None,0,8,8,8,808,111.56775665283203
256,128,16384,2,k0,k1,i0,i1,2,2,0,0,16,8,j0,k0,k1,j1,i0,i1,j0,None,k0,256,8,0,6,6,175.32904052734375
32768,1,2048,16,i0,k0,i1,k1,2,4,4,1,64,2,i0,k0,j0,i1,k1,j1,i0,j1,j0,64,128,0,38,38,81.82881164550781
128,256,32768,1,k0,i0,k1,i1,2,0,1,2,8,16,k0,i0,k1,j0,j1,i1,None,i1,j1,16,8,1,27,127,19.942922592163086
8192,4,256,128,k0,i0,k1,i1,1,2,0,2,8,16,k0,i0,k1,i1,j0,j1,None,None,k0,8192,8,0,34,34,16.871885299682617
512,64,512,64,i0,i1,k0,k1,2,2,2,3,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,7,39,739,132.23666381835938
256,128,16384,2,k0,k1,i0,i1,2,3,1,1,16,8,k0,j0,k1,j1,i0,i1,j0,None,j1,8,8,3,17,317,125.22516632080078
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,None,None,0,8,32,26,3226,16.641679763793945
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,j1,None,0,2,2,6,206,36.781341552734375
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,36,2436,17.466514587402344
256,128,256,128,i0,k0,k1,i1,0,2,1,1,8,16,i0,j0,k0,k1,j1,i1,None,None,None,0,4,16,7,1607,109.53385162353516
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,1,9,109,14.476301193237305
8192,4,2048,16,i0,i1,k0,k1,1,1,1,0,32,4,j0,i0,i1,k0,j1,k1,j0,None,None,0,128,0,18,18,224.29010009765625
2048,16,4096,8,k0,i0,k1,i1,1,3,0,2,64,2,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,0,36,36,212.49766540527344
128,256,8192,4,i0,k0,i1,k1,0,2,1,1,64,2,j0,i0,j1,k0,i1,k1,None,None,i0,8192,16,0,28,28,289.5699462890625
