Round,Relative Time (ms),Value
-4,12.861348390579224,41.01414108276367
0,34.43447279930115,41.01414108276367
1,99.85617399215698,29.29652976989746
2,295.22000217437744,25.294279098510742
3,498.01875829696655,19.165916442871094
4,745.9042055606842,19.165916442871094
5,922.3032402992249,15.041244506835938
6,1102.6879131793976,15.041244506835938
7,1356.2611978054047,13.744547843933105
8,1577.5174601078033,13.744547843933105
9,1797.584894657135,13.002388954162598
10,1977.9510118961334,7.238157272338867
11,2217.257181406021,7.238157272338867
12,2426.8184463977814,7.238157272338867
13,2584.993216276169,7.238157272338867
14,2773.851401567459,7.238157272338867
15,2952.952360868454,7.238157272338867
16,3150.5083882808685,7.238157272338867
17,3359.7079277038574,7.238157272338867
18,3494.464168071747,7.238157272338867
19,3664.2783715724945,7.238157272338867
20,3834.706985473633,6.422641754150391
21,3982.1054515838623,5.9854302406311035
22,4130.656327486038,5.9854302406311035
23,4256.698197364807,5.9854302406311035
24,4371.997201681137,5.9854302406311035
25,4469.832050085068,5.9854302406311035
26,4538.315694570541,5.9854302406311035
27,4670.1183269023895,5.9854302406311035
28,4839.340208292007,5.9854302406311035
29,5079.226345300674,5.9854302406311035
30,5223.557511091232,5.9854302406311035
31,5351.238563299179,5.9854302406311035
32,5511.90983748436,5.9854302406311035
33,5651.853996038437,5.9854302406311035
34,5678.044835567474,5.9854302406311035
35,5710.465224504471,5.9854302406311035
36,5753.631757974625,5.9854302406311035
37,5904.472489356995,5.9854302406311035
38,6246.537869215012,5.9854302406311035
39,6498.267646551132,5.9854302406311035
40,6744.481495857239,5.9854302406311035
41,6930.279025793076,5.9854302406311035
42,7209.869961261749,5.9854302406311035
43,7406.72071313858,5.9854302406311035
44,7504.2241451740265,5.9854302406311035
45,7750.558620214462,5.9854302406311035
46,7944.951970100403,5.9854302406311035
47,8141.478472471237,5.9854302406311035
48,8328.784745931625,5.9854302406311035
49,8534.290649652481,5.9854302406311035
50,8798.889549255371,5.9854302406311035
51,9016.60843539238,5.9854302406311035
52,9229.0268907547,5.9854302406311035
53,9447.99749994278,5.9854302406311035
