Round,Relative Time (ms),Value
-4,3.490886926651001,inf
-3,6.067522764205933,inf
-2,9.837222814559937,inf
-1,15.087676048278809,6.177505970001221
0,20.58197546005249,6.177505970001221
1,35.727394342422485,6.177505970001221
2,68.48097729682922,5.351175308227539
3,151.76338648796082,5.017740726470947
4,227.38311576843262,4.947225570678711
5,301.44233798980713,4.947225570678711
6,340.30045318603516,4.1217780113220215
7,402.4701578617096,4.1217780113220215
8,475.7904942035675,4.1217780113220215
9,551.0853796005249,4.093023300170898
10,605.7405421733856,4.093023300170898
11,670.0822398662567,4.093023300170898
12,746.858925819397,4.093023300170898
13,820.709676027298,4.020456314086914
14,896.1166093349457,4.019227504730225
15,969.1131536960602,4.019227504730225
16,1031.1214356422424,3.9863533973693848
17,1100.6630260944366,3.9863533973693848
18,1170.315765619278,3.9863533973693848
19,1234.4070341587067,3.9863533973693848
20,1307.3572463989258,3.9863533973693848
21,1362.0182447433472,3.9863533973693848
22,1414.7353422641754,3.9863533973693848
23,1480.72634100914,3.9863533973693848
24,1548.0465619564056,3.9863533973693848
25,1602.3409373760223,3.9863533973693848
26,1642.3718476295471,3.9863533973693848
27,1699.7291007041931,3.9863533973693848
28,1756.6076877117157,3.9863533973693848
29,1767.558636188507,3.9863533973693848
30,1767.573102235794,3.9863533973693848
