Round,Relative Time (ms),Value
-4,5.961630582809448,inf
-3,15.846903800964355,29.426958084106445
0,28.585944175720215,29.426958084106445
1,37.69188189506531,27.392301559448242
2,54.20347499847412,27.26235008239746
3,85.85121440887451,25.563701629638672
4,157.2173228263855,25.563701629638672
5,314.34629464149475,25.45602035522461
6,550.8447713851929,25.34058380126953
7,789.0798380374908,25.34058380126953
8,1019.4084649085999,22.266525268554688
9,1190.028089761734,22.2653751373291
10,1396.9060187339783,22.2653751373291
11,1596.9872212409973,21.664342880249023
12,1778.4335021972656,21.664342880249023
13,2016.2100069522858,21.499948501586914
14,2236.1395692825317,20.49270248413086
15,2478.34699177742,20.49270248413086
16,2735.5244994163513,18.856170654296875
17,2967.682403087616,16.745332717895508
18,3182.1222393512726,16.556610107421875
19,3365.9473116397858,16.556610107421875
20,3528.4259650707245,16.556610107421875
21,3683.9749562740326,16.05227279663086
22,3904.025030374527,16.05227279663086
23,4026.820166826248,16.033920288085938
24,4224.23478269577,16.033920288085938
25,4414.843385219574,14.916753768920898
26,4569.596804857254,14.916753768920898
27,4779.666103601456,14.916753768920898
28,4940.133008956909,14.916753768920898
29,5076.94952917099,14.916753768920898
30,5254.700036764145,14.916753768920898
31,5422.7869181633,14.916753768920898
32,5593.759648561478,14.916753768920898
33,5749.89310503006,14.916753768920898
34,5878.350176811218,14.916753768920898
35,6029.666789293289,14.916753768920898
36,6183.542412519455,14.916753768920898
37,6327.197041273117,14.916753768920898
