Round,Relative Time (ms),Value
-4,4.3771116733551025,inf
-3,8.085413455963135,inf
-2,12.596825361251831,inf
-1,13.939337015151978,8.956501007080078
0,19.884182929992676,8.956501007080078
1,30.66729187965393,7.799378871917725
2,60.70077610015869,7.688032150268555
3,111.50857520103455,7.029209613800049
4,147.34489107131958,7.029209613800049
5,190.64914441108704,7.007091045379639
6,244.440358877182,6.590527534484863
7,306.8037829399109,6.459982872009277
8,343.85330176353455,6.459982872009277
9,401.3733699321747,6.459982872009277
10,463.131911277771,6.459982872009277
11,518.3393216133118,6.459982872009277
12,583.2629079818726,6.459982872009277
13,646.6749403476715,5.968367099761963
14,720.5718398094177,5.919423580169678
15,808.7626876831055,5.919423580169678
16,869.2423250675201,5.73176383972168
17,939.1451606750488,5.73176383972168
18,998.9284479618073,5.73176383972168
19,1051.8906190395355,5.73176383972168
20,1119.6668417453766,5.73176383972168
21,1195.6438117027283,5.73176383972168
22,1277.8034555912018,5.73176383972168
23,1355.6763334274292,5.73176383972168
24,1425.71258187294,5.73176383972168
25,1477.3607261180878,5.73176383972168
26,1531.8723566532135,5.73176383972168
27,1590.9007353782654,5.73176383972168
28,1640.1977503299713,5.73176383972168
